<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEAGR.US,D,20260310,000000,0.2,0.2,0.1999,0.2,642512,0
IEAGR.US,D,20260311,000000,0.185,0.21,0.185,0.2,231400,0
IEAGR.US,D,20260312,000000,0.1977,0.1977,0.1977,0.1977,422,0
IEAGR.US,D,20260313,000000,0.1901,0.2,0.175,0.2,569750,0
IEAGR.US,D,20260316,000000,0.1899,0.1899,0.1824,0.1824,13400,0
IEAGR.US,D,20260317,000000,0.1812,0.1898,0.181,0.1898,1100,0
IEAGR.US,D,20260318,000000,0.185,0.19,0.184,0.185,193268,0
IEAGR.US,D,20260319,000000,0.1849,0.185,0.175,0.18,10650,0
IEAGR.US,D,20260320,000000,0.185,0.1899,0.17,0.185,205202,0
IEAGR.US,D,20260324,000000,0.185,0.185,0.185,0.185,19896,0
IEAGR.US,D,20260325,000000,0.185,0.185,0.1849,0.185,650,0
IEAGR.US,D,20260326,000000,0.1849,0.19,0.1849,0.19,50300,0
IEAGR.US,D,20260327,000000,0.19,0.19,0.18,0.18,10443,0
IEAGR.US,D,20260330,000000,0.18,0.18,0.17,0.18,63704,0
IEAGR.US,D,20260331,000000,0.1788,0.18,0.1788,0.18,300,0
IEAGR.US,D,20260401,000000,0.18,0.18,0.175,0.18,101400,0
IEAGR.US,D,20260402,000000,0.175,0.18,0.175,0.18,2233,0
IEAGR.US,D,20260406,000000,0.18,0.18,0.18,0.18,300,0
IEAGR.US,D,20260409,000000,0.18,0.18,0.18,0.18,200,0
IEAGR.US,D,20260410,000000,0.175,0.175,0.17,0.175,733,0
IEAGR.US,D,20260414,000000,0.18,0.18,0.18,0.18,250,0
IEAGR.US,D,20260416,000000,0.1766,0.18,0.17,0.18,2200,0
IEAGR.US,D,20260420,000000,0.179,0.18,0.179,0.18,800,0
IEAGR.US,D,20260421,000000,0.18,0.2,0.18,0.2,2900,0
IEAGR.US,D,20260504,000000,0.2,0.2,0.2,0.2,2520,0
IEAGR.US,D,20260506,000000,0.2,0.2,0.1999,0.1999,1000,0
IEAGR.US,D,20260507,000000,0.1987,0.1987,0.1899,0.1899,5100,0
IEAGR.US,D,20260511,000000,0.19,0.2,0.19,0.2,17175,0
IEAGR.US,D,20260512,000000,0.195,0.2,0.195,0.2,353,0
IEAGR.US,D,20260514,000000,0.205,0.21,0.2,0.2,620,0
IEAGR.US,D,20260515,000000,0.21,0.22,0.21,0.21,12690,0
IEAGR.US,D,20260518,000000,0.1931,0.1931,0.19,0.19,2144,0
IEAGR.US,D,20260519,000000,0.2,0.2,0.1762,0.19,41008,0
IEAGR.US,D,20260520,000000,0.2,0.2,0.1762,0.1762,600,0
IEAGR.US,D,20260527,000000,0.21,0.21,0.1837,0.1837,20400,0
IEAGR.US,D,20260529,000000,0.21,0.21,0.1901,0.1901,2901,0
IEAGR.US,D,20260601,000000,0.2,0.22,0.2,0.2,173221,0
IEAGR.US,D,20260602,000000,0.21,0.22,0.19,0.19,173410,0
IEAGR.US,D,20260604,000000,0.1901,0.2,0.1851,0.19,52707,0
IEAGR.US,D,20260610,000000,0.19,0.19,0.19,0.19,50000,0
IEAGR.US,D,20260618,000000,0.2131,0.22,0.1852,0.1852,16432,0
IEAGR.US,D,20260622,000000,0.205,0.205,0.205,0.205,7400,0
IEAGR.US,D,20260624,000000,0.22,0.22,0.22,0.22,9131,0
