<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILLUW.US,D,20260421,000000,0.32,0.32,0.32,0.32,500,0
ILLUW.US,D,20260422,000000,0.3101,0.3101,0.25,0.260054,16633,0
ILLUW.US,D,20260424,000000,0.255249,0.28,0.255249,0.2799,1000,0
ILLUW.US,D,20260427,000000,0.255499,0.28,0.255499,0.266401,1230,0
ILLUW.US,D,20260428,000000,0.28,0.399,0.28,0.399,31830,0
ILLUW.US,D,20260501,000000,0.3769,0.377,0.3769,0.3769,1302,0
ILLUW.US,D,20260506,000000,0.37,0.37,0.3699,0.3699,1000,0
ILLUW.US,D,20260507,000000,0.3849,0.3999,0.31,0.31,121950,0
ILLUW.US,D,20260508,000000,0.37,0.37,0.3699,0.3699,8014,0
ILLUW.US,D,20260511,000000,0.35,0.35,0.302,0.302,4413,0
ILLUW.US,D,20260512,000000,0.335,0.36,0.335,0.36,200,0
ILLUW.US,D,20260518,000000,0.3,0.3,0.3,0.3,108,0
ILLUW.US,D,20260519,000000,0.35,0.35,0.35,0.35,108,0
ILLUW.US,D,20260521,000000,0.35,0.37,0.35,0.37,600,0
ILLUW.US,D,20260522,000000,0.3999,0.4,0.359999,0.37,11832,0
ILLUW.US,D,20260526,000000,0.3999,0.3999,0.3999,0.3999,108,0
ILLUW.US,D,20260527,000000,0.3999,0.5,0.3999,0.48,192875,0
ILLUW.US,D,20260528,000000,0.421,0.4482,0.42,0.42,29988,0
ILLUW.US,D,20260529,000000,0.41,0.41,0.39,0.39,4345,0
ILLUW.US,D,20260601,000000,0.44155,0.48,0.44155,0.48,15042,0
ILLUW.US,D,20260602,000000,0.49,0.49,0.421,0.49,4512,0
ILLUW.US,D,20260617,000000,0.49,0.49,0.49,0.49,600,0
