<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INHD.US,D,20231214,000000,50400,92208,25200,66576,509.31000000000006,0
INHD.US,D,20231215,000000,35808,35808,9408,10224,1436.6000000000001,0
INHD.US,D,20231218,000000,9840,10731.8,7728.48,8880,336.70450000000005,0
INHD.US,D,20231219,000000,8400,8832,7536,8136,173.53750000000002,0
INHD.US,D,20231220,000000,7824,8299.68,7296.48,7536,98.6085,0
INHD.US,D,20231221,000000,7632,7920,7200,7200,73.046,0
INHD.US,D,20231222,000000,7200,7680,7104,7152,92.2265,0
INHD.US,D,20231226,000000,7200,7296,6336,6624,106.0955,0
INHD.US,D,20231227,000000,6432,6606.72,6000,6000.48,88.87200000000001,0
INHD.US,D,20231228,000000,6000,7440,6000,7224,199.5705,0
INHD.US,D,20231229,000000,7104,7296,6672,6912,56.032500000000006,0
INHD.US,D,20240102,000000,7056,7056,6432,6672,40.36580000000001,0
INHD.US,D,20240103,000000,6528,7080.96,6432,6912,58.74450000000001,0
INHD.US,D,20240104,000000,6480,7104,6480,6672,30.7904,0
INHD.US,D,20240105,000000,6672,6911.52,6534.24,6720,20.664150000000003,0
INHD.US,D,20240108,000000,6720,6945.6,6528,6672,14.852250000000002,0
INHD.US,D,20240109,000000,6576,6720,6432,6480,14.93645,0
INHD.US,D,20240110,000000,6672,6672,6096,6240,21.35395,0
INHD.US,D,20240111,000000,6192,6480,5809.92,6000,26.522050000000004,0
INHD.US,D,20240112,000000,5904,6240,5568,5664,19.960400000000003,0
INHD.US,D,20240116,000000,5664,5999.52,5328,5424,34.7654,0
INHD.US,D,20240117,000000,5520,5663.52,5040,5184,19.855400000000003,0
INHD.US,D,20240118,000000,5088,5376,4992,5136,11.6252,0
INHD.US,D,20240119,000000,5267.04,5280,4944,5088,11.103950000000001,0
INHD.US,D,20240122,000000,5088,5136,4704,5088,117.4465,0
INHD.US,D,20240123,000000,4800,5087.52,4608,4622.4,49.1233,0
INHD.US,D,20240124,000000,4650.72,4800,4561.44,4656,19.0827,0
INHD.US,D,20240125,000000,4800,5616,4611.84,5405.76,75.9145,0
