<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INIO.US,D,20260604,000000,31,34.45,31,33.3,55350454,0
INIO.US,D,20260605,000000,30.6,34,30.3,32.22,10411764,0
INIO.US,D,20260608,000000,32.85,34.97,32.7,33.72,4830542,0
INIO.US,D,20260609,000000,34.7,35.61,32.61,33.72,6339449,0
INIO.US,D,20260610,000000,33.45,33.7,31.06,31.43,8450610,0
INIO.US,D,20260611,000000,31.49,33.85,31.25,33.36,4208456,0
INIO.US,D,20260612,000000,33.36,33.9,32,32.37,2981887,0
INIO.US,D,20260615,000000,33.02,34.815,32.57,34.72,3455377,0
INIO.US,D,20260616,000000,34.67,34.76,33.19,34.24,2013084,0
INIO.US,D,20260617,000000,34.25,36.315,33.825,35.02,2582717,0
INIO.US,D,20260618,000000,35.61,37.85,35.1,37.45,3695111,0
INIO.US,D,20260622,000000,38,42.95,37.56,41.13,6514674,0
INIO.US,D,20260623,000000,37.97,39.4,37,38.31,4157288,0
INIO.US,D,20260624,000000,38.29,39.9989,36,36.455,2884315,0
