<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INLF.US,D,20250102,000000,59.2,80.8,56.16,71.2,63062.5,0
INLF.US,D,20250103,000000,69.92,98.4,68.8,81.6,61011.625,0
INLF.US,D,20250106,000000,84.8,90.88,77.6,79.04,23364.5,0
INLF.US,D,20250107,000000,78.56,84.8,70.48,78.28,12993.5,0
INLF.US,D,20250108,000000,77.6,80.8,70.4,73.92,12193.25,0
INLF.US,D,20250110,000000,76.64,79.984,72.8,74.72,11503.5,0
INLF.US,D,20250113,000000,79.84,82.32,73.28,79.2,9271.75,0
INLF.US,D,20250114,000000,79.84,80.8,76.4,77.12,9697.1875,0
INLF.US,D,20250115,000000,78.24,82.24,77.92,82.24,6037.0625,0
INLF.US,D,20250116,000000,84.32,88,79.52,88,757.75,0
INLF.US,D,20250117,000000,87.84,87.84,83.36,85.92,297,0
INLF.US,D,20250121,000000,87.52,87.52,77.12,84.16,723.125,0
INLF.US,D,20250122,000000,84,86.0816,81.2992,81.6,1540.625,0
INLF.US,D,20250123,000000,79.92,83.128,76.16,82.88,13128.9375,0
INLF.US,D,20250124,000000,82.88,82.88,78.4,78.4,526.5625,0
INLF.US,D,20250127,000000,76.08,82.0288,73.92,76,2093.25,0
INLF.US,D,20250128,000000,78.24,80.48,76,76.8,1283.25,0
INLF.US,D,20250129,000000,77.6,84.64,75.68,78.08,2839.875,0
INLF.US,D,20250130,000000,79.04,79.2,68.8,68.96,3614.375,0
INLF.US,D,20250131,000000,70.56,72.7904,68,68.8,1821.9375,0
INLF.US,D,20250203,000000,69.04,70.72,60.8016,65.12,30439.875,0
INLF.US,D,20250204,000000,63.84,71.36,61.36,69.92,20377.6875,0
INLF.US,D,20250205,000000,71.68,78.24,68.16,75.2,15711.875,0
INLF.US,D,20250206,000000,71.84,78.4,71.84,73.6,27584.0625,0
INLF.US,D,20250207,000000,73.92,78.56,71.04,78.4,75003.1875,0
INLF.US,D,20250210,000000,78.4,79.04,70.72,77.76,12349,0
INLF.US,D,20250211,000000,78.08,78.72,71.2016,74.08,29496.3125,0
INLF.US,D,20250212,000000,76.4,102.4,75.2016,95.84,48376.6875,0
INLF.US,D,20250213,000000,92.8,160,92.8,144.16,78495.625,0
INLF.US,D,20250214,000000,140,336,86.4,261.28,480060.625,0
INLF.US,D,20250218,000000,200,230.518,36.64,54.24,811776.75,0
INLF.US,D,20250219,000000,50.08,56.4592,47.04,50.4,129584,0
INLF.US,D,20250220,000000,49.92,52.64,43.2,44.16,60863.4375,0
INLF.US,D,20250221,000000,45.28,45.92,38.56,38.88,36356.25,0
INLF.US,D,20250224,000000,40.32,41.48,34.24,35.36,19773.1875,0
INLF.US,D,20250225,000000,35.04,36.48,32,32,17212.9375,0
INLF.US,D,20250226,000000,32.96,34.24,31.36,31.36,16520.125,0
INLF.US,D,20250227,000000,30.88,32.936,28.16,28.48,14693.8125,0
INLF.US,D,20250228,000000,27.36,29.7584,27.04,27.04,11529.9375,0
INLF.US,D,20250303,000000,27.52,31.68,26.88,27.84,18189.3125,0
INLF.US,D,20250304,000000,27.2,30.08,26.976,28.32,9789.625,0
INLF.US,D,20250305,000000,29.28,30.08,26.88,28.32,5941.8125,0
INLF.US,D,20250306,000000,27.84,30.24,27.2,29.12,5710.0625,0
INLF.US,D,20250307,000000,30.4,30.56,28.9616,29.6,5409.125,0
INLF.US,D,20250310,000000,28,28.712,22.72,22.88,16478.375,0
INLF.US,D,20250311,000000,22.72,28.6208,22.72,25.76,9484.875,0
