<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPVVU.US,D,20260604,000000,9.93,9.95,9.92,9.95,8873928,0
IPVVU.US,D,20260605,000000,9.94,9.96,9.94,9.94,1185196,0
IPVVU.US,D,20260608,000000,9.92,9.97,9.92,9.955,155300,0
IPVVU.US,D,20260609,000000,9.95,9.97,9.94,9.94,312656,0
IPVVU.US,D,20260610,000000,9.94,9.94,9.93,9.935,77600,0
IPVVU.US,D,20260611,000000,9.92,9.941,9.92,9.93,576299,0
IPVVU.US,D,20260612,000000,9.93,9.955,9.93,9.93,3654,0
IPVVU.US,D,20260615,000000,9.93,9.94,9.92,9.92,403600,0
IPVVU.US,D,20260616,000000,9.94,9.94,9.92,9.92,200032,0
IPVVU.US,D,20260617,000000,9.931,9.934,9.91,9.91,209482,0
IPVVU.US,D,20260618,000000,9.92,9.92,9.91,9.91,27975,0
IPVVU.US,D,20260622,000000,9.96,9.96,9.93,9.93,2437,0
IPVVU.US,D,20260623,000000,9.96,9.96,9.91,9.91,108894,0
IPVVU.US,D,20260624,000000,9.93,9.93,9.91,9.91,10526,0
