<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRHO.US,D,20260209,000000,9.85,9.85,9.85,9.85,3552,0
IRHO.US,D,20260211,000000,9.86,9.86,9.86,9.86,6761,0
IRHO.US,D,20260213,000000,9.86,9.87,9.86,9.87,22741,0
IRHO.US,D,20260223,000000,9.89,9.89,9.88,9.88,46546,0
IRHO.US,D,20260225,000000,9.885,9.89,9.885,9.89,5001,0
IRHO.US,D,20260303,000000,9.91,9.91,9.89,9.89,945,0
IRHO.US,D,20260304,000000,9.89,9.89,9.88,9.88,2192,0
IRHO.US,D,20260305,000000,9.91,9.91,9.91,9.91,945,0
IRHO.US,D,20260310,000000,9.88,9.88,9.87,9.87,2500,0
IRHO.US,D,20260311,000000,9.87,9.87,9.86,9.86,4100,0
IRHO.US,D,20260316,000000,9.86,9.86,9.86,9.86,2000,0
IRHO.US,D,20260320,000000,9.86,9.86,9.86,9.86,21979,0
IRHO.US,D,20260323,000000,9.87,9.87,9.87,9.87,301,0
IRHO.US,D,20260324,000000,9.86,9.86,9.85,9.85,1047,0
IRHO.US,D,20260326,000000,9.85,9.85,9.85,9.85,5566,0
IRHO.US,D,20260327,000000,9.86,9.86,9.85,9.85,223622,0
IRHO.US,D,20260330,000000,9.86,9.865,9.85,9.865,15552,0
IRHO.US,D,20260331,000000,9.87,9.87,9.86,9.86,4250,0
IRHO.US,D,20260401,000000,9.87,9.88,9.87,9.88,2530,0
IRHO.US,D,20260402,000000,9.87,9.87,9.86,9.87,2141,0
IRHO.US,D,20260407,000000,9.87,9.87,9.87,9.87,432432,0
IRHO.US,D,20260408,000000,9.88,9.88,9.88,9.88,2000,0
IRHO.US,D,20260410,000000,9.88,9.88,9.88,9.88,3247,0
IRHO.US,D,20260413,000000,9.88,9.89,9.88,9.88,44810,0
IRHO.US,D,20260414,000000,9.88,9.88,9.88,9.88,15559,0
IRHO.US,D,20260415,000000,9.88,9.89,9.88,9.88,9891,0
IRHO.US,D,20260416,000000,9.89,9.89,9.885,9.89,1700,0
IRHO.US,D,20260417,000000,9.88,9.91,9.88,9.9,39715,0
IRHO.US,D,20260420,000000,9.8989,9.92,9.8989,9.915,25105,0
IRHO.US,D,20260421,000000,9.95,9.97,9.945,9.96,222174,0
IRHO.US,D,20260422,000000,9.97,9.98,9.97,9.98,32816,0
IRHO.US,D,20260423,000000,9.97,9.975,9.95,9.95,27142,0
IRHO.US,D,20260424,000000,9.96,9.96,9.96,9.96,7011,0
IRHO.US,D,20260427,000000,9.96,9.97,9.955,9.97,66244,0
IRHO.US,D,20260428,000000,9.96,9.96,9.96,9.96,193248,0
IRHO.US,D,20260429,000000,9.955,9.955,9.95,9.95,16478,0
IRHO.US,D,20260430,000000,9.95,9.95,9.95,9.95,514,0
IRHO.US,D,20260504,000000,9.96,9.96,9.955,9.96,4194,0
IRHO.US,D,20260505,000000,9.96,9.97,9.96,9.97,18481,0
IRHO.US,D,20260506,000000,9.97,9.97,9.9699,9.97,12387,0
IRHO.US,D,20260507,000000,9.97,9.97,9.97,9.97,23547,0
IRHO.US,D,20260508,000000,9.97,9.97,9.97,9.97,1404,0
IRHO.US,D,20260511,000000,9.98,9.99,9.97,9.98,691443,0
IRHO.US,D,20260512,000000,9.985,9.985,9.98,9.98,201287,0
IRHO.US,D,20260513,000000,9.985,9.99,9.98,9.99,13591,0
IRHO.US,D,20260514,000000,9.99,10,9.99,9.99,33994,0
IRHO.US,D,20260515,000000,9.98,9.99,9.98,9.99,15118,0
IRHO.US,D,20260518,000000,9.99,9.99,9.98,9.98,29336,0
IRHO.US,D,20260519,000000,10,10.01,10,10,74440,0
IRHO.US,D,20260520,000000,10,10.035,10,10.035,75613,0
IRHO.US,D,20260521,000000,10.01,10.02,10.01,10.02,6735,0
IRHO.US,D,20260522,000000,10.05,10.05,10.05,10.05,179,0
IRHO.US,D,20260526,000000,10.05,10.05,10.05,10.05,199,0
IRHO.US,D,20260527,000000,10.05,10.07,10.05,10.06,64544,0
IRHO.US,D,20260528,000000,10.05,10.06,10.05,10.05,10864,0
IRHO.US,D,20260529,000000,10.04,10.07,10.04,10.04,21826,0
IRHO.US,D,20260601,000000,10.05,10.08,10.05,10.07,48467,0
IRHO.US,D,20260602,000000,10.07,10.07,10.07,10.07,215,0
IRHO.US,D,20260603,000000,10.14,10.14,10.07,10.07,1503,0
IRHO.US,D,20260605,000000,10.06,10.06,10.06,10.06,200,0
IRHO.US,D,20260610,000000,10.06,10.07,10.06,10.07,36067,0
IRHO.US,D,20260611,000000,10.06,10.06,10.06,10.06,6192,0
IRHO.US,D,20260615,000000,10.06,10.06,10.06,10.06,1561,0
IRHO.US,D,20260616,000000,10.06,10.06,10.06,10.06,2148,0
IRHO.US,D,20260617,000000,10.06,10.065,10.06,10.065,18692,0
IRHO.US,D,20260618,000000,10.065,10.07,10.065,10.07,14362,0
IRHO.US,D,20260622,000000,10.065,10.065,10.06,10.06,3111,0
IRHO.US,D,20260623,000000,10.07,10.07,10.06,10.06,3965,0
IRHO.US,D,20260624,000000,10.06,10.07,10.06,10.07,225282,0
