<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISNRU.US,D,20260609,000000,10.01,10.28,9.99,10,4344199,0
ISNRU.US,D,20260610,000000,10,10.01,10,10,83261,0
ISNRU.US,D,20260611,000000,9.99,10.01,9.99,9.995,54567,0
ISNRU.US,D,20260612,000000,10.01,10.02,10,10.02,702665,0
ISNRU.US,D,20260615,000000,10.01,10.01,9.99,10.01,29235,0
ISNRU.US,D,20260616,000000,10.01,10.01,10.01,10.01,6197,0
ISNRU.US,D,20260617,000000,10.01,10.01,10.01,10.01,421,0
ISNRU.US,D,20260618,000000,10.01,10.04,10,10.04,236378,0
ISNRU.US,D,20260622,000000,10.01,10.01,9.995,10,25074,0
ISNRU.US,D,20260623,000000,9.9944,10,9.9944,10,421,0
ISNRU.US,D,20260624,000000,10,10,9.99,9.99,51441,0
