<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JATT.US,D,20260417,000000,10,10.725,9.99,10.5,279382,0
JATT.US,D,20260420,000000,10.5,10.5,10.1,10.25,24774,0
JATT.US,D,20260421,000000,10.64,10.73,10.2,10.2001,42175,0
JATT.US,D,20260422,000000,10.4,10.76,10.25,10.54,94067,0
JATT.US,D,20260423,000000,10.56,10.56,10.4271,10.4271,2468,0
JATT.US,D,20260424,000000,10.6,10.67,10.49,10.5,3539,0
JATT.US,D,20260427,000000,10.9807,11,10.6,10.94,3867,0
JATT.US,D,20260428,000000,10.5,10.919,10.5,10.919,1237,0
JATT.US,D,20260429,000000,10.39,10.8,10.31,10.65,3889,0
JATT.US,D,20260430,000000,11.31,11.31,10.5,10.5,1930,0
JATT.US,D,20260501,000000,10.51,10.9759,10.51,10.9377,1672,0
JATT.US,D,20260504,000000,10.5169,10.93,10.5,10.93,1138,0
JATT.US,D,20260506,000000,10.5116,10.52,10.5,10.51,727,0
JATT.US,D,20260507,000000,10.5301,11,10.4,10.5,8717,0
JATT.US,D,20260508,000000,10.5,10.53,10.5,10.52,1642,0
JATT.US,D,20260514,000000,10.5295,10.5466,10.5295,10.5466,313,0
JATT.US,D,20260515,000000,10.5285,10.75,10.52,10.52,1646,0
JATT.US,D,20260518,000000,10.9545,10.9545,10.9545,10.9545,390,0
JATT.US,D,20260519,000000,10.9859,10.9859,10.9859,10.9859,272,0
JATT.US,D,20260522,000000,10.9,10.9,10.9,10.9,364,0
JATT.US,D,20260527,000000,10.51,10.51,10.51,10.51,598,0
JATT.US,D,20260528,000000,10.51,10.58,10,10.42,16653,0
JATT.US,D,20260529,000000,10,10.6,10,10.51,1713,0
JATT.US,D,20260601,000000,10.1,10.6,10.1,10.55,1358,0
JATT.US,D,20260602,000000,10.55,10.595,10.53,10.595,1014,0
JATT.US,D,20260603,000000,10.42,10.43,10.42,10.43,7888,0
JATT.US,D,20260604,000000,10.47,10.47,10.47,10.47,1490,0
JATT.US,D,20260605,000000,10.43,10.4301,10.43,10.43,5587,0
JATT.US,D,20260608,000000,10.37,10.48,10.32,10.48,1118,0
JATT.US,D,20260618,000000,10.49,12.01,10.45,10.75,6676,0
JATT.US,D,20260623,000000,10.345,10.4,10.345,10.4,412,0
JATT.US,D,20260624,000000,11.1,11.1,10.3,10.45,4898,0
