<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPFP.US,D,20260529,000000,50.61,50.61,50.335,50.41,1051,0
JPFP.US,D,20260601,000000,50.75,50.825,50.75,50.825,788,0
JPFP.US,D,20260602,000000,51.11,51.27,51.06,51.17,6149,0
JPFP.US,D,20260603,000000,50.76,50.87,50.76,50.78,2217,0
JPFP.US,D,20260604,000000,50.48,51.25,50.4,51.07,2785,0
JPFP.US,D,20260605,000000,50.48,50.49,49.37,49.4667,13159,0
JPFP.US,D,20260608,000000,49.47,49.96,49.46,49.6172,2069,0
JPFP.US,D,20260609,000000,48.89,49.062,48.78,49.062,2272,0
JPFP.US,D,20260610,000000,51.46,51.46,48.1898,48.1898,452,0
JPFP.US,D,20260611,000000,48.36,48.9926,48.35,48.9926,1100,0
JPFP.US,D,20260612,000000,49,49.4,49,49.3203,1245,0
JPFP.US,D,20260615,000000,50.35,50.635,50.26,50.4612,10571,0
JPFP.US,D,20260616,000000,50.28,50.29,50,50.0145,1495,0
JPFP.US,D,20260617,000000,50.12,50.12,49.2487,49.2487,1632,0
JPFP.US,D,20260618,000000,49.85,50.0324,49.78,50.0324,800,0
JPFP.US,D,20260622,000000,50.23,50.23,49.775,49.775,431,0
JPFP.US,D,20260623,000000,49.62,49.62,48.8538,48.8538,3402,0
JPFP.US,D,20260624,000000,48.51,48.51,48.45,48.45,291,0
