<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JTAI.US,D,20230227,000000,479250,479926,479250,479250,0.58004438644,0
JTAI.US,D,20230228,000000,480600,480600,479250,479250,0.72637770514,0
JTAI.US,D,20230301,000000,479250,479700,479250,479250,0.32939996705999997,0
JTAI.US,D,20230302,000000,480600,481500,480600,481500,0.33493329984,0
JTAI.US,D,20230303,000000,481500,481500,481496,481500,0.03891110722,0
JTAI.US,D,20230306,000000,481500,481500,477900,477900,0.41337773644,0
JTAI.US,D,20230308,000000,480600,480600,480600,480600,0.003933332939999999,0
JTAI.US,D,20230309,000000,480600,480600,480600,480600,0.002222222,0
JTAI.US,D,20230310,000000,481500,481500,481500,481500,0.24726664193999998,0
JTAI.US,D,20230313,000000,481496,481500,481496,481500,0.004533332879999999,0
JTAI.US,D,20230316,000000,481500,481500,481500,481500,0.03379999662,0
JTAI.US,D,20230317,000000,481492,481492,480376,480376,0.0121111099,0
JTAI.US,D,20230320,000000,480610,483076,480610,483076,0.0085555547,0
JTAI.US,D,20230324,000000,483300,483300,483300,483300,0.01111111,0
JTAI.US,D,20230328,000000,485100,485100,485100,485100,0.01973333136,0
JTAI.US,D,20230331,000000,481500,481946,481500,481946,0.0072444437199999994,0
JTAI.US,D,20230403,000000,481504,481504,481504,481504,0.008933332439999999,0
JTAI.US,D,20230405,000000,481950,481950,481950,481950,0.0026222219599999997,0
JTAI.US,D,20230406,000000,482400,482400,481950,481950,0.00575555498,0
JTAI.US,D,20230411,000000,481726,481950,481726,481950,0.01097777668,0
JTAI.US,D,20230412,000000,481950,483750,481950,483750,0.18931109218,0
JTAI.US,D,20230414,000000,483750,490050,483750,485550,0.43715551184,0
JTAI.US,D,20230417,000000,482854,516596,482854,487796,0.026644441779999996,0
JTAI.US,D,20230424,000000,487800,487800,487800,487800,0.10786665588,0
JTAI.US,D,20230425,000000,483300,483300,483300,483300,0.0047777773,0
JTAI.US,D,20230426,000000,487350,487350,482850,482850,0.005333332799999999,0
JTAI.US,D,20230427,000000,482850,482850,482850,482850,0.11215554434,0
JTAI.US,D,20230428,000000,482850,484200,482850,484200,0.32788885609999996,0
JTAI.US,D,20230501,000000,486900,486900,486900,486900,0.00753333258,0
JTAI.US,D,20230503,000000,487350,487350,487350,487350,0.10619998937999998,0
JTAI.US,D,20230505,000000,487350,488700,487350,488700,0.05497777228,0
