<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEYYU.US,D,20260603,000000,10.01,10.05,10,10.01,6925807,0
KEYYU.US,D,20260604,000000,10.02,10.04,10.02,10.025,77138,0
KEYYU.US,D,20260605,000000,10.03,10.03,10.02,10.025,70033,0
KEYYU.US,D,20260608,000000,10.05,10.05,10,10,78809,0
KEYYU.US,D,20260609,000000,10.02,10.02,10,10.015,6739,0
KEYYU.US,D,20260610,000000,10,10.03,10,10.0001,91421,0
KEYYU.US,D,20260611,000000,10.01,10.01,10,10,4881,0
KEYYU.US,D,20260612,000000,10.02,10.03,10.01,10.01,530428,0
KEYYU.US,D,20260615,000000,10.03,10.03,10,10.02,35493,0
KEYYU.US,D,20260616,000000,10.01,10.0243,10.01,10.01,6205,0
KEYYU.US,D,20260617,000000,10.0193,10.0193,10.0193,10.0193,802,0
KEYYU.US,D,20260618,000000,10.0299,10.0299,10.0299,10.0299,192,0
KEYYU.US,D,20260622,000000,10.02,10.0771,10.02,10.0771,43588,0
KEYYU.US,D,20260624,000000,10.4718,10.4718,10.04,10.04,2406,0
