<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KIDZ.US,D,20250407,000000,2005,5000,1490,1960,381.144,0
KIDZ.US,D,20250408,000000,1600,1687.5,942.4,960,581.51,0
KIDZ.US,D,20250409,000000,965,1100,830,1015,398.134,0
KIDZ.US,D,20250410,000000,1100,1122.5,880,944.2,222.842,0
KIDZ.US,D,20250411,000000,960,1030,825,930,2136.33,0
KIDZ.US,D,20250414,000000,1060,1370,955,1040,45878.7,0
KIDZ.US,D,20250415,000000,915,947.1,635,690,2545.7,0
KIDZ.US,D,20250416,000000,630,800,560,630,1235.99,0
KIDZ.US,D,20250417,000000,630,740,605,650,1139.76,0
KIDZ.US,D,20250421,000000,625,650,515,540,521.014,0
KIDZ.US,D,20250422,000000,525,650,525,550,431.084,0
KIDZ.US,D,20250423,000000,575,625,550,560,266.534,0
KIDZ.US,D,20250424,000000,560,599.6,545,545,240.346,0
KIDZ.US,D,20250425,000000,545,580,520,540,327.194,0
KIDZ.US,D,20250428,000000,535,586.1,535,565,394.2,0
KIDZ.US,D,20250429,000000,560,599.75,550,585,312.458,0
KIDZ.US,D,20250430,000000,570,600,555.05,575,424.82,0
KIDZ.US,D,20250501,000000,1205,2715,1065,2680,525746,0
KIDZ.US,D,20250502,000000,4077.5,5325,3035,3590,225727,0
KIDZ.US,D,20250505,000000,3810,4070,2780,3155,41752.6,0
KIDZ.US,D,20250506,000000,3100,3575,3000,3250,12403.1,0
KIDZ.US,D,20250507,000000,3125,3240,2280,2285,7495.08,0
KIDZ.US,D,20250508,000000,2480,3150,2305,2560,14518.7,0
KIDZ.US,D,20250509,000000,2540,2785,2250,2310,3930.05,0
KIDZ.US,D,20250512,000000,2355,2390,1812.5,1850,3427.97,0
KIDZ.US,D,20250513,000000,1835,1980,1575,1610,2489.63,0
KIDZ.US,D,20250514,000000,1540,1750,1270,1305,3067.57,0
KIDZ.US,D,20250515,000000,1310,1605,1215,1285,5286.37,0
KIDZ.US,D,20250516,000000,1400,2070,1260.05,1750,23134.9,0
KIDZ.US,D,20250519,000000,1590,1725,1505,1505,1797.6,0
KIDZ.US,D,20250520,000000,1480,1660,1326,1400,1898.36,0
KIDZ.US,D,20250521,000000,1360,1775,1350,1460,5220.21,0
KIDZ.US,D,20250522,000000,1582.5,1835,1565,1695,32931.3,0
KIDZ.US,D,20250523,000000,1532.5,1629.95,1475,1550,1805.9,0
KIDZ.US,D,20250527,000000,1575,1675,1500,1505,1306.09,0
KIDZ.US,D,20250528,000000,1550,1565.3,1350,1380,1273.81,0
KIDZ.US,D,20250529,000000,1375,1590,1365.05,1405,1941.57,0
KIDZ.US,D,20250530,000000,1395,1455,1300,1330,956.23,0
KIDZ.US,D,20250602,000000,1512.5,2410,1330,1860,28539.7,0
