<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KIQQ.US,D,20260108,000000,25.09,25.09,24.9352,24.9701,1513,0
KIQQ.US,D,20260112,000000,25.23,25.23,25.1707,25.1707,1428,0
KIQQ.US,D,20260113,000000,25.09,25.1415,25.06,25.1415,699,0
KIQQ.US,D,20260127,000000,25.22,25.36,25.22,25.22,556,0
KIQQ.US,D,20260130,000000,24.81,24.855,24.81,24.855,305,0
KIQQ.US,D,20260202,000000,24.805,24.805,24.7622,24.7622,144,0
KIQQ.US,D,20260204,000000,24.31,24.31,24.1308,24.1308,101,0
KIQQ.US,D,20260206,000000,24.05,24.2487,24.05,24.2487,322,0
KIQQ.US,D,20260209,000000,24.18,24.3301,24.18,24.3301,104,0
KIQQ.US,D,20260211,000000,24.17,24.2567,24.17,24.2567,101,0
KIQQ.US,D,20260212,000000,24.17,24.17,23.8913,23.8913,150,0
KIQQ.US,D,20260316,000000,23.87,23.87,23.85,23.8652,700,0
KIQQ.US,D,20260326,000000,23.29,23.29,23.1155,23.1155,6653,0
KIQQ.US,D,20260327,000000,22.91,22.91,22.7655,22.7655,1053,0
KIQQ.US,D,20260330,000000,22.545,22.545,22.4,22.424,4826,0
KIQQ.US,D,20260331,000000,22.71,23,22.71,22.9368,8956,0
KIQQ.US,D,20260401,000000,23.09,23.13,23.0653,23.0653,4628,0
KIQQ.US,D,20260402,000000,22.82,23.0452,22.82,23.0452,956,0
KIQQ.US,D,20260406,000000,23.19,23.22,23.156,23.1859,838,0
KIQQ.US,D,20260407,000000,23.16,23.1985,23.14,23.1985,2228,0
KIQQ.US,D,20260408,000000,23.76,23.76,23.6769,23.6769,417,0
KIQQ.US,D,20260409,000000,23.59,23.6601,23.59,23.6601,741,0
KIQQ.US,D,20260413,000000,23.79,23.8203,23.79,23.8203,211,0
KIQQ.US,D,20260421,000000,24.26,24.27,24.19,24.195,735,0
KIQQ.US,D,20260422,000000,24.38,24.4553,24.38,24.4553,385,0
KIQQ.US,D,20260423,000000,24.49,24.49,24.475,24.475,149,0
KIQQ.US,D,20260424,000000,24.57,24.76,24.57,24.7485,387,0
KIQQ.US,D,20260428,000000,24.595,24.6037,24.595,24.6037,164,0
KIQQ.US,D,20260504,000000,25.08,25.08,24.9156,24.9156,470,0
KIQQ.US,D,20260511,000000,25.64,25.7206,25.64,25.7206,1091,0
KIQQ.US,D,20260512,000000,25.47,25.5441,25.47,25.5441,219,0
KIQQ.US,D,20260603,000000,26.6701,26.765,26.67,26.7196,745,0
KIQQ.US,D,20260604,000000,26.39,26.6249,26.39,26.6249,175,0
KIQQ.US,D,20260610,000000,25.27,25.27,25.0973,25.0973,806,0
KIQQ.US,D,20260624,000000,25.8,25.8,25.7408,25.7408,417,0
