<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRAQ.US,D,20260320,000000,9.9,10.01,9.87,9.92,17353,0
KRAQ.US,D,20260323,000000,9.88,9.99,9.88,9.9,65426,0
KRAQ.US,D,20260324,000000,9.87,9.9,9.87,9.87,2232,0
KRAQ.US,D,20260325,000000,9.9,9.92,9.87,9.87,152619,0
KRAQ.US,D,20260326,000000,9.87,9.88,9.8572,9.86,237312,0
KRAQ.US,D,20260327,000000,9.86,9.87,9.78,9.87,169940,0
KRAQ.US,D,20260331,000000,9.9,9.9,9.86,9.86,624,0
KRAQ.US,D,20260401,000000,9.8501,9.851,9.8501,9.851,1005,0
KRAQ.US,D,20260402,000000,9.9,9.9,9.895,9.9,3257,0
KRAQ.US,D,20260406,000000,9.89,9.91,9.87,9.87,14382,0
KRAQ.US,D,20260407,000000,9.87,9.87,9.86,9.86,1379,0
KRAQ.US,D,20260408,000000,9.86,9.9,9.86,9.888,3787,0
KRAQ.US,D,20260410,000000,9.895,9.895,9.88,9.88,26603,0
KRAQ.US,D,20260415,000000,9.86,9.87,9.86,9.87,7302,0
KRAQ.US,D,20260416,000000,9.9,9.9,9.88,9.89,29334,0
KRAQ.US,D,20260417,000000,9.9,9.91,9.9,9.91,30213,0
KRAQ.US,D,20260420,000000,9.92,9.92,9.92,9.92,22333,0
KRAQ.US,D,20260421,000000,9.92,9.92,9.92,9.92,1085,0
KRAQ.US,D,20260422,000000,9.93,9.93,9.93,9.93,60011,0
KRAQ.US,D,20260423,000000,9.94,9.94,9.94,9.94,201,0
KRAQ.US,D,20260424,000000,9.91,9.925,9.91,9.92,315,0
KRAQ.US,D,20260427,000000,9.92,9.92,9.92,9.92,52214,0
KRAQ.US,D,20260428,000000,9.91,9.92,9.91,9.92,7458,0
KRAQ.US,D,20260429,000000,9.915,9.915,9.905,9.905,16306,0
KRAQ.US,D,20260430,000000,9.9,9.92,9.9,9.9,998,0
KRAQ.US,D,20260501,000000,9.925,9.925,9.91,9.91,805,0
KRAQ.US,D,20260504,000000,9.9,9.915,9.88,9.88,37762,0
KRAQ.US,D,20260505,000000,9.91,9.91,9.88,9.88,121526,0
KRAQ.US,D,20260506,000000,9.88,9.91,9.87,9.91,13395,0
KRAQ.US,D,20260507,000000,9.92,9.92,9.9,9.9,5077,0
KRAQ.US,D,20260508,000000,9.89,9.91,9.89,9.89,3256,0
KRAQ.US,D,20260511,000000,9.96,9.96,9.89,9.91,39257,0
KRAQ.US,D,20260512,000000,9.9,9.95,9.9,9.92,324817,0
KRAQ.US,D,20260514,000000,9.92,9.92,9.91,9.91,47566,0
KRAQ.US,D,20260515,000000,9.92,9.93,9.9,9.9,168985,0
KRAQ.US,D,20260518,000000,9.93,9.93,9.93,9.93,733,0
KRAQ.US,D,20260519,000000,9.93,9.93,9.91,9.92,101186,0
KRAQ.US,D,20260520,000000,9.93,9.93,9.91,9.91,1343,0
KRAQ.US,D,20260521,000000,9.95,9.95,9.91,9.91,12869,0
KRAQ.US,D,20260522,000000,9.91,9.95,9.91,9.91,18741,0
KRAQ.US,D,20260526,000000,9.925,9.9303,9.915,9.92,20471,0
KRAQ.US,D,20260527,000000,9.93,9.95,9.915,9.92,37621,0
KRAQ.US,D,20260528,000000,9.92,9.92,9.91,9.91,3786,0
KRAQ.US,D,20260529,000000,9.92,9.93,9.92,9.92,60246,0
KRAQ.US,D,20260601,000000,9.92,9.94,9.92,9.94,202326,0
KRAQ.US,D,20260602,000000,9.94,9.96,9.93,9.95,354589,0
KRAQ.US,D,20260603,000000,9.95,9.95,9.95,9.95,423,0
KRAQ.US,D,20260604,000000,9.96,9.96,9.95,9.95,438,0
KRAQ.US,D,20260605,000000,9.96,9.96,9.95,9.95,100104,0
KRAQ.US,D,20260608,000000,9.96,9.96,9.96,9.96,179,0
KRAQ.US,D,20260609,000000,9.9603,9.97,9.96,9.96,33470,0
KRAQ.US,D,20260610,000000,9.97,9.98,9.9613,9.98,273311,0
KRAQ.US,D,20260611,000000,9.98,9.98,9.97,9.97,27542,0
KRAQ.US,D,20260612,000000,9.98,9.98,9.97,9.98,26852,0
KRAQ.US,D,20260615,000000,9.98,9.98,9.98,9.98,605,0
KRAQ.US,D,20260617,000000,9.98,9.98,9.973,9.9731,155879,0
KRAQ.US,D,20260618,000000,9.9876,9.9876,9.98,9.98,1592,0
KRAQ.US,D,20260622,000000,10,10,9.97,9.97,3826,0
KRAQ.US,D,20260623,000000,9.97,10,9.97,10,1656,0
KRAQ.US,D,20260624,000000,10,10.44,10,10,13456,0
