<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LATAU.US,D,20260430,000000,10.05,10.05,10.05,10.05,202,0
LATAU.US,D,20260527,000000,10.25,11.3,10.13,10.16,3816,0
LATAU.US,D,20260528,000000,10.17,10.17,10.17,10.17,272,0
LATAU.US,D,20260529,000000,10.235,10.235,10.235,10.235,150,0
LATAU.US,D,20260601,000000,10.35,10.35,10.17,10.17,2015,0
LATAU.US,D,20260604,000000,10.17,11,10.17,10.17,2228,0
LATAU.US,D,20260605,000000,10.8991,10.8991,10.17,10.26,1731,0
LATAU.US,D,20260609,000000,11.1,12.99,10.21,10.22,9648,0
LATAU.US,D,20260610,000000,10.585,10.585,10.585,10.585,126,0
LATAU.US,D,20260617,000000,11.35,11.35,10.36,10.36,480,0
LATAU.US,D,20260618,000000,10.35,10.38,10.35,10.38,1000,0
LATAU.US,D,20260624,000000,10.18,10.32,10.17,10.19,1649,0
