<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LATAW.US,D,20251111,000000,0.5,0.5,0.4,0.499,570,0
LATAW.US,D,20251112,000000,0.388,0.5,0.3,0.35,385853,0
LATAW.US,D,20251114,000000,0.5,0.5,0.4833,0.5,8881,0
LATAW.US,D,20251117,000000,0.5,0.5,0.5,0.5,102,0
LATAW.US,D,20251121,000000,0.3987,0.3987,0.3987,0.3987,100,0
LATAW.US,D,20251125,000000,0.44,0.44,0.44,0.44,1248,0
LATAW.US,D,20251203,000000,0.37,0.37,0.35,0.35,15210,0
LATAW.US,D,20251217,000000,0.36,0.375,0.35,0.375,10380,0
LATAW.US,D,20251226,000000,0.4,0.4,0.4,0.4,200,0
LATAW.US,D,20251229,000000,0.3671,0.38,0.35,0.3559,3040,0
LATAW.US,D,20251230,000000,0.372,0.4,0.37,0.4,28925,0
LATAW.US,D,20260102,000000,0.39,0.4,0.39,0.4,1697,0
LATAW.US,D,20260105,000000,0.376,0.4,0.366,0.394,73651,0
LATAW.US,D,20260108,000000,0.385,0.385,0.385,0.385,200,0
LATAW.US,D,20260120,000000,0.37,0.4,0.3201,0.35,118019,0
LATAW.US,D,20260121,000000,0.3499,0.35,0.3202,0.3202,4009,0
LATAW.US,D,20260126,000000,0.3488,0.3488,0.34,0.34,2602,0
LATAW.US,D,20260129,000000,0.3401,0.3401,0.3401,0.3401,999,0
LATAW.US,D,20260130,000000,0.3399,0.34,0.3371,0.339702,45318,0
LATAW.US,D,20260203,000000,0.34,0.34,0.34,0.34,20606,0
LATAW.US,D,20260204,000000,0.39,0.39,0.39,0.39,541,0
LATAW.US,D,20260212,000000,0.35,0.375,0.35,0.375,11271,0
LATAW.US,D,20260218,000000,0.375,0.375,0.37,0.37,2300,0
LATAW.US,D,20260225,000000,0.375,0.4,0.375,0.4,23483,0
LATAW.US,D,20260303,000000,0.35,0.4,0.3325,0.4,48328,0
LATAW.US,D,20260316,000000,0.3473,0.3473,0.34,0.34,878,0
LATAW.US,D,20260317,000000,0.3227,0.3302,0.3226,0.3302,500,0
LATAW.US,D,20260320,000000,0.33,0.33,0.33,0.33,3749,0
LATAW.US,D,20260327,000000,0.3201,0.3202,0.3001,0.3001,16020,0
LATAW.US,D,20260414,000000,0.3199,0.3199,0.3,0.3,860,0
LATAW.US,D,20260420,000000,0.32,0.33,0.32,0.33,6932,0
LATAW.US,D,20260421,000000,0.3,0.3001,0.3,0.3001,1066,0
LATAW.US,D,20260429,000000,0.34995,0.34995,0.34995,0.34995,2749,0
LATAW.US,D,20260430,000000,0.31,0.31,0.3,0.3,5000,0
LATAW.US,D,20260511,000000,0.3,0.3,0.3,0.3,500,0
LATAW.US,D,20260512,000000,0.3,0.33,0.3,0.33,4883,0
LATAW.US,D,20260519,000000,0.33,0.33,0.33,0.33,5602,0
LATAW.US,D,20260527,000000,0.36,0.3975,0.35,0.36,36746,0
LATAW.US,D,20260528,000000,0.3999,0.4,0.374953,0.4,19860,0
LATAW.US,D,20260529,000000,0.4,0.4,0.4,0.4,260,0
LATAW.US,D,20260602,000000,0.4,0.4,0.39,0.4,1480,0
LATAW.US,D,20260624,000000,0.3885,0.39,0.3514,0.3514,460,0
