<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBGJ.US,D,20241023,000000,470,550,406,410,15765.42,0
LBGJ.US,D,20241024,000000,417,429.99,390,393,4155.33,0
LBGJ.US,D,20241025,000000,380,405,373,381,3770.86,0
LBGJ.US,D,20241028,000000,394.5,460,394.5,430,1351.21,0
LBGJ.US,D,20241029,000000,427,449,400,426,798.24,0
LBGJ.US,D,20241030,000000,415.2,442,415,431,338.88,0
LBGJ.US,D,20241031,000000,409.95,441,409.95,425,430.82,0
LBGJ.US,D,20241101,000000,400,423.89,400,412,99.67,0
LBGJ.US,D,20241104,000000,413.21,420,407,420,86.14,0
LBGJ.US,D,20241105,000000,428,447,420,428.3,368.56,0
LBGJ.US,D,20241106,000000,433,440.64,417,421.01,80.07000000000001,0
LBGJ.US,D,20241107,000000,416,437.82,400,405,469.1,0
LBGJ.US,D,20241108,000000,404,407.15,391,398,107.91,0
LBGJ.US,D,20241111,000000,398,401,391,400,90.2,0
LBGJ.US,D,20241112,000000,394,401,391,401,190.8,0
LBGJ.US,D,20241113,000000,391,422.6,391,415,79.54,0
LBGJ.US,D,20241114,000000,408,410,401.9,402.5,222.4,0
LBGJ.US,D,20241115,000000,410,410,360,370,648.5,0
LBGJ.US,D,20241118,000000,360.9,360.9,303,319,430.97,0
LBGJ.US,D,20241119,000000,327.2,400,320,399,1122.42,0
LBGJ.US,D,20241120,000000,399,436.5,350,350,3704.75,0
LBGJ.US,D,20241121,000000,350,386,347.58,348.01,308.52,0
LBGJ.US,D,20241122,000000,343.3,370,333.04,369.99,103.33,0
LBGJ.US,D,20241125,000000,382.46,425.99,347,349,3449.16,0
LBGJ.US,D,20241126,000000,354,380.4,333,340,3132.1800000000003,0
LBGJ.US,D,20241127,000000,339,361,330,330,1191.41,0
LBGJ.US,D,20241129,000000,335,340.1,314,317,468.27,0
LBGJ.US,D,20241202,000000,329,345.5,316,321,1216.19,0
LBGJ.US,D,20241203,000000,325,356,325,331,633.78,0
LBGJ.US,D,20241204,000000,352.8,414,343,377,2305.48,0
LBGJ.US,D,20241205,000000,376,397.5,330,357,2129.68,0
LBGJ.US,D,20241206,000000,351,379,350,356,325.92,0
LBGJ.US,D,20241209,000000,362,413,360,411,2756.93,0
LBGJ.US,D,20241210,000000,399,450,390,420,9177.880000000001,0
LBGJ.US,D,20241211,000000,410,440,361,371,1518.53,0
LBGJ.US,D,20241212,000000,367,376,221,276,17118.88,0
LBGJ.US,D,20241213,000000,270,349,260,340,1683.83,0
LBGJ.US,D,20241216,000000,350,410,277,318,1386.3600000000001,0
LBGJ.US,D,20241217,000000,320,349,295,331.12,5745.92,0
LBGJ.US,D,20241218,000000,304.17,364,304.17,345,879.5500000000001,0
LBGJ.US,D,20241219,000000,330,332,285,295,1384.29,0
LBGJ.US,D,20241220,000000,295.83,302,274.05,280,770.13,0
