<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFTO.US,D,20260604,000000,25.1,28.7975,24.5,28.45,11661459,0
LFTO.US,D,20260605,000000,27.51,30.098,25.99,26.88,3325732,0
LFTO.US,D,20260608,000000,27.12,28.7,26.72,27.01,1013582,0
LFTO.US,D,20260609,000000,26.7,28.6,25.77,25.77,1356153,0
LFTO.US,D,20260610,000000,25.37,26.28,24.21,24.72,2211375,0
LFTO.US,D,20260611,000000,24.67,26.57,23.08,25.66,1135921,0
LFTO.US,D,20260612,000000,25.65,26,24.48,24.48,482271,0
LFTO.US,D,20260615,000000,25,26.4899,24.3,25.39,905702,0
LFTO.US,D,20260616,000000,25.34,25.93,24.3154,24.91,711382,0
LFTO.US,D,20260617,000000,24.78,27.7,24.4801,26.67,667719,0
LFTO.US,D,20260618,000000,25.32,27.86,25.32,26.65,674572,0
LFTO.US,D,20260622,000000,26.87,27.2,24.91,24.91,432071,0
LFTO.US,D,20260623,000000,24.55,26.03,23.985,25.4,982854,0
LFTO.US,D,20260624,000000,25.565,27.29,24.375,27.06,1302284,0
