<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPCVU.US,D,20251219,000000,9.96,9.99,9.96,9.99,441286,0
LPCVU.US,D,20251222,000000,9.95,10,9.95,9.97,604893,0
LPCVU.US,D,20251223,000000,9.96,10.01,9.96,10,42981,0
LPCVU.US,D,20251224,000000,10,10,10,10,105,0
LPCVU.US,D,20251226,000000,10,10,10,10,101,0
LPCVU.US,D,20251230,000000,9.97,10,9.97,10,2316,0
LPCVU.US,D,20251231,000000,9.98,9.98,9.96,9.98,10589,0
LPCVU.US,D,20260102,000000,9.98,9.98,9.98,9.98,1172,0
LPCVU.US,D,20260105,000000,10.01,10.035,9.995,10.005,115290,0
LPCVU.US,D,20260106,000000,9.98,10.01,9.98,9.995,4859,0
LPCVU.US,D,20260107,000000,10.02,10.02,10,10.005,10148,0
LPCVU.US,D,20260108,000000,10.01,10.05,9.99,9.99,206567,0
LPCVU.US,D,20260109,000000,10.04,10.04,9.99,9.99,6000,0
LPCVU.US,D,20260112,000000,10.0303,10.08,9.99,10,1929,0
LPCVU.US,D,20260113,000000,10,10.07,10,10.04,4140,0
LPCVU.US,D,20260114,000000,10.01,10.07,10,10.03,10469,0
LPCVU.US,D,20260115,000000,10,10.01,10,10.01,1618,0
LPCVU.US,D,20260116,000000,10.01,10.01,10.01,10.01,1162,0
LPCVU.US,D,20260120,000000,10.01,10.01,10,10,1081,0
LPCVU.US,D,20260121,000000,10,10.01,10,10.01,151383,0
LPCVU.US,D,20260122,000000,10,10.01,10,10.01,48769,0
LPCVU.US,D,20260123,000000,10,10.02,10,10.02,643,0
LPCVU.US,D,20260126,000000,10.02,10.025,10,10,2538,0
LPCVU.US,D,20260127,000000,10,10.0147,10,10.0147,1273,0
LPCVU.US,D,20260128,000000,10.02,10.02,10.02,10.02,658,0
LPCVU.US,D,20260129,000000,10.02,10.02,10.015,10.015,1484,0
LPCVU.US,D,20260130,000000,10,10,10,10,152,0
LPCVU.US,D,20260202,000000,10.025,10.027,10.01,10.01,37924,0
LPCVU.US,D,20260203,000000,10,10,10,10,427,0
LPCVU.US,D,20260204,000000,10.01,10.02,10.01,10.02,5831,0
LPCVU.US,D,20260205,000000,10.05,10.05,10.01,10.01,2310,0
LPCVU.US,D,20260206,000000,10,10.05,10,10.05,1242,0
LPCVU.US,D,20260209,000000,10.05,10.08,10.04,10.08,21839,0
LPCVU.US,D,20260210,000000,10.09,10.09,10.09,10.09,25187,0
LPCVU.US,D,20260211,000000,10.1,10.1,10.03,10.03,4965,0
LPCVU.US,D,20260212,000000,10.03,10.1,10.03,10.04,12102,0
LPCVU.US,D,20260213,000000,10.03,10.03,10.01,10.01,1171,0
LPCVU.US,D,20260217,000000,10.01,10.04,10.01,10.01,831,0
LPCVU.US,D,20260218,000000,10.01,10.01,10.01,10.01,290,0
LPCVU.US,D,20260224,000000,10.01,10.01,10.01,10.01,300,0
LPCVU.US,D,20260225,000000,10.01,10.01,10.01,10.01,20102,0
LPCVU.US,D,20260226,000000,10.01,10.01,10.01,10.01,243,0
LPCVU.US,D,20260227,000000,10.022,10.022,10.022,10.022,107,0
LPCVU.US,D,20260303,000000,10.03,10.03,10.01,10.03,954,0
LPCVU.US,D,20260304,000000,10.02,10.02,10.02,10.02,100,0
LPCVU.US,D,20260305,000000,10.135,10.165,10.0759,10.0759,500,0
LPCVU.US,D,20260312,000000,10.03,10.03,10.03,10.03,2009,0
LPCVU.US,D,20260317,000000,10,10,10,10,656,0
LPCVU.US,D,20260320,000000,10,10,9.97,9.97,7452,0
LPCVU.US,D,20260323,000000,10,10,10,10,1000,0
LPCVU.US,D,20260423,000000,10.04,10.05,10.0232,10.05,1255,0
LPCVU.US,D,20260428,000000,9.98,9.98,9.98,9.98,250,0
LPCVU.US,D,20260429,000000,10.035,10.035,10.035,10.035,6187,0
LPCVU.US,D,20260522,000000,10.06,10.06,10.06,10.06,300,0
LPCVU.US,D,20260526,000000,10.1,11.44,10.1,10.1,12557,0
LPCVU.US,D,20260528,000000,10.06,10.1,10.06,10.06,2019,0
LPCVU.US,D,20260616,000000,10.08,10.08,10.06,10.08,685,0
