<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTGRU.US,D,20260604,000000,10.02,10.04,10.01,10.01,3990610,0
LTGRU.US,D,20260605,000000,10.01,10.02,10.01,10.01,570397,0
LTGRU.US,D,20260608,000000,10.0126,10.03,10.01,10.02,301913,0
LTGRU.US,D,20260609,000000,10.02,10.03,10,10.02,46637,0
LTGRU.US,D,20260610,000000,10.01,10.02,10.01,10.015,101501,0
LTGRU.US,D,20260611,000000,10.01,10.0192,10.01,10.0173,107962,0
LTGRU.US,D,20260612,000000,10,10.01,10,10.01,86617,0
LTGRU.US,D,20260616,000000,9.99,10.02,9.99,10.02,1254,0
LTGRU.US,D,20260622,000000,10.03,10.03,10.01,10.03,1482,0
LTGRU.US,D,20260624,000000,10.03,10.03,10.03,10.03,149,0
