<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVDS.US,D,20260417,000000,53.27,53.4344,53.26,53.4344,1404,0
LVDS.US,D,20260420,000000,53.27,53.5,53.27,53.46,1105,0
LVDS.US,D,20260421,000000,53.49,53.61,53.18,53.4,12953,0
LVDS.US,D,20260422,000000,53.49,53.49,53.2299,53.28,1428,0
LVDS.US,D,20260423,000000,53.85,53.86,53.66,53.79,4719,0
LVDS.US,D,20260424,000000,53.71,53.7101,53.56,53.605,1181,0
LVDS.US,D,20260427,000000,53.73,53.73,53.6339,53.6339,1288,0
LVDS.US,D,20260428,000000,53.63,53.63,53.5,53.5605,2151,0
LVDS.US,D,20260429,000000,53.75,53.75,53.555,53.64,2948,0
LVDS.US,D,20260430,000000,54.2,54.5,54.2,54.5,985,0
LVDS.US,D,20260501,000000,54.49,54.5401,52.85,54.5401,6866,0
LVDS.US,D,20260504,000000,54.49,54.49,54.155,54.155,1076,0
LVDS.US,D,20260506,000000,55.04,55.1948,55.04,55.1948,736,0
LVDS.US,D,20260507,000000,54.7402,54.7402,54.535,54.5519,2339,0
LVDS.US,D,20260508,000000,54.74,54.89,54.74,54.89,1478,0
LVDS.US,D,20260511,000000,55.06,55.075,54.95,54.9661,2300,0
LVDS.US,D,20260512,000000,54.583,55.0092,54.5499,55.0092,3331,0
LVDS.US,D,20260513,000000,55.15,55.22,54.92,55.1494,2161,0
LVDS.US,D,20260514,000000,55.29,55.385,55.21,55.2107,5985,0
LVDS.US,D,20260515,000000,54.74,54.87,54.5694,54.5694,2854,0
LVDS.US,D,20260518,000000,54.66,54.7784,54.66,54.7523,1849,0
LVDS.US,D,20260519,000000,54.71,54.745,54.53,54.5843,1915,0
LVDS.US,D,20260520,000000,54.82,55.0245,54.65,55.0245,3935,0
LVDS.US,D,20260521,000000,54.9,55.17,54.88,55.17,1291,0
LVDS.US,D,20260522,000000,55.48,55.56,55.47,55.4828,3971,0
LVDS.US,D,20260526,000000,55.96,55.97,55.81,55.9388,4517,0
LVDS.US,D,20260527,000000,56.11,56.11,55.88,55.897,1949,0
LVDS.US,D,20260528,000000,55.86,55.91,55.8208,55.8208,691,0
LVDS.US,D,20260529,000000,55.87,55.87,55.7,55.7313,3175,0
LVDS.US,D,20260601,000000,55.52,55.64,55.42,55.5359,2570,0
LVDS.US,D,20260602,000000,55.88,56.14,55.88,56.1214,5120,0
LVDS.US,D,20260603,000000,56.22,56.2228,56.21,56.2228,3879,0
LVDS.US,D,20260604,000000,56.5,56.64,56.44,56.6042,3545,0
LVDS.US,D,20260605,000000,56.24,56.38,55.7673,55.7673,630,0
LVDS.US,D,20260608,000000,55.99,56.09,55.8263,55.8263,760,0
LVDS.US,D,20260609,000000,55.53,56.1007,55.53,56.1007,903,0
LVDS.US,D,20260610,000000,56.29,56.35,55.5723,55.5723,1428,0
LVDS.US,D,20260611,000000,55.955,56.5054,55.955,56.5054,420,0
LVDS.US,D,20260612,000000,56.853,57.1,56.81,56.9748,2608,0
LVDS.US,D,20260615,000000,57.5,57.67,57.5,57.5424,1716,0
LVDS.US,D,20260616,000000,57.97,58.02,57.56,57.5868,1051,0
LVDS.US,D,20260617,000000,57.88,57.88,57.05,57.0724,1489,0
LVDS.US,D,20260618,000000,57.47,57.47,57.4212,57.4212,839,0
LVDS.US,D,20260622,000000,57.54,57.7179,57.54,57.7179,2568,0
LVDS.US,D,20260623,000000,57.05,57.08,57.0253,57.0253,1528,0
LVDS.US,D,20260624,000000,56.93,56.93,56.77,56.77,599,0
