<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAKO.US,D,20260309,000000,7.62,7.62,7.27,7.56,54700,0
MAKO.US,D,20260310,000000,7.62,7.77,7.55,7.59,29800,0
MAKO.US,D,20260311,000000,7.43,7.48,7.39,7.48,16600,0
MAKO.US,D,20260312,000000,7.46,7.46,7.2,7.2,28700,0
MAKO.US,D,20260313,000000,7.09,7.15,6.82,6.86,73100,0
MAKO.US,D,20260316,000000,6.86,6.92,6.56,6.78,60600,0
MAKO.US,D,20260317,000000,6.87,6.9,6.7,6.71,57400,0
MAKO.US,D,20260318,000000,6.71,6.71,6.3,6.33,61600,0
MAKO.US,D,20260319,000000,6.26,6.26,5.7,6.03,129500,0
MAKO.US,D,20260320,000000,6.05,6.05,5.71,5.76,44800,0
MAKO.US,D,20260323,000000,5.87,5.96,5.76,5.87,57700,0
MAKO.US,D,20260324,000000,5.73,5.98,5.71,5.97,40000,0
MAKO.US,D,20260325,000000,6.15,6.54,6.13,6.26,102200,0
MAKO.US,D,20260326,000000,6.3,6.3,5.92,5.94,94744,0
MAKO.US,D,20260327,000000,6.2013,6.3,5.9175,6.19,104170,0
MAKO.US,D,20260330,000000,6.15,6.2702,5.59,5.992,246651,0
MAKO.US,D,20260331,000000,6.1,6.4388,6.075,6.39,150128,0
MAKO.US,D,20260401,000000,6.49,6.68,6.3606,6.4,85374,0
MAKO.US,D,20260402,000000,6.08,6.4546,6.045,6.41,320348,0
MAKO.US,D,20260406,000000,6.65,6.71,6.15,6.38,227665,0
MAKO.US,D,20260407,000000,6.47,6.47,6.1564,6.46,118204,0
MAKO.US,D,20260408,000000,6.91,6.91,6.42,6.57,113040,0
MAKO.US,D,20260409,000000,6.58,7.02,6.58,6.85,168849,0
MAKO.US,D,20260410,000000,6.81,7.03,6.8,6.91,101377,0
MAKO.US,D,20260413,000000,6.79,7.2,6.71,7.1,128457,0
MAKO.US,D,20260414,000000,7.31,7.82,7.3,7.65,407469,0
MAKO.US,D,20260415,000000,7.65,7.945,7.46,7.88,448075,0
MAKO.US,D,20260416,000000,8.11,8.21,7.91,8.07,286289,0
MAKO.US,D,20260417,000000,8.24,8.41,8.11,8.26,288882,0
MAKO.US,D,20260420,000000,8.34,8.34,8.0301,8.23,152214,0
MAKO.US,D,20260421,000000,8.15,8.15,7.675,7.69,210491,0
MAKO.US,D,20260422,000000,7.86,8.12,7.59,7.72,324289,0
MAKO.US,D,20260423,000000,8.02,8.02,7.42,7.67,250499,0
MAKO.US,D,20260424,000000,7.67,7.9,7.56,7.73,136127,0
MAKO.US,D,20260427,000000,7.67,8,7.63,8,218396,0
MAKO.US,D,20260428,000000,7.78,7.8,7.47,7.54,194709,0
MAKO.US,D,20260429,000000,7.54,7.54,7.16,7.2,203791,0
MAKO.US,D,20260430,000000,7.33,7.48,7.28,7.46,95056,0
MAKO.US,D,20260501,000000,7.31,7.72,7.31,7.49,154861,0
MAKO.US,D,20260504,000000,7.51,7.7699,7.44,7.55,127091,0
MAKO.US,D,20260505,000000,7.56,7.7,7.51,7.51,69939,0
MAKO.US,D,20260506,000000,7.76,8.02,7.73,7.94,171057,0
MAKO.US,D,20260507,000000,8.06,8.3,7.755,7.78,102505,0
MAKO.US,D,20260508,000000,7.85,8.18,7.84,8.12,139624,0
MAKO.US,D,20260511,000000,8.15,8.3657,8.1,8.3,120328,0
MAKO.US,D,20260512,000000,8.27,8.3299,8,8.22,77192,0
MAKO.US,D,20260513,000000,8.25,8.35,8.1,8.27,134685,0
MAKO.US,D,20260514,000000,8.14,8.14,7.865,7.93,99745,0
MAKO.US,D,20260515,000000,7.9,8.61,7.67,8.21,356457,0
MAKO.US,D,20260518,000000,8.61,8.99,8.38,8.52,288197,0
MAKO.US,D,20260519,000000,8.43,8.43,7.9,7.94,238961,0
MAKO.US,D,20260520,000000,7.91,8.35,7.84,8.17,190920,0
MAKO.US,D,20260521,000000,8.23,8.7,8.07,8.65,223405,0
MAKO.US,D,20260522,000000,8.55,8.55,7.85,8.11,185765,0
MAKO.US,D,20260526,000000,8.14,8.64,8.14,8.62,214657,0
MAKO.US,D,20260527,000000,8.5,8.61,8.305,8.35,134523,0
MAKO.US,D,20260528,000000,8.25,8.7299,8.1,8.58,145568,0
MAKO.US,D,20260529,000000,8.73,8.89,8.3428,8.7,150837,0
MAKO.US,D,20260601,000000,8.72,8.72,8.15,8.5,178869,0
MAKO.US,D,20260602,000000,8.43,8.64,8.3,8.55,83033,0
MAKO.US,D,20260603,000000,8.52,8.69,8.16,8.21,136594,0
MAKO.US,D,20260604,000000,8.17,8.5,8.16,8.22,47341,0
MAKO.US,D,20260605,000000,8.21,8.21,7.33,7.35,407204,0
MAKO.US,D,20260608,000000,7.54,7.61,7.2718,7.4,168926,0
