<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MESH.US,D,20260130,000000,9.94,9.94,9.92,9.92,6415,0
MESH.US,D,20260202,000000,9.9,9.93,9.9,9.9,2901,0
MESH.US,D,20260203,000000,9.94,9.94,9.92,9.93,810265,0
MESH.US,D,20260204,000000,9.92,9.93,9.91,9.93,398229,0
MESH.US,D,20260205,000000,9.93,9.93,9.92,9.93,80110,0
MESH.US,D,20260210,000000,9.915,9.92,9.91,9.92,193155,0
MESH.US,D,20260211,000000,9.915,9.92,9.91,9.92,344054,0
MESH.US,D,20260212,000000,9.92,9.92,9.92,9.92,51490,0
MESH.US,D,20260213,000000,9.905,9.91,9.9,9.91,58300,0
MESH.US,D,20260217,000000,9.9,9.92,9.9,9.9,7647,0
MESH.US,D,20260218,000000,9.91,9.91,9.9,9.9,637,0
MESH.US,D,20260219,000000,9.9,9.905,9.9,9.9,956908,0
MESH.US,D,20260220,000000,9.91,9.91,9.9,9.9,100301,0
MESH.US,D,20260223,000000,9.89,9.89,9.89,9.89,1505,0
MESH.US,D,20260224,000000,9.89,9.89,9.89,9.89,49000,0
MESH.US,D,20260225,000000,9.89,9.89,9.89,9.89,1127,0
MESH.US,D,20260226,000000,9.89,9.89,9.89,9.89,664,0
MESH.US,D,20260227,000000,9.89,9.89,9.89,9.89,127,0
MESH.US,D,20260303,000000,9.905,9.905,9.89,9.89,87515,0
MESH.US,D,20260304,000000,9.89,9.89,9.89,9.89,1067,0
MESH.US,D,20260305,000000,9.88,9.89,9.88,9.88,58914,0
MESH.US,D,20260306,000000,9.885,9.885,9.875,9.88,32562,0
MESH.US,D,20260309,000000,9.89,9.89,9.88,9.88,1771,0
MESH.US,D,20260310,000000,9.89,9.89,9.88,9.88,8855,0
MESH.US,D,20260311,000000,9.88,9.88,9.88,9.88,285,0
MESH.US,D,20260312,000000,9.88,9.88,9.88,9.88,229,0
MESH.US,D,20260313,000000,9.89,9.89,9.89,9.89,9608,0
MESH.US,D,20260316,000000,9.895,9.9,9.89,9.9,6628,0
MESH.US,D,20260323,000000,9.88,9.89,9.865,9.87,1336333,0
MESH.US,D,20260324,000000,9.88,9.89,9.87,9.875,342603,0
MESH.US,D,20260325,000000,9.88,9.88,9.87,9.88,92092,0
MESH.US,D,20260326,000000,9.88,9.9,9.88,9.89,6696,0
MESH.US,D,20260327,000000,9.89,9.89,9.89,9.89,249,0
MESH.US,D,20260331,000000,9.89,9.895,9.885,9.89,104550,0
MESH.US,D,20260401,000000,9.89,9.895,9.88,9.89,123473,0
MESH.US,D,20260402,000000,9.905,9.92,9.88,9.88,35012,0
MESH.US,D,20260406,000000,9.89,9.89,9.89,9.89,376,0
MESH.US,D,20260408,000000,9.91,9.91,9.89,9.89,1555,0
MESH.US,D,20260409,000000,9.9,9.9,9.9,9.9,117065,0
MESH.US,D,20260410,000000,9.905,9.91,9.905,9.91,4358,0
MESH.US,D,20260413,000000,9.9,9.91,9.9,9.9,1451,0
MESH.US,D,20260414,000000,9.91,9.91,9.91,9.91,227,0
MESH.US,D,20260416,000000,9.9196,9.93,9.9,9.93,55586,0
MESH.US,D,20260420,000000,9.93,9.94,9.93,9.94,13043,0
MESH.US,D,20260427,000000,9.95,9.95,9.95,9.95,2024,0
MESH.US,D,20260429,000000,9.94,9.94,9.94,9.94,5793,0
MESH.US,D,20260430,000000,9.94,9.945,9.94,9.94,12717,0
MESH.US,D,20260504,000000,9.945,9.945,9.9399,9.94,36822,0
MESH.US,D,20260506,000000,9.95,9.95,9.945,9.95,41434,0
MESH.US,D,20260512,000000,9.96,9.96,9.955,9.96,1032,0
MESH.US,D,20260514,000000,9.96,9.99,9.96,9.99,3405,0
MESH.US,D,20260522,000000,9.99,9.99,9.99,9.99,559,0
MESH.US,D,20260527,000000,9.99,9.99,9.99,9.99,15044,0
MESH.US,D,20260529,000000,9.99,9.99,9.97,9.98,8854,0
MESH.US,D,20260601,000000,10,10,9.98,9.98,5012,0
MESH.US,D,20260603,000000,9.99,9.99,9.99,9.99,5951,0
MESH.US,D,20260604,000000,9.99,9.99,9.99,9.99,137,0
MESH.US,D,20260608,000000,10,10,9.99,9.99,11602,0
MESH.US,D,20260610,000000,9.99,9.99,9.99,9.99,25004,0
MESH.US,D,20260611,000000,10,10,10,10,381,0
MESH.US,D,20260617,000000,9.995,9.995,9.99,9.99,3862,0
MESH.US,D,20260618,000000,10,10,9.99,9.99,44554,0
MESH.US,D,20260622,000000,9.99,10.005,9.99,10,62074,0
MESH.US,D,20260623,000000,10,10,10,10,116,0
MESH.US,D,20260624,000000,10,10,9.99,9.99,9201,0
