<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLAAU.US,D,20260127,000000,10,10.005,9.98,10,14515311,0
MLAAU.US,D,20260128,000000,10,10.01,9.98,9.995,1429723,0
MLAAU.US,D,20260129,000000,10,10,9.99,9.995,405065,0
MLAAU.US,D,20260130,000000,10,10.015,9.99,9.99,774753,0
MLAAU.US,D,20260202,000000,10.01,10.01,10,10.01,53344,0
MLAAU.US,D,20260203,000000,10.01,10.01,10.01,10.01,955,0
MLAAU.US,D,20260204,000000,10.01,10.01,10,10,21287,0
MLAAU.US,D,20260205,000000,10,10,10,10,9404,0
MLAAU.US,D,20260206,000000,10,10,10,10,266,0
MLAAU.US,D,20260209,000000,10,10,9.99,9.99,25614,0
MLAAU.US,D,20260210,000000,10,10,9.99,9.99,284740,0
MLAAU.US,D,20260211,000000,9.9817,9.985,9.97,9.97,99962,0
MLAAU.US,D,20260212,000000,9.97,9.98,9.96,9.97,31472,0
MLAAU.US,D,20260213,000000,9.975,9.975,9.975,9.975,760,0
MLAAU.US,D,20260217,000000,9.96,9.96,9.95,9.96,29742,0
MLAAU.US,D,20260218,000000,9.965,9.965,9.9617,9.9617,740,0
MLAAU.US,D,20260219,000000,9.961,9.97,9.94,9.95,88944,0
MLAAU.US,D,20260220,000000,9.94,9.96,9.94,9.945,13583,0
MLAAU.US,D,20260223,000000,9.95,9.955,9.95,9.955,400,0
MLAAU.US,D,20260224,000000,9.95,9.96,9.9472,9.95,109534,0
MLAAU.US,D,20260225,000000,9.96,9.96,9.945,9.945,35100,0
MLAAU.US,D,20260226,000000,9.97,9.97,9.94,9.95,9377,0
MLAAU.US,D,20260227,000000,9.93,9.95,9.93,9.95,1139,0
MLAAU.US,D,20260302,000000,9.95,9.95,9.95,9.95,13132,0
MLAAU.US,D,20260303,000000,9.94,9.96,9.94,9.96,16014,0
MLAAU.US,D,20260304,000000,9.94,9.95,9.94,9.95,18200,0
MLAAU.US,D,20260305,000000,9.95,9.95,9.95,9.95,15472,0
MLAAU.US,D,20260306,000000,9.95,9.95,9.94,9.95,40941,0
MLAAU.US,D,20260309,000000,9.95,9.95,9.94,9.94,3410,0
MLAAU.US,D,20260310,000000,9.95,9.95,9.94,9.94,68354,0
MLAAU.US,D,20260311,000000,9.94,9.94,9.94,9.94,542686,0
MLAAU.US,D,20260313,000000,9.95,9.95,9.94,9.94,10262,0
MLAAU.US,D,20260317,000000,9.94,9.94,9.93,9.93,3401,0
MLAAU.US,D,20260318,000000,9.93,9.94,9.93,9.94,3653,0
MLAAU.US,D,20260319,000000,9.945,9.96,9.945,9.96,12205,0
MLAAU.US,D,20260326,000000,9.93,9.96,9.93,9.96,2200,0
MLAAU.US,D,20260327,000000,9.95,9.96,9.93,9.93,189630,0
MLAAU.US,D,20260401,000000,9.96,9.96,9.93,9.96,7979,0
MLAAU.US,D,20260402,000000,9.98,9.98,9.94,9.94,4511,0
MLAAU.US,D,20260406,000000,9.98,9.98,9.98,9.98,666,0
MLAAU.US,D,20260408,000000,9.95,9.96,9.93,9.95,4950,0
MLAAU.US,D,20260409,000000,9.99,10.02,9.9886,10.01,109036,0
MLAAU.US,D,20260410,000000,10.04,10.0421,10,10.03,32642,0
MLAAU.US,D,20260413,000000,10.05,11.03,10.04,10.05,118765,0
