<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUZEW.US,D,20260323,000000,0.24,0.3,0.24,0.27999,11501,0
MUZEW.US,D,20260324,000000,0.29,0.29,0.2814,0.2814,3000,0
MUZEW.US,D,20260325,000000,0.275,0.2762,0.2599,0.2599,1070,0
MUZEW.US,D,20260326,000000,0.265,0.265,0.2,0.22,159313,0
MUZEW.US,D,20260327,000000,0.245,0.245,0.2233,0.245,204857,0
MUZEW.US,D,20260330,000000,0.245,0.245,0.245,0.245,5300,0
MUZEW.US,D,20260331,000000,0.222,0.23,0.22,0.23,31117,0
MUZEW.US,D,20260401,000000,0.23,0.23,0.2299,0.2299,200,0
MUZEW.US,D,20260402,000000,0.22,0.3535,0.22,0.3204,13551,0
MUZEW.US,D,20260406,000000,0.299,0.3204,0.2719,0.3,1213,0
MUZEW.US,D,20260407,000000,0.3,0.3,0.3,0.3,5014,0
MUZEW.US,D,20260408,000000,0.2703,0.3587,0.23,0.275,4397,0
MUZEW.US,D,20260409,000000,0.26,0.26,0.26,0.26,1521,0
MUZEW.US,D,20260413,000000,0.28,0.3,0.2332,0.26,6920,0
MUZEW.US,D,20260414,000000,0.2797,0.28,0.24,0.26,133704,0
MUZEW.US,D,20260415,000000,0.26,0.26,0.24,0.24,18688,0
MUZEW.US,D,20260417,000000,0.26,0.28,0.25,0.25,85593,0
MUZEW.US,D,20260423,000000,0.26005,0.26005,0.25,0.25,2500,0
MUZEW.US,D,20260427,000000,0.2501,0.26,0.2491,0.26,9208,0
MUZEW.US,D,20260506,000000,0.265,0.3,0.265,0.27,14267,0
MUZEW.US,D,20260513,000000,0.3,0.3,0.29,0.3,14150,0
MUZEW.US,D,20260514,000000,0.27,0.27,0.27,0.27,2950,0
MUZEW.US,D,20260519,000000,0.2871,0.2871,0.2871,0.2871,1000,0
MUZEW.US,D,20260520,000000,0.3,0.3,0.27,0.27,5168,0
MUZEW.US,D,20260521,000000,0.27,0.27,0.26,0.26,3616,0
MUZEW.US,D,20260522,000000,0.28,0.28,0.28,0.28,100,0
MUZEW.US,D,20260528,000000,0.29,0.29,0.2759,0.2833,3000,0
MUZEW.US,D,20260529,000000,0.27,0.28,0.265299,0.266804,78608,0
MUZEW.US,D,20260603,000000,0.29,0.29,0.2502,0.285,155904,0
MUZEW.US,D,20260609,000000,0.285,0.285,0.285,0.285,1600,0
MUZEW.US,D,20260612,000000,0.2998,0.3289,0.2998,0.3,4798,0
MUZEW.US,D,20260616,000000,0.2905,0.2905,0.2904,0.2905,4164,0
MUZEW.US,D,20260618,000000,0.33,0.33,0.33,0.33,1600,0
MUZEW.US,D,20260623,000000,0.3,0.3,0.261,0.2899,11995,0
MUZEW.US,D,20260624,000000,0.31,0.31,0.28,0.3,4665,0
