<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MWC.US,D,20260514,000000,8.1,10.45,7.79,8.2,756982,0
MWC.US,D,20260515,000000,8,8.09,7.97,8,275203,0
MWC.US,D,20260518,000000,8,8,6.1,6.35,102189,0
MWC.US,D,20260519,000000,6.14,6.14,4.7,4.72,32839,0
MWC.US,D,20260520,000000,12.015,13.95,7.08,7.15,39510535,0
MWC.US,D,20260521,000000,7.06,7.06,5.79,5.9,1581416,0
MWC.US,D,20260522,000000,5.83,6.01,4.925,5.28,700020,0
MWC.US,D,20260526,000000,5.38,8.15,5.3,7.7,2571564,0
MWC.US,D,20260527,000000,7.22,7.4809,6,6.02,374313,0
MWC.US,D,20260528,000000,6.98,7.7,6.54,7.09,397540,0
MWC.US,D,20260529,000000,7.08,7.21,6.65,7.2,145384,0
MWC.US,D,20260601,000000,7.08,7.25,6.7,6.95,181861,0
MWC.US,D,20260602,000000,6.85,7.14,6.5,6.59,150443,0
MWC.US,D,20260603,000000,6.42,6.62,6.07,6.21,148112,0
MWC.US,D,20260604,000000,6.1,6.34,5.75,5.84,162392,0
MWC.US,D,20260605,000000,5.81,5.9,5.32,5.32,155596,0
MWC.US,D,20260608,000000,5.79,5.79,4.915,4.97,125705,0
MWC.US,D,20260609,000000,4.98,5.1199,4.7042,4.94,77635,0
MWC.US,D,20260610,000000,4.77,5.22,4.77,5.08,48484,0
MWC.US,D,20260611,000000,4.99,5.015,4.51,4.62,102429,0
MWC.US,D,20260612,000000,4.65,4.84,4.28,4.34,117872,0
MWC.US,D,20260615,000000,4.46,4.5499,3.9,4.23,145161,0
MWC.US,D,20260616,000000,4.12,4.19,3.51,3.93,115469,0
MWC.US,D,20260617,000000,3.88,4.0551,3.7,3.97,49326,0
MWC.US,D,20260618,000000,4.03,4.03,3.55,3.76,109294,0
MWC.US,D,20260622,000000,3.8,4.2,3.76,4.08,98586,0
MWC.US,D,20260623,000000,3.95,3.96,3.65,3.69,82694,0
MWC.US,D,20260624,000000,3.81,3.867,3.68,3.78,17131,0
