<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYHD.US,D,20260227,000000,25.04,25.04,25.0001,25.0001,500,0
MYHD.US,D,20260303,000000,24.91,24.91,24.91,24.91,701,0
MYHD.US,D,20260305,000000,25.22,25.22,24.96,24.98,10967,0
MYHD.US,D,20260306,000000,24.9,24.92,24.9,24.92,6057,0
MYHD.US,D,20260309,000000,24.92,24.92,24.92,24.92,700,0
MYHD.US,D,20260311,000000,24.95,24.95,24.925,24.925,3013,0
MYHD.US,D,20260312,000000,24.87,24.92,24.755,24.755,4612,0
MYHD.US,D,20260313,000000,24.83,24.85,24.705,24.705,4340,0
MYHD.US,D,20260318,000000,24.84,24.84,24.78,24.78,1560,0
MYHD.US,D,20260319,000000,24.67,24.78,24.67,24.78,2299,0
MYHD.US,D,20260320,000000,24.74,24.74,24.625,24.625,2206,0
MYHD.US,D,20260323,000000,24.66,24.775,24.66,24.775,1400,0
MYHD.US,D,20260324,000000,24.72,24.72,24.685,24.685,1400,0
MYHD.US,D,20260325,000000,24.77,24.77,24.77,24.77,700,0
MYHD.US,D,20260326,000000,24.7,24.7,24.58,24.58,2921,0
MYHD.US,D,20260327,000000,24.55,24.55,24.495,24.495,800,0
MYHD.US,D,20260330,000000,24.56,24.56,24.555,24.555,700,0
MYHD.US,D,20260331,000000,24.675,24.7556,24.675,24.7556,1380,0
MYHD.US,D,20260401,000000,24.71,24.71,24.65,24.69,6772,0
MYHD.US,D,20260402,000000,24.63,24.77,24.63,24.745,5227,0
MYHD.US,D,20260406,000000,24.78,24.785,24.78,24.785,100,0
MYHD.US,D,20260407,000000,24.76,24.79,24.71,24.765,4732,0
MYHD.US,D,20260408,000000,24.97,25.01,24.965,24.965,804,0
MYHD.US,D,20260409,000000,24.93,25.005,24.93,25.005,940,0
MYHD.US,D,20260414,000000,25.02,25.03,25.02,25.03,1960,0
MYHD.US,D,20260417,000000,25.14,25.16,25.14,25.14,2323,0
MYHD.US,D,20260420,000000,25.13,25.13,25.13,25.13,145,0
MYHD.US,D,20260421,000000,25.07,25.0899,25.06,25.06,1180,0
MYHD.US,D,20260423,000000,25.045,25.045,25.035,25.035,135,0
MYHD.US,D,20260427,000000,25.13,25.13,25.105,25.105,100,0
MYHD.US,D,20260429,000000,25.03,25.03,25.01,25.01,135,0
MYHD.US,D,20260430,000000,25.05,25.055,25.035,25.055,1520,0
MYHD.US,D,20260501,000000,24.965,24.99,24.965,24.985,223,0
MYHD.US,D,20260504,000000,24.93,24.96,24.915,24.915,200,0
MYHD.US,D,20260505,000000,24.925,24.925,24.925,24.925,304,0
MYHD.US,D,20260506,000000,25.02,25.03,25.02,25.03,291,0
MYHD.US,D,20260507,000000,24.98,24.98,24.965,24.965,212,0
MYHD.US,D,20260508,000000,25,25,24.98,24.98,276,0
MYHD.US,D,20260512,000000,24.96,24.96,24.935,24.935,120,0
MYHD.US,D,20260514,000000,25,25.0192,24.97,24.9803,3510,0
MYHD.US,D,20260515,000000,24.885,24.9,24.875,24.875,780,0
MYHD.US,D,20260521,000000,24.905,24.965,24.905,24.965,1300,0
MYHD.US,D,20260527,000000,25.0788,25.0788,25.065,25.065,480,0
MYHD.US,D,20260608,000000,24.9087,24.9087,24.88,24.88,690,0
MYHD.US,D,20260609,000000,24.915,24.915,24.8715,24.895,737,0
MYHD.US,D,20260610,000000,24.91,25.05,24.895,24.915,1245,0
MYHD.US,D,20260611,000000,24.92,24.975,24.92,24.975,840,0
MYHD.US,D,20260612,000000,25.02,25.025,25.0199,25.025,373,0
MYHD.US,D,20260615,000000,25.1,25.1,25.07,25.07,434,0
MYHD.US,D,20260617,000000,25,25,24.995,24.995,735,0
MYHD.US,D,20260624,000000,25.05,25.05,25.05,25.05,750,0
