<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYHE.US,D,20260303,000000,24.9,24.96,24.9,24.96,252,0
MYHE.US,D,20260304,000000,25,25,24.98,24.98,1993,0
MYHE.US,D,20260305,000000,25.19,25.19,24.92,24.925,6730,0
MYHE.US,D,20260306,000000,24.85,24.85,24.82,24.82,1501,0
MYHE.US,D,20260309,000000,24.87,24.87,24.87,24.87,700,0
MYHE.US,D,20260310,000000,24.97,24.98,24.94,24.94,3952,0
MYHE.US,D,20260311,000000,24.91,24.975,24.87,24.87,2998,0
MYHE.US,D,20260312,000000,24.82,24.83,24.695,24.695,14622,0
MYHE.US,D,20260313,000000,24.78,24.78,24.64,24.64,3710,0
MYHE.US,D,20260318,000000,24.81,24.81,24.76,24.77,1640,0
MYHE.US,D,20260319,000000,24.63,24.7444,24.63,24.7444,2177,0
MYHE.US,D,20260320,000000,24.69,24.69,24.57,24.585,4298,0
MYHE.US,D,20260323,000000,24.77,24.77,24.705,24.705,800,0
MYHE.US,D,20260324,000000,24.67,24.67,24.645,24.645,1400,0
MYHE.US,D,20260325,000000,24.74,24.76,24.74,24.755,800,0
MYHE.US,D,20260326,000000,24.68,24.68,24.555,24.555,2800,0
MYHE.US,D,20260327,000000,24.52,24.52,24.445,24.445,800,0
MYHE.US,D,20260330,000000,24.55,24.55,24.525,24.525,700,0
MYHE.US,D,20260331,000000,24.66,24.7388,24.66,24.7388,1281,0
MYHE.US,D,20260401,000000,24.69,24.6925,24.69,24.6925,4497,0
MYHE.US,D,20260402,000000,24.61,24.76,24.61,24.75,5623,0
MYHE.US,D,20260406,000000,24.77,24.775,24.77,24.775,101,0
MYHE.US,D,20260407,000000,24.71,24.78,24.7,24.75,4557,0
MYHE.US,D,20260408,000000,24.94,24.94,24.94,24.94,100,0
MYHE.US,D,20260409,000000,24.92,24.995,24.92,24.995,1656,0
MYHE.US,D,20260414,000000,25.045,25.045,25.045,25.045,1765,0
MYHE.US,D,20260417,000000,25.15,25.2,25.15,25.17,2358,0
MYHE.US,D,20260421,000000,25.05,25.05,25.025,25.025,1199,0
MYHE.US,D,20260423,000000,25.035,25.035,25.005,25.005,861,0
MYHE.US,D,20260424,000000,25.08,25.08,25.055,25.055,205,0
MYHE.US,D,20260429,000000,24.95,24.95,24.95,24.95,799,0
MYHE.US,D,20260504,000000,24.89,24.89,24.855,24.855,700,0
MYHE.US,D,20260505,000000,24.91,24.91,24.9,24.9,321,0
MYHE.US,D,20260506,000000,24.99,25.02,24.99,25,281,0
MYHE.US,D,20260508,000000,24.935,24.935,24.935,24.935,295,0
MYHE.US,D,20260514,000000,24.92,24.95,24.895,24.93,4640,0
MYHE.US,D,20260515,000000,24.82,24.82,24.785,24.785,1426,0
MYHE.US,D,20260518,000000,24.79,24.79,24.745,24.745,1002,0
MYHE.US,D,20260519,000000,24.65,24.675,24.65,24.675,1400,0
MYHE.US,D,20260521,000000,24.84,24.87,24.84,24.865,1040,0
MYHE.US,D,20260527,000000,25.02,25.03,25,25,755,0
MYHE.US,D,20260605,000000,24.77,24.77,24.765,24.765,710,0
MYHE.US,D,20260608,000000,24.8199,24.8199,24.785,24.785,725,0
MYHE.US,D,20260609,000000,24.815,24.815,24.8,24.8014,766,0
MYHE.US,D,20260610,000000,24.795,24.795,24.775,24.775,586,0
MYHE.US,D,20260611,000000,24.83,24.9,24.825,24.89,2504,0
MYHE.US,D,20260612,000000,24.9,24.915,24.9,24.915,589,0
MYHE.US,D,20260615,000000,24.98,25.005,24.98,25.005,260,0
MYHE.US,D,20260617,000000,24.94,24.94,24.87,24.915,855,0
MYHE.US,D,20260624,000000,24.9899,24.9899,24.9899,24.9899,750,0
