<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBRG.US,D,20260323,000000,9.9,9.91,9.9,9.91,6054,0
NBRG.US,D,20260324,000000,9.88,9.89,9.87,9.87,182852,0
NBRG.US,D,20260325,000000,9.87,9.9,9.87,9.88,202250,0
NBRG.US,D,20260326,000000,9.91,9.91,9.875,9.88,113796,0
NBRG.US,D,20260327,000000,9.8701,9.89,9.87,9.87,42128,0
NBRG.US,D,20260330,000000,9.635,9.89,9.59,9.88,52879,0
NBRG.US,D,20260331,000000,9.88,9.88,9.86,9.87,105829,0
NBRG.US,D,20260401,000000,9.87,9.87,9.87,9.87,50204,0
NBRG.US,D,20260402,000000,9.8712,9.8712,9.87,9.87,258,0
NBRG.US,D,20260406,000000,9.88,9.88,9.88,9.88,500,0
NBRG.US,D,20260409,000000,9.8834,9.89,9.87,9.87,40335,0
NBRG.US,D,20260410,000000,9.89,9.89,9.87,9.87,586,0
NBRG.US,D,20260413,000000,9.87,9.89,9.87,9.89,5839,0
NBRG.US,D,20260414,000000,9.87,9.89,9.87,9.89,10312,0
NBRG.US,D,20260417,000000,9.8943,9.9,9.89,9.9,302000,0
NBRG.US,D,20260420,000000,9.91,9.91,9.91,9.91,6315,0
NBRG.US,D,20260421,000000,9.91,9.91,9.91,9.91,51102,0
NBRG.US,D,20260422,000000,9.91,9.91,9.9,9.9,6609,0
NBRG.US,D,20260514,000000,9.96,9.96,9.96,9.96,100,0
NBRG.US,D,20260522,000000,9.94,9.955,9.93,9.93,3400,0
NBRG.US,D,20260529,000000,9.93,9.93,9.93,9.93,625,0
NBRG.US,D,20260601,000000,9.96,9.9602,9.95,9.96,15624,0
NBRG.US,D,20260602,000000,9.97,9.97,9.97,9.97,1623,0
NBRG.US,D,20260603,000000,9.96,9.96,9.96,9.96,329,0
NBRG.US,D,20260604,000000,9.95,9.965,9.94,9.9585,3010,0
NBRG.US,D,20260612,000000,9.96,9.98,9.96,9.98,606,0
NBRG.US,D,20260615,000000,9.96,9.98,9.96,9.98,203,0
NBRG.US,D,20260616,000000,9.96,9.96,9.96,9.96,133,0
NBRG.US,D,20260618,000000,9.98,9.99,9.98,9.98,500,0
NBRG.US,D,20260622,000000,9.97,9.97,9.9699,9.97,16397,0
