<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEXR.US,D,20220829,000000,50896.3,50896.3,39417.6,40067.3,59.34795453083241,0
NEXR.US,D,20220830,000000,39201,42014.4,34219.6,40392.2,38.9956597789858,0
NEXR.US,D,20220831,000000,39634.1,42016.5,37251.8,39850.7,45.82385259047628,0
NEXR.US,D,20220901,000000,40933.6,43099.4,37251.8,38767.8,54.54737276254468,0
NEXR.US,D,20220902,000000,41366.8,45265.2,39201,41150.2,98.54931197337461,0
NEXR.US,D,20220906,000000,42882.8,44160.6,37468.3,39417.6,34.53647610818987,0
NEXR.US,D,20220907,000000,42666.3,42880.7,34652.8,36168.9,29.436836255308904,0
NEXR.US,D,20220908,000000,34869.4,37251.8,31072.9,32487,29.306815016121796,0
NEXR.US,D,20220909,000000,30754.4,32190.2,29671.5,30970.9,12.803675308598045,0
NEXR.US,D,20220912,000000,32487,33353.3,27722.2,28805.1,32.07369099562344,0
NEXR.US,D,20220913,000000,27938.8,28372,26855.9,27938.8,26.86739309497032,0
NEXR.US,D,20220914,000000,27722.2,29019.6,27072.5,27938.8,22.49658323518608,0
NEXR.US,D,20220915,000000,27289.1,27938.8,26422.8,27722.2,10.697155778972883,0
NEXR.US,D,20220916,000000,26855.9,27241.5,24257,25339.9,14.30192075972641,0
NEXR.US,D,20220919,000000,25123.3,25556.4,22524.3,23390.6,9.080847718256534,0
NEXR.US,D,20220920,000000,22740.9,23174.1,21441.4,22524.3,9.410287186153408,0
NEXR.US,D,20220921,000000,22524.3,25123.3,21658,23607.2,35.59853169902155,0
NEXR.US,D,20220922,000000,23174.1,24473.5,22307.7,23607.2,11.133576500845905,0
NEXR.US,D,20220923,000000,22957.5,24257,22740.9,22957.5,9.438729332225838,0
NEXR.US,D,20220926,000000,22957.5,24906.7,22740.9,23390.6,5.493166494072167,0
NEXR.US,D,20220927,000000,23390.6,24690.1,23174.1,24473.5,7.316418870852586,0
NEXR.US,D,20220928,000000,23607.2,24235.3,22307.7,23823.8,7.312032500922864,0
NEXR.US,D,20220929,000000,22740.9,22957.5,20579.4,21435,8.822559787854363,0
NEXR.US,D,20220930,000000,21036.4,23548.7,19925.4,22091.2,13.786868585319054,0
NEXR.US,D,20221003,000000,21658,23172,21658,22307.7,2.904238616781784,0
NEXR.US,D,20221004,000000,22307.7,23823.8,21224.8,22305.6,5.310508815725879,0
NEXR.US,D,20221005,000000,21636.3,22524.3,21398.2,21874.6,1.3705328276936886,0
NEXR.US,D,20221006,000000,21874.6,22957.5,21653.7,22091.2,4.148674852068064,0
NEXR.US,D,20221007,000000,22091.2,22931.4,20813.4,21040.7,13.783821212525925,0
NEXR.US,D,20221010,000000,21333.2,22524.3,21226.9,21874.6,1.643041831131654,0
NEXR.US,D,20221011,000000,21658,22524.3,21116.6,21874.6,3.0966386536042014,0
NEXR.US,D,20221012,000000,22740.9,24906.7,22091.2,24473.5,11.187367247881696,0
NEXR.US,D,20221013,000000,23390.6,24257,22524.3,22524.3,3.679056235672356,0
NEXR.US,D,20221014,000000,22524.3,22641.2,21118.7,21118.7,2.597331238630005,0
NEXR.US,D,20221017,000000,21658,23605.1,21549.8,22524.3,4.086388399062705,0
NEXR.US,D,20221018,000000,22740.9,24473.5,22177.8,23174.1,8.078631447733914,0
NEXR.US,D,20221019,000000,22743,23174.1,21658,21658,1.9319420064131037,0
NEXR.US,D,20221020,000000,22740.9,24906.7,21874.6,24040.4,23.747252733004167,0
NEXR.US,D,20221021,000000,24257,26855.9,23174.1,25989.6,9.551482125582977,0
NEXR.US,D,20221024,000000,26639.3,26747.7,22957.5,24257,2.0748914938146448,0
NEXR.US,D,20221025,000000,23823.8,24473.5,22091.2,23390.6,3.19106103788591,0
NEXR.US,D,20221026,000000,23607.2,24365.3,23193.5,23825.9,1.1648813364513235,0
NEXR.US,D,20221027,000000,24257,25339.9,23875.7,24581.9,2.906454887904278,0
NEXR.US,D,20221028,000000,24690.1,25989.6,24473.5,25580.2,4.182888537521779,0
NEXR.US,D,20221031,000000,25339.9,27072.5,24475.6,25989.6,3.7403730700615743,0
NEXR.US,D,20221101,000000,26639.3,29021.7,24040.4,25773,6.494967213759322,0
NEXR.US,D,20221102,000000,25773,28588.6,25558.5,27072.5,2.231831192676952,0
NEXR.US,D,20221103,000000,26206.2,30104.6,26206.2,27505.7,5.119216914464605,0
NEXR.US,D,20221104,000000,27938.8,29454.9,25989.6,29021.7,9.870255788703476,0
NEXR.US,D,20221107,000000,28372,30970.9,27321.7,29888,2.6599870701557724,0
NEXR.US,D,20221108,000000,31837.3,32920.2,29454.9,32270.4,9.942792495650291,0
NEXR.US,D,20221109,000000,31620.7,34652.8,31404.1,34436.2,4.665389229817153,0
NEXR.US,D,20221110,000000,35254.9,38116,32703.6,36818.6,9.074614455724138,0
NEXR.US,D,20221111,000000,36818.6,41475.1,36818.6,41150.2,7.202327080358436,0
NEXR.US,D,20221114,000000,42016.5,42882.8,39042.9,41150.2,6.040816322906182,0
NEXR.US,D,20221115,000000,41150.2,43316,39283.3,40933.6,3.328700709056519,0
NEXR.US,D,20221116,000000,41150.2,42233.1,38551.2,40500.5,2.1491827487335575,0
NEXR.US,D,20221117,000000,39012.5,43316,38767.8,42233.1,3.4408070900031626,0
NEXR.US,D,20221118,000000,41583.4,45265.2,41152.3,42449.7,3.212669681330297,0
