<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NICM.US,D,20260414,000000,7.02,7.51,6.45,6.96,64123,0
NICM.US,D,20260415,000000,9.24,10.6,6.72,8.23,8309221,0
NICM.US,D,20260416,000000,7.12,7.14,5.97,6.49,536238,0
NICM.US,D,20260417,000000,6.54,7.14,6.11,6.19,255970,0
NICM.US,D,20260420,000000,5.9,6.5,5.41,6.41,179053,0
NICM.US,D,20260421,000000,6.06,6.4,6,6.175,88504,0
NICM.US,D,20260422,000000,6.36,6.6,6.36,6.46,68084,0
NICM.US,D,20260423,000000,6.2,6.35,6.1122,6.33,53995,0
NICM.US,D,20260424,000000,6.0977,6.3571,6.02,6.28,33843,0
NICM.US,D,20260427,000000,6.09,6.255,6.0412,6.18,34888,0
NICM.US,D,20260428,000000,6,6.75,6,6.66,79317,0
NICM.US,D,20260429,000000,6.55,6.79,6.3459,6.77,30640,0
NICM.US,D,20260430,000000,6.47,6.72,6.3,6.6,41582,0
NICM.US,D,20260501,000000,6.59,6.7,6.57,6.62,26542,0
NICM.US,D,20260504,000000,6.45,6.515,6.2001,6.3,24880,0
NICM.US,D,20260505,000000,6.2,6.3,6.07,6.1,28788,0
NICM.US,D,20260506,000000,6.08,6.7,5.97,6.455,52754,0
NICM.US,D,20260507,000000,6.49,6.89,6.49,6.89,21235,0
NICM.US,D,20260508,000000,6.61,6.812,6.4602,6.71,12785,0
NICM.US,D,20260511,000000,6.79,6.79,6.5,6.57,22261,0
NICM.US,D,20260512,000000,6.555,6.7,6.55,6.55,32918,0
NICM.US,D,20260513,000000,6.53,6.7,6.4,6.63,44899,0
NICM.US,D,20260514,000000,6.46,6.61,6.45,6.48,14341,0
NICM.US,D,20260515,000000,6.4,6.46,6.0452,6.08,37062,0
NICM.US,D,20260518,000000,6.18,6.18,6.06,6.06,21054,0
NICM.US,D,20260519,000000,6.08,6.542,6.02,6.09,16376,0
NICM.US,D,20260520,000000,6.19,6.2,6.0898,6.13,6864,0
NICM.US,D,20260521,000000,6.13,6.36,6.11,6.18,27849,0
NICM.US,D,20260522,000000,6.16,6.4,6.11,6.19,16343,0
NICM.US,D,20260526,000000,6.28,6.315,6.1606,6.25,8185,0
NICM.US,D,20260527,000000,6.2,6.3058,6.11,6.11,10392,0
NICM.US,D,20260528,000000,6.2,6.6485,6.15,6.34,17179,0
NICM.US,D,20260529,000000,6.32,6.82,6.32,6.65,15108,0
NICM.US,D,20260601,000000,6.79,6.865,6.51,6.81,17500,0
NICM.US,D,20260602,000000,6.8,7.1,6.66,7,25694,0
NICM.US,D,20260603,000000,6.99,7.19,6.66,6.71,52078,0
NICM.US,D,20260604,000000,6.905,7,6.4,6.41,37129,0
NICM.US,D,20260605,000000,6.3,6.89,6.3,6.5,73121,0
NICM.US,D,20260608,000000,6.7007,6.7007,6.44,6.44,13000,0
NICM.US,D,20260609,000000,6.51,6.51,6.2,6.2,20089,0
NICM.US,D,20260610,000000,6.49,6.49,6.05,6.08,8927,0
NICM.US,D,20260611,000000,6.1,6.18,6.01,6.18,3687,0
NICM.US,D,20260612,000000,6.06,6.3,5.9711,6.15,17771,0
NICM.US,D,20260615,000000,6.06,6.285,6.06,6.11,4260,0
NICM.US,D,20260616,000000,6.11,6.34,6.1,6.22,10353,0
NICM.US,D,20260617,000000,6.2,6.325,6.16,6.16,2592,0
NICM.US,D,20260618,000000,6.18,6.325,6.16,6.16,2607,0
NICM.US,D,20260622,000000,6.1601,6.3499,6.15,6.15,2783,0
NICM.US,D,20260623,000000,6.16,6.2,6.15,6.15,2739,0
NICM.US,D,20260624,000000,6.16,6.48,6.07,6.23,13905,0
