<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODTX.US,D,20260508,000000,20,20.3,15.35,16.42,3171335,0
ODTX.US,D,20260511,000000,16.56,17.72,16.405,17.45,426999,0
ODTX.US,D,20260512,000000,17.61,18.055,17.27,17.9,171159,0
ODTX.US,D,20260513,000000,18.06,18.06,17.4,17.94,316325,0
ODTX.US,D,20260514,000000,17.92,17.94,17.08,17.32,356661,0
ODTX.US,D,20260515,000000,17.15,17.8552,17,17.62,405163,0
ODTX.US,D,20260518,000000,17.55,17.705,17.0001,17.39,371828,0
ODTX.US,D,20260519,000000,17.39,17.6499,16.75,16.94,376526,0
ODTX.US,D,20260520,000000,16.93,17.5,16.78,16.965,389040,0
ODTX.US,D,20260521,000000,17,18.24,16.75,17.74,408154,0
ODTX.US,D,20260522,000000,17.56,18.43,16.5,17.5,323581,0
ODTX.US,D,20260526,000000,17.24,18.295,16.975,17.56,400110,0
ODTX.US,D,20260527,000000,17.97,18.3,17.04,17.19,405166,0
ODTX.US,D,20260528,000000,17.35,18.31,16.725,17.92,309259,0
ODTX.US,D,20260529,000000,17.95,18.015,16.86,17.01,165302,0
ODTX.US,D,20260601,000000,17.5,18.15,16.5266,16.96,127395,0
ODTX.US,D,20260602,000000,17.07,18.6,16.33,16.93,451195,0
ODTX.US,D,20260603,000000,16.89,17.235,16.25,16.69,365165,0
ODTX.US,D,20260604,000000,16.63,17.42,16.5,17,200534,0
ODTX.US,D,20260605,000000,16.83,17.325,16.01,16.43,389821,0
ODTX.US,D,20260608,000000,16.55,17.49,16.48,17.12,197788,0
ODTX.US,D,20260609,000000,17.25,17.55,16.925,17.09,269275,0
ODTX.US,D,20260610,000000,17.09,18.18,16,16.2,421950,0
ODTX.US,D,20260611,000000,16.34,17.41,16.2,16.81,214671,0
ODTX.US,D,20260612,000000,16.8,17.91,16.32,16.9,250394,0
ODTX.US,D,20260615,000000,16.9,18.38,16.9,17.65,278314,0
ODTX.US,D,20260616,000000,17.83,18.25,17.3301,17.87,451892,0
ODTX.US,D,20260617,000000,18.1,18.7199,17.93,18.48,471203,0
ODTX.US,D,20260618,000000,18.77,19.4921,17.95,19.07,1602912,0
ODTX.US,D,20260622,000000,19.39,20,18.55,18.72,375955,0
ODTX.US,D,20260623,000000,18.5,18.92,17.5507,18.55,397744,0
ODTX.US,D,20260624,000000,18.8,19.4,18,18.47,281889,0
