<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OHAC.US,D,20260605,000000,10,10,9.88,9.88,109622,0
OHAC.US,D,20260608,000000,9.86,9.88,9.86,9.87,697363,0
OHAC.US,D,20260609,000000,9.88,9.88,9.87,9.87,1394509,0
OHAC.US,D,20260610,000000,9.87,9.87,9.87,9.87,581,0
OHAC.US,D,20260611,000000,9.88,9.8801,9.875,9.88,36052,0
OHAC.US,D,20260612,000000,9.88,9.9,9.87,9.87,199184,0
OHAC.US,D,20260615,000000,9.9,9.9,9.88,9.88,1773,0
OHAC.US,D,20260616,000000,9.88,9.9,9.88,9.88,176429,0
OHAC.US,D,20260617,000000,9.9,9.9,9.89,9.89,785,0
OHAC.US,D,20260622,000000,9.9,9.92,9.89,9.89,294972,0
OHAC.US,D,20260623,000000,9.95,9.95,9.89,9.89,3184,0
OHAC.US,D,20260624,000000,9.89,9.905,9.89,9.9,273005,0
