<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPTH.US,D,20260309,000000,6.348,6.348,6.348,6.348,70.7999999292,0
OPTH.US,D,20260310,000000,6.675,6.675,6.5805,6.594,3373.33332996,0
OPTH.US,D,20260312,000000,6.378,6.543,6.366,6.543,3544.9999964549997,0
OPTH.US,D,20260316,000000,6.702,6.702,5.712,5.7378,325.33333300799995,0
OPTH.US,D,20260317,000000,6.12,6.8082,6.12,6.8082,2088.333331245,0
OPTH.US,D,20260319,000000,6.36057,6.402,6.36057,6.402,373.29999962669996,0
OPTH.US,D,20260323,000000,6.198,6.198,6,6.198,2218.333331115,0
OPTH.US,D,20260324,000000,6.198,6.198,6,6,183.33333315,0
OPTH.US,D,20260325,000000,5.9496,6.12,5.9496,6.12,188.33333314499998,0
OPTH.US,D,20260326,000000,5.952,6.3,5.946,6.192,0,0
OPTH.US,D,20260327,000000,6.21,6.21,6.21,6.21,0,0
OPTH.US,D,20260330,000000,6.219,6.219,6.219,6.219,0,0
OPTH.US,D,20260331,000000,6.264,6.903,6.264,6.27,2166.6666644999996,0
OPTH.US,D,20260401,000000,6.27,6.27,6.27,6.27,0,0
OPTH.US,D,20260402,000000,6.018,6.018,6.018,6.018,0,0
OPTH.US,D,20260408,000000,6.591,6.591,6.3,6.3,0,0
OPTH.US,D,20260409,000000,5.85,6.807,5.85,6.807,118.7333332146,0
OPTH.US,D,20260410,000000,6.507,6.621,6.504,6.525,0,0
OPTH.US,D,20260413,000000,6.5208,6.6948,6.5208,6.6948,0,0
OPTH.US,D,20260414,000000,6.525,6.84,6.525,6.84,656.66666601,0
OPTH.US,D,20260416,000000,6.5907,6.858,6.5547,6.801,0,0
OPTH.US,D,20260420,000000,7.1445,8.751,6.696,7.89,10132.999989867,0
OPTH.US,D,20260421,000000,7.8,8.742,7.8,7.95,6479.133326854199,0
OPTH.US,D,20260422,000000,8.115,8.4,7.8,8.04,1028.0666656386,0
OPTH.US,D,20260423,000000,8.022,8.787,7.989,8.487,2011.1333313221999,0
OPTH.US,D,20260424,000000,8.718,8.718,7.8,7.9332,2223.2333311100997,0
OPTH.US,D,20260427,000000,8.037,8.403,7.5888,7.5888,1539.2999984607,0
OPTH.US,D,20260428,000000,7.545,7.656,6.909,7.5,2591.1666640754997,0
OPTH.US,D,20260429,000000,7.5,8.1288,7.4025,7.779,2532.2333308011,0
OPTH.US,D,20260430,000000,7.8,8.163,7.8,8.10477,712.1999992878,0
OPTH.US,D,20260501,000000,7.5015,7.77,7.5,7.5,777.6666658889999,0
OPTH.US,D,20260504,000000,8.298,8.298,6.414,6.651,5138.399994861599,0
OPTH.US,D,20260505,000000,6.888,6.9255,6.816,6.9,241.49999975849997,0
OPTH.US,D,20260506,000000,7.02,7.17,7.02,7.17,66.6666666,0
OPTH.US,D,20260507,000000,7.2768,7.392,6.885,7.1385,1179.4999988205,0
OPTH.US,D,20260508,000000,5.157,7.44,5.157,7.44,817.4666658491999,0
OPTH.US,D,20260511,000000,7.602,7.605,7.1565,7.362,1463.5333318698,0
OPTH.US,D,20260512,000000,7.245,7.245,6.9885,6.9885,168.39999983159998,0
OPTH.US,D,20260513,000000,7.113,7.263,6.549,6.8757,702.6666659639999,0
OPTH.US,D,20260514,000000,6.9,7.002,6.7113,7.002,949.2666657173999,0
OPTH.US,D,20260515,000000,6.804,7.269,6.804,7.1445,923.666665743,0
OPTH.US,D,20260518,000000,7.1202,7.1235,7.1202,7.1235,235.7666664309,0
OPTH.US,D,20260519,000000,7.05447,8.403,6.9,7.056,1683.3666649832999,0
OPTH.US,D,20260520,000000,5.5,6.4,5.2,6.08,2237890,0
OPTH.US,D,20260521,000000,5.51,5.82,4.95,5.7,468583,0
OPTH.US,D,20260522,000000,5.45,6.12,5.45,5.85,478037,0
OPTH.US,D,20260526,000000,5.8,5.91,5.37,5.71,114042,0
OPTH.US,D,20260527,000000,5.82,5.82,5.456,5.51,21550,0
OPTH.US,D,20260528,000000,5.57,5.75,5.54,5.65,25466,0
OPTH.US,D,20260529,000000,5.7,6.0799,5.6,5.965,145781,0
OPTH.US,D,20260601,000000,5.85,5.92,5.62,5.64,59989,0
OPTH.US,D,20260602,000000,5.73,6.2,5.6,5.85,301297,0
OPTH.US,D,20260603,000000,6,6,5.6,5.67,191084,0
OPTH.US,D,20260604,000000,5.65,5.79,5.5,5.64,43672,0
OPTH.US,D,20260605,000000,5.66,5.735,4.51,4.64,188847,0
OPTH.US,D,20260608,000000,5.27,5.9881,5.15,5.16,483010,0
OPTH.US,D,20260609,000000,5.15,5.35,4.64,4.915,141521,0
OPTH.US,D,20260610,000000,4.9,5.13,4.67,4.67,154238,0
OPTH.US,D,20260611,000000,4.67,4.67,4,4.06,106534,0
OPTH.US,D,20260612,000000,4.54,4.73,4.35,4.55,264959,0
OPTH.US,D,20260615,000000,4.55,5.01,4.34,4.81,134066,0
OPTH.US,D,20260616,000000,4.74,4.8,4.03,4.19,115718,0
OPTH.US,D,20260617,000000,4.41,4.4599,4.01,4.36,101528,0
OPTH.US,D,20260618,000000,4.6,5.75,4.4,5.025,651280,0
OPTH.US,D,20260622,000000,5,5.1899,4.15,4.24,168404,0
OPTH.US,D,20260623,000000,4.1,4.4064,4.1,4.17,29754,0
OPTH.US,D,20260624,000000,4.21,4.21,4.01,4.01,11397,0
