<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORBX.US,D,20260415,000000,51.7,52.55,50.81,52.4567,32549,0
ORBX.US,D,20260416,000000,53.25,56.795,53.2,56.7181,75218,0
ORBX.US,D,20260417,000000,57.51,57.73,55.83,56.06,61743,0
ORBX.US,D,20260420,000000,55.37,56.78,55.19,56.0899,35172,0
ORBX.US,D,20260421,000000,56.88,57.8499,55.64,55.76,39987,0
ORBX.US,D,20260422,000000,57.79,59.11,56.16,57.2985,24716,0
ORBX.US,D,20260423,000000,56.86,56.86,53.0231,54.29,36625,0
ORBX.US,D,20260424,000000,54.68,54.68,51.311,51.5337,23177,0
ORBX.US,D,20260427,000000,51.46,51.47,49.99,51.47,17881,0
ORBX.US,D,20260428,000000,50.87,51.11,49.92,50.1531,11729,0
ORBX.US,D,20260429,000000,49.94,49.94,48.32,49.2972,11395,0
ORBX.US,D,20260430,000000,50.16,52.4,50,52.1823,27170,0
ORBX.US,D,20260501,000000,52.52,52.52,51.14,51.6455,17926,0
ORBX.US,D,20260504,000000,51.93,52.17,50.7,51.8295,20150,0
ORBX.US,D,20260505,000000,53.29,53.29,50.58,51.2168,17876,0
ORBX.US,D,20260506,000000,52.03,54.37,51.581,54.3092,37903,0
ORBX.US,D,20260507,000000,54.35,54.35,50.74,51.2409,33380,0
ORBX.US,D,20260508,000000,53.15,58.43,53.15,58.364,72758,0
ORBX.US,D,20260511,000000,59,63.46,58.36,62.056,112885,0
ORBX.US,D,20260512,000000,60.02,61.69,58.32,60.53,68757,0
ORBX.US,D,20260513,000000,61.52,61.84,59.46,61.33,68652,0
ORBX.US,D,20260514,000000,61.32,64.79,60.47,64.3702,67551,0
ORBX.US,D,20260515,000000,62.65,63.33,60.77,61.74,89082,0
ORBX.US,D,20260518,000000,64.67,66.64,61.54,63.7576,97295,0
ORBX.US,D,20260519,000000,62.52,63.74,58.9401,63.08,102972,0
ORBX.US,D,20260520,000000,63.56,65.39,62.15,65.05,73287,0
ORBX.US,D,20260521,000000,64,65.4899,63.17,64.7378,67315,0
ORBX.US,D,20260522,000000,67,69.99,67,69.9,116851,0
ORBX.US,D,20260526,000000,76,78.0799,73.55,75.38,259426,0
ORBX.US,D,20260527,000000,77.805,78.44,74.14,78.03,587096,0
ORBX.US,D,20260528,000000,77.74,79.715,75.85,78.57,334444,0
ORBX.US,D,20260529,000000,76.32,76.48,70,74.84,154735,0
ORBX.US,D,20260601,000000,72,73,67.3,68.16,170259,0
ORBX.US,D,20260602,000000,68.27,70.455,68,69.06,80500,0
ORBX.US,D,20260603,000000,67.58,67.71,63.83,64.01,74210,0
ORBX.US,D,20260604,000000,63.3,67.3,62.32,66.02,70879,0
ORBX.US,D,20260605,000000,63.98,63.98,58.09,59.31,85981,0
ORBX.US,D,20260608,000000,61.7,61.7,59.22,59.79,75507,0
ORBX.US,D,20260609,000000,60.93,61.2899,54.44,56.82,144535,0
ORBX.US,D,20260610,000000,56.6,57.71,55.525,55.75,49365,0
ORBX.US,D,20260611,000000,57.05,62.3,56.51,62.13,172203,0
ORBX.US,D,20260612,000000,62.52,62.89,55.56,56.16,477131,0
ORBX.US,D,20260615,000000,57.39,57.5106,55.4,56.17,113914,0
ORBX.US,D,20260616,000000,55.5,55.54,53.03,54,121237,0
ORBX.US,D,20260617,000000,54.47,56.1,54.35,54.67,74796,0
ORBX.US,D,20260618,000000,54.9,55.14,51.92,54,56544,0
ORBX.US,D,20260622,000000,52.65,53,50.6,51.71,86416,0
ORBX.US,D,20260623,000000,49.5,52.0798,49.5,50.4,91889,0
ORBX.US,D,20260624,000000,47.36,47.36,47.06,47.36,148627,0
