<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORCS.US,D,20251119,000000,24.71,24.71,24.4261,24.4261,2107,0
ORCS.US,D,20251120,000000,24.3688,26.0563,24.3688,26.0563,5061,0
ORCS.US,D,20251121,000000,26.55,28.2,26.55,27.5963,123375,0
ORCS.US,D,20251124,000000,27.74,28.08,26.93,27.3262,127521,0
ORCS.US,D,20251125,000000,28.31,29.309,27.52,27.7889,92645,0
ORCS.US,D,20251126,000000,26.22,27.02,25.981,26.6203,176752,0
ORCS.US,D,20251128,000000,27.35,27.61,27.05,27.12,169400,0
ORCS.US,D,20251201,000000,27.3,27.75,26.9275,27.2228,17355,0
ORCS.US,D,20251202,000000,26.56,27.23,26.07,27.1777,22955,0
ORCS.US,D,20251203,000000,27.32,27.36,26.27,26.2983,33954,0
ORCS.US,D,20251204,000000,26.15,26.414,25.44,25.469,15677,0
ORCS.US,D,20251205,000000,25.28,25.4394,24.995,25.0749,10849,0
ORCS.US,D,20251208,000000,24.6,25.11,24.31,24.7598,61274,0
ORCS.US,D,20251209,000000,24.781,24.85,24.5644,24.6282,14664,0
ORCS.US,D,20251210,000000,24.878,25.0799,24.31,24.44,380696,0
ORCS.US,D,20251211,000000,28.07,28.53,26.85,27.2182,410869,0
ORCS.US,D,20251212,000000,27.62,28.92,27.45,28.44,162160,0
ORCS.US,D,20251215,000000,28.59,29.65,28.59,29.17,76563,0
ORCS.US,D,20251216,000000,29.28,29.28,28.36,28.5719,105132,0
ORCS.US,D,20251217,000000,29.32,30.29,29.2207,30.09,232188,0
ORCS.US,D,20251218,000000,29.4,30.08,29.12,29.88,99777,0
ORCS.US,D,20251219,000000,28.2985,28.305,27.38,27.79,553506,0
ORCS.US,D,20251222,000000,27.12,27.73,26.9,26.93,96933,0
ORCS.US,D,20251223,000000,27.08,27.7,27.08,27.32,69374,0
ORCS.US,D,20251224,000000,27.3,27.3,26.901,26.9719,41745,0
ORCS.US,D,20251226,000000,26.73,27.1496,26.71,26.97,28359,0
ORCS.US,D,20251229,000000,27.49,27.66,26.9,27.3086,48682,0
ORCS.US,D,20251230,000000,27,27.18,26.94,27.0817,18727,0
ORCS.US,D,20251231,000000,27.17,27.39,27.08,27.3718,13061,0
ORCS.US,D,20260102,000000,26.53,27.48,26.53,27.26,25056,0
ORCS.US,D,20260105,000000,26.87,27.72,26.48,27.687,35318,0
ORCS.US,D,20260106,000000,27.79,27.95,27.5758,27.5758,11552,0
ORCS.US,D,20260107,000000,27.7,27.7128,27.48,27.7034,10728,0
ORCS.US,D,20260108,000000,27.96,28.62,27.96,28.1652,39576,0
ORCS.US,D,20260109,000000,27.91,28,26.56,26.7456,49358,0
ORCS.US,D,20260112,000000,26.89,26.9,25.72,25.9448,52743,0
ORCS.US,D,20260113,000000,25.79,26.45,25.6,26.2669,20483,0
ORCS.US,D,20260114,000000,26.64,27.69,26.64,27.3869,34726,0
ORCS.US,D,20260115,000000,27.4768,27.96,27.34,27.95,25983,0
ORCS.US,D,20260116,000000,27.99,28.4,27.68,27.734,21461,0
ORCS.US,D,20260120,000000,28.28,29.42,28.28,29.41,36125,0
ORCS.US,D,20260121,000000,29.55,30.9,29.55,30.3862,128918,0
ORCS.US,D,20260122,000000,29.38,29.85,29.38,29.6591,18574,0
ORCS.US,D,20260123,000000,30.61,30.61,29.485,29.8141,44423,0
ORCS.US,D,20260126,000000,29.14,29.17,28.47,28.9816,81960,0
ORCS.US,D,20260127,000000,29.54,30.32,29.43,30.17,64767,0
ORCS.US,D,20260128,000000,30.16,30.61,29.07,30.4908,152069,0
ORCS.US,D,20260129,000000,30.95,32.49,30.95,31.16,77665,0
ORCS.US,D,20260130,000000,31.73,32.16,31.23,31.9844,21340,0
ORCS.US,D,20260202,000000,30.87,32.91,30.87,32.86,144929,0
ORCS.US,D,20260203,000000,33.22,34.535,33.1301,34.04,89004,0
ORCS.US,D,20260204,000000,34.32,36.21,34.32,35.77,93899,0
ORCS.US,D,20260205,000000,36.15,38.55,35.89,38.26,158097,0
ORCS.US,D,20260206,000000,37.47,37.6,36.46,36.5,97312,0
ORCS.US,D,20260209,000000,34.99,35.255,32.24,32.98,188307,0
ORCS.US,D,20260210,000000,32.21,32.8,31.2,32.26,129196,0
ORCS.US,D,20260211,000000,31.51,33.44,31.51,32.9,58607,0
ORCS.US,D,20260212,000000,33.15,33.78,32.535,33.0116,66440,0
ORCS.US,D,20260213,000000,32.54,33.235,31.98,32.26,36663,0
ORCS.US,D,20260217,000000,32.73,33.7299,32.5,33.5221,45686,0
ORCS.US,D,20260218,000000,33.5,34.015,32.8,33.0301,36627,0
ORCS.US,D,20260219,000000,32.9,33.075,32.29,33.0215,16585,0
ORCS.US,D,20260220,000000,33.89,34.8799,33.56,34.7678,38070,0
ORCS.US,D,20260223,000000,35.49,36.96,35.49,36.45,31524,0
ORCS.US,D,20260224,000000,36.525,36.525,34.97,35.12,35900,0
ORCS.US,D,20260225,000000,34.24,34.81,33.47,34.68,50603,0
ORCS.US,D,20260226,000000,34.58,35.18,33.785,34.2053,27579,0
ORCS.US,D,20260227,000000,35.57,36.01,35.15,35.348,15389,0
ORCS.US,D,20260302,000000,36.07,36.07,34.15,34.3467,49589,0
ORCS.US,D,20260303,000000,35.51,35.728,33.98,34.34,52731,0
ORCS.US,D,20260304,000000,34.03,34.07,33.38,33.58,24160,0
ORCS.US,D,20260305,000000,33.4,34.0611,32.5,33.12,82582,0
ORCS.US,D,20260306,000000,33.59,33.765,32.225,33.54,125683,0
ORCS.US,D,20260309,000000,33.95,34.84,33.82,33.82,51451,0
ORCS.US,D,20260310,000000,33.44,34.53,33.33,34.23,345343,0
ORCS.US,D,20260311,000000,30.51,31.73,29.23,31.17,658837,0
ORCS.US,D,20260312,000000,30.93,32,30.36,31.9519,142942,0
ORCS.US,D,20260313,000000,31.98,32.91,31.66,32.79,76851,0
ORCS.US,D,20260316,000000,32.52,32.87,32.15,32.6151,33811,0
ORCS.US,D,20260317,000000,32.6,33.05,32.11,32.8595,22959,0
ORCS.US,D,20260318,000000,32.98,33.44,32.85,33.229,19046,0
ORCS.US,D,20260319,000000,33.9,33.9,32.4,32.645,14136,0
ORCS.US,D,20260320,000000,33.32,34.25,33.32,33.9988,31099,0
ORCS.US,D,20260323,000000,33.4,33.6,32.57,32.87,38054,0
ORCS.US,D,20260324,000000,33.13,34.2762,32.85,34.2762,16439,0
ORCS.US,D,20260325,000000,33.7,34.8099,33.64,34.5575,19986,0
ORCS.US,D,20260326,000000,34.73,35.3188,34.635,35.3083,18992,0
ORCS.US,D,20260327,000000,35.93,36.26,35.695,36.1,15292,0
ORCS.US,D,20260330,000000,36.03,36.68,35.99,36.3442,18902,0
ORCS.US,D,20260331,000000,35.8,36.09,34.06,34.1442,40130,0
ORCS.US,D,20260401,000000,33.4,34.7,33.4,34.5817,335713,0
ORCS.US,D,20260402,000000,35.0001,35.715,34.35,34.47,49651,0
ORCS.US,D,20260406,000000,34.24,34.94,34.24,34.5492,24218,0
ORCS.US,D,20260407,000000,34.88,35.77,34.8,35.1469,27343,0
ORCS.US,D,20260408,000000,33.18,35.1157,33.1,34.9739,27876,0
ORCS.US,D,20260409,000000,35.34,36.7,35.34,36.2717,29815,0
ORCS.US,D,20260410,000000,36.7,37.13,35.653214,36.3088,30987,0
ORCS.US,D,20260413,000000,35.67,35.67,31.58,31.6193,441529,0
ORCS.US,D,20260414,000000,29.12,30.42,28.85,30.1653,178647,0
ORCS.US,D,20260415,000000,29.32,29.32,28.4,28.8663,261385,0
ORCS.US,D,20260416,000000,27.69,28.2,27.15,27.4181,198268,0
ORCS.US,D,20260417,000000,26.74,28.2896,26.525,27.91,252133,0
ORCS.US,D,20260420,000000,27.9,28.21,27.51,27.597,40253,0
ORCS.US,D,20260421,000000,27.47,27.73,26.38,27.0215,141282,0
ORCS.US,D,20260422,000000,26.34,26.7,25.84,26.093,197101,0
ORCS.US,D,20260423,000000,27.16,27.895,26.841,27.65,82286,0
ORCS.US,D,20260424,000000,27.12,28.79,27.07,28.0862,46269,0
ORCS.US,D,20260427,000000,28.39,28.94,28.1,28.1598,39574,0
ORCS.US,D,20260428,000000,29.96,29.97,28.8206,29.34,135723,0
ORCS.US,D,20260429,000000,29.6,30.235,29.5501,29.72,61218,0
ORCS.US,D,20260430,000000,30.12,30.3,29.53,30.1702,31897,0
ORCS.US,D,20260501,000000,29.02,29.18,27.75,28.1613,89895,0
ORCS.US,D,20260504,000000,27.345,27.345,26.35,26.8172,86928,0
ORCS.US,D,20260505,000000,26.3,26.97,25.93,26.02,63740,0
ORCS.US,D,20260506,000000,25.88,26.43,24.81,24.8428,37148,0
ORCS.US,D,20260507,000000,24.5553,25.15,24.08,24.7965,26715,0
ORCS.US,D,20260508,000000,25.18,25.31,24.5,24.6142,17471,0
ORCS.US,D,20260511,000000,25.21,25.3,24.725,24.93,35712,0
ORCS.US,D,20260512,000000,25.18,26.49,25.18,25.7878,34594,0
ORCS.US,D,20260513,000000,25.52,26,25.19,25.3864,44010,0
ORCS.US,D,20260514,000000,25.52,25.94,23.98,24.6349,99499,0
ORCS.US,D,20260515,000000,25.37,25.4548,24.56,24.9347,51868,0
ORCS.US,D,20260518,000000,25.41,26.275,25.4,25.7998,58863,0
ORCS.US,D,20260519,000000,25.95,26.52,25.48,26.4955,68679,0
ORCS.US,D,20260520,000000,26.49,26.87,25.511,25.57,35409,0
ORCS.US,D,20260521,000000,25.17,25.66,24.87,25.32,42651,0
ORCS.US,D,20260522,000000,24.985,25.01,24.43,24.9931,13518,0
ORCS.US,D,20260526,000000,25.02,25.17,24.65,24.9386,33805,0
ORCS.US,D,20260527,000000,25.345,25.51,25.115,25.21,16037,0
ORCS.US,D,20260528,000000,24.84,24.84,23.36,23.5144,139711,0
ORCS.US,D,20260529,000000,22.91,22.9699,20.92,20.93,122206,0
ORCS.US,D,20260601,000000,20.58,20.9,18.7,18.9397,142101,0
ORCS.US,D,20260602,000000,19.35,19.57,18.83,19.17,101652,0
ORCS.US,D,20260603,000000,19.65,20.46,19.52,20.27,182950,0
ORCS.US,D,20260604,000000,20.69,20.75,19.53,19.7278,155129,0
ORCS.US,D,20260605,000000,20.25,21.98,20.25,21.6543,175305,0
ORCS.US,D,20260608,000000,21.56,22.05,21.545,21.86,71317,0
ORCS.US,D,20260609,000000,21.6,23.2696,20.99,22.49,214295,0
ORCS.US,D,20260610,000000,23.33,23.33,21.74,22.69,1064019,0
ORCS.US,D,20260611,000000,25.33,25.94,24.8699,24.91,564955,0
ORCS.US,D,20260612,000000,25,25.6,24.77,24.95,64617,0
ORCS.US,D,20260615,000000,24.45,24.6,23.46,23.8,64277,0
ORCS.US,D,20260616,000000,24.155,24.35,23.46,24.3309,80680,0
ORCS.US,D,20260617,000000,24.66,25.01,24.1,24.96,45655,0
ORCS.US,D,20260618,000000,25.08,25.715,24.52,24.8094,76253,0
ORCS.US,D,20260622,000000,25.12,26.14,24.821,26.0549,78090,0
ORCS.US,D,20260623,000000,26.88,27.45,26.08,27.4,92415,0
ORCS.US,D,20260624,000000,27.8101,29.03,27.33,28.73,147175,0
