<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORIS.US,D,20241017,000000,408,852,408,480,20688.75,0
ORIS.US,D,20241018,000000,568.8,670,506.4,620,6193.6875,0
ORIS.US,D,20241021,000000,568,704.8,559.2,699.2,3700.1000000000004,0
ORIS.US,D,20241022,000000,720,940,710.88,751.2,4338.275000000001,0
ORIS.US,D,20241023,000000,748,769.6,600,649.6,4043.175,0
ORIS.US,D,20241024,000000,649.6,649.6,520,569.6,2029.4375,0
ORIS.US,D,20241025,000000,573.6,600,533.6,588,376.6125,0
ORIS.US,D,20241028,000000,611.2,611.2,544.016,572,642.7625,0
ORIS.US,D,20241029,000000,545.6,614.4,536,592.8,3576.3250000000003,0
ORIS.US,D,20241030,000000,560.8,696,560,661.6,438.32500000000005,0
ORIS.US,D,20241031,000000,646.4,674.384,617.6,644,1593.6375,0
ORIS.US,D,20241101,000000,640.8,677.6,621.6,640.8,541.6375,0
ORIS.US,D,20241104,000000,636,672.8,572,572.12,834.6500000000001,0
ORIS.US,D,20241105,000000,565.6,600,560,595.92,731.375,0
ORIS.US,D,20241106,000000,631.2,631.2,560,584,383.85,0
ORIS.US,D,20241107,000000,569.04,580.704,519.2,553.6,1397,0
ORIS.US,D,20241108,000000,536.8,580.8,504,540,619.8875,0
ORIS.US,D,20241111,000000,563.2,564.8,542.4,553.592,773.6375,0
ORIS.US,D,20241112,000000,556,760,384,451.2,7104.762500000001,0
ORIS.US,D,20241113,000000,633.6,680,456,517.6,12169.425000000001,0
ORIS.US,D,20241114,000000,560,600,477.6,507.2,9820.4125,0
ORIS.US,D,20241115,000000,515.2,550.4,432,482.4,5260.262500000001,0
ORIS.US,D,20241118,000000,453.6,513.592,453.6,490.4,1361.325,0
ORIS.US,D,20241119,000000,464,504.8,464,491.2,303.9125,0
ORIS.US,D,20241120,000000,508.8,544,481.6,538.4,3722.9625,0
ORIS.US,D,20241121,000000,492,521.6,488,512.896,4165.1625,0
ORIS.US,D,20241122,000000,502.4,516,492,492,625.375,0
ORIS.US,D,20241125,000000,513.6,536.784,500,515.2,314.625,0
ORIS.US,D,20241126,000000,504.8,551.2,498.72,538.92,3263.4,0
ORIS.US,D,20241127,000000,530.776,590.4,529.6,582.056,730.0375,0
ORIS.US,D,20241129,000000,582.4,607.432,528,539.2,1896.7375000000002,0
ORIS.US,D,20241202,000000,520,532,500,525.6,547.2,0
ORIS.US,D,20241203,000000,548.8,956,440,956,18419.537500000002,0
ORIS.US,D,20241204,000000,608,758.4,583.2,640.8,8441.3375,0
ORIS.US,D,20241205,000000,794.4,4480.8,576,4480.8,81330.7875,0
ORIS.US,D,20241206,000000,1160,1232,181.6,289.6,344746.0125,0
ORIS.US,D,20241209,000000,247.2,253.6,218.4,222.4,58342.6125,0
ORIS.US,D,20241210,000000,199.2,199.592,176,182.4,25718,0
ORIS.US,D,20241211,000000,188,199.2,160.8,168,22819.162500000002,0
ORIS.US,D,20241212,000000,172,184.8,168,168,16608.325,0
ORIS.US,D,20241213,000000,162.4,167.704,128.8,143.2,22551.800000000003,0
ORIS.US,D,20241216,000000,137.6,142.4,128.8,130.4,9705.9,0
ORIS.US,D,20241217,000000,128,128,114.4,116.8,9476.15,0
ORIS.US,D,20241218,000000,117.6,123.192,97.6,109.6,12123.8125,0
ORIS.US,D,20241219,000000,106.4,128.8,106.4,116.8,7659.637500000001,0
ORIS.US,D,20241220,000000,106.4,120,106.4,112.8,4269.6875,0
ORIS.US,D,20241223,000000,110.4,117.592,110.4,110.4,3836.0625,0
ORIS.US,D,20241224,000000,117.6,124,113.6,120.8,3495.25,0
ORIS.US,D,20241226,000000,113.6,128,113.6,121.6,6086.05,0
ORIS.US,D,20241227,000000,128,129.6,115.2,120.8,6720.1875,0
ORIS.US,D,20241230,000000,126.4,126.4,106.4,113.6,4543.5,0
ORIS.US,D,20241231,000000,112,128,109.6,122.4,6405.1,0
ORIS.US,D,20250102,000000,225.6,228,157.6,173.6,388992.525,0
ORIS.US,D,20250103,000000,173.6,196.8,162.4,171.2,35388.887500000004,0
ORIS.US,D,20250106,000000,166.4,167.2,120,148,16185.075,0
ORIS.US,D,20250107,000000,148.8,152,130.4,136,6422.075000000001,0
ORIS.US,D,20250108,000000,127.2,130.4,120,129.6,8393.487500000001,0
