<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PALO.US,D,20260413,000000,9.92,9.95,9.92,9.95,15791,0
PALO.US,D,20260414,000000,9.87,9.88,9.85,9.87,8997,0
PALO.US,D,20260415,000000,9.85,9.851,9.85,9.85,5094,0
PALO.US,D,20260416,000000,9.85,9.89,9.85,9.89,17474,0
PALO.US,D,20260417,000000,9.88,9.9,9.88,9.9,5488,0
PALO.US,D,20260423,000000,9.85,9.85,9.85,9.85,5296,0
PALO.US,D,20260424,000000,9.88,9.88,9.88,9.88,103,0
PALO.US,D,20260427,000000,9.88,9.88,9.88,9.88,5899,0
PALO.US,D,20260428,000000,9.84,9.87,9.84,9.87,548609,0
PALO.US,D,20260429,000000,9.86,9.88,9.86,9.86,1501,0
PALO.US,D,20260430,000000,9.88,9.88,9.88,9.88,128,0
PALO.US,D,20260501,000000,9.86,9.86,9.86,9.86,180,0
PALO.US,D,20260504,000000,9.9,9.9,9.9,9.9,200,0
PALO.US,D,20260506,000000,9.87,9.87,9.86,9.86,334,0
PALO.US,D,20260507,000000,9.87,9.87,9.86,9.86,5699,0
PALO.US,D,20260508,000000,9.865,9.865,9.865,9.865,955,0
PALO.US,D,20260512,000000,9.87,9.87,9.87,9.87,1471,0
PALO.US,D,20260513,000000,9.86,9.86,9.86,9.86,450,0
PALO.US,D,20260515,000000,9.8699,9.87,9.8699,9.87,13038,0
PALO.US,D,20260518,000000,9.87,9.87,9.87,9.87,75433,0
PALO.US,D,20260519,000000,9.87,9.875,9.87,9.87,30667,0
PALO.US,D,20260522,000000,9.86,9.86,9.86,9.86,101,0
PALO.US,D,20260527,000000,9.86,9.86,9.86,9.86,25369,0
PALO.US,D,20260528,000000,9.88,9.88,9.87,9.88,5213,0
PALO.US,D,20260529,000000,9.8999,9.8999,9.8999,9.8999,1165,0
PALO.US,D,20260601,000000,9.89,9.9,9.8898,9.9,8870,0
PALO.US,D,20260602,000000,9.9488,9.9488,9.9488,9.9488,265,0
PALO.US,D,20260603,000000,9.9499,9.9499,9.9499,9.9499,140,0
PALO.US,D,20260608,000000,9.95,9.95,9.95,9.95,427,0
PALO.US,D,20260610,000000,9.8601,9.87,9.8601,9.87,300,0
PALO.US,D,20260611,000000,9.95,9.95,9.95,9.95,322,0
PALO.US,D,20260612,000000,9.91,9.91,9.91,9.91,2113,0
PALO.US,D,20260615,000000,9.9,9.91,9.9,9.91,1194,0
PALO.US,D,20260616,000000,9.9,9.91,9.9,9.91,725,0
PALO.US,D,20260618,000000,9.9,9.9,9.9,9.9,12711,0
PALO.US,D,20260622,000000,9.9,9.9,9.9,9.9,25737,0
PALO.US,D,20260623,000000,9.91,9.92,9.91,9.92,74732,0
PALO.US,D,20260624,000000,9.91,9.91,9.91,9.91,10035,0
