<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAYP.US,D,20260312,000000,19,19.29,17,18.16,12338700,0
PAYP.US,D,20260313,000000,21,21.98,19.81,21.14,14116700,0
PAYP.US,D,20260316,000000,21.73,21.76,19.108,19.35,6386445,0
PAYP.US,D,20260317,000000,19.5,20.5,19.38,19.79,4512669,0
PAYP.US,D,20260318,000000,19.91,19.98,17.8,18.46,3905025,0
PAYP.US,D,20260319,000000,18.5,20.5,18,20.45,3803943,0
PAYP.US,D,20260320,000000,20.45,20.45,19.5001,19.9,1462441,0
PAYP.US,D,20260323,000000,20,24.89,19.6,24.11,5043307,0
PAYP.US,D,20260324,000000,23.96,24,22.06,22.51,2292181,0
PAYP.US,D,20260325,000000,23.775,24.7999,23.09,24.56,2394003,0
PAYP.US,D,20260326,000000,24.73,24.73,22.7,22.71,1987294,0
PAYP.US,D,20260327,000000,23.06,24.18,22.69,23.04,2360823,0
PAYP.US,D,20260330,000000,23.285,23.49,19.85005,20.66,2587002,0
PAYP.US,D,20260331,000000,21.32,21.98,20.185,21.34,2558939,0
PAYP.US,D,20260401,000000,21.6,21.6,20.4,21.13,2960730,0
PAYP.US,D,20260402,000000,20.31,21.1599,19.88,21.02,1870961,0
PAYP.US,D,20260406,000000,21,21.01,18.82,18.84,2824583,0
PAYP.US,D,20260407,000000,19.26,20.169,19,20.1,1626293,0
PAYP.US,D,20260408,000000,21,21.11,20,20.36,1639385,0
PAYP.US,D,20260409,000000,20.25,21.2,20.2,21.16,1065835,0
PAYP.US,D,20260410,000000,21.12,21.12,20.06,20.1,694958,0
PAYP.US,D,20260413,000000,20.18,20.6,20.01,20.5,791135,0
PAYP.US,D,20260414,000000,20.5,22.39,20.36,22.19,1374398,0
PAYP.US,D,20260415,000000,22.2,22.83,21.25,21.56,1208688,0
PAYP.US,D,20260416,000000,21.68,22.34,20.65,20.85,1008238,0
PAYP.US,D,20260417,000000,21,21.71,20.36,21.6,938255,0
PAYP.US,D,20260420,000000,21.41,21.41,20.322,20.91,910724,0
PAYP.US,D,20260421,000000,20.95,21.1,19.51,19.56,1454625,0
PAYP.US,D,20260422,000000,20,20.59,20,20.41,884404,0
PAYP.US,D,20260423,000000,20.4,20.54,19.77,20.23,1008241,0
PAYP.US,D,20260424,000000,20.27,20.8,20.01,20.02,754765,0
PAYP.US,D,20260427,000000,20,20.48,19.75,20.23,1087364,0
PAYP.US,D,20260428,000000,19.89,20.3,19.835,20.27,452761,0
PAYP.US,D,20260429,000000,20.12,20.66,19.85,20.16,902717,0
PAYP.US,D,20260430,000000,20.12,22.16,20.03,22.14,1341260,0
PAYP.US,D,20260501,000000,21.92,22.6,21.5194,21.87,930139,0
PAYP.US,D,20260504,000000,21.87,22.16,21.06,21.18,549764,0
PAYP.US,D,20260505,000000,21.19,21.35,20.2501,21.29,456966,0
PAYP.US,D,20260506,000000,21.14,21.41,20.75,21.36,514826,0
PAYP.US,D,20260507,000000,21.505,23.3858,19.1,19.27,2434112,0
PAYP.US,D,20260508,000000,20.445,20.445,19.37,19.61,1295841,0
PAYP.US,D,20260511,000000,19.5,19.54,18.7,19.21,1193412,0
PAYP.US,D,20260512,000000,19.24,20.48,18.92,20.34,1211436,0
PAYP.US,D,20260513,000000,19.84,20.48,19.68,19.69,557022,0
PAYP.US,D,20260514,000000,19.69,19.99,19.2,19.78,940777,0
PAYP.US,D,20260515,000000,19.63,19.63,19.22,19.29,425937,0
PAYP.US,D,20260518,000000,19.3,19.41,18.98,19.3,432248,0
PAYP.US,D,20260519,000000,19.2,19.32,18.9201,19.13,440115,0
PAYP.US,D,20260520,000000,19.09,19.9,19.02,19.76,560807,0
PAYP.US,D,20260521,000000,19.36,19.665,19.27,19.41,390100,0
PAYP.US,D,20260522,000000,19.16,19.55,19.0501,19.11,779822,0
PAYP.US,D,20260526,000000,19.15,19.6725,19.08,19.61,612028,0
PAYP.US,D,20260527,000000,19.3,19.6899,19.2461,19.32,600447,0
PAYP.US,D,20260528,000000,19.19,20,19.1,19.73,763020,0
PAYP.US,D,20260529,000000,19.36,19.71,19.26,19.52,472680,0
PAYP.US,D,20260601,000000,19.23,19.4099,18.575,18.61,768795,0
PAYP.US,D,20260602,000000,18.5,18.79,18.07,18.7,764462,0
PAYP.US,D,20260603,000000,18.14,18.37,16.41,17.05,1897243,0
PAYP.US,D,20260604,000000,16.55,16.94,15.69,15.74,2327626,0
PAYP.US,D,20260605,000000,15.585,16.23,14.97,15.08,1667164,0
PAYP.US,D,20260608,000000,15.08,15.59,15.08,15.17,705719,0
PAYP.US,D,20260609,000000,15,15.1,14.23,14.59,1356587,0
PAYP.US,D,20260610,000000,14.2,14.455,13.4,13.45,1154239,0
PAYP.US,D,20260611,000000,13.49,14.37,13.45,14.35,1133845,0
PAYP.US,D,20260612,000000,14.31,14.675,14.07,14.15,1212249,0
PAYP.US,D,20260615,000000,14.3,14.63,13.795,14.25,2848603,0
PAYP.US,D,20260616,000000,14.13,14.15,13.165,13.38,2234678,0
PAYP.US,D,20260617,000000,13.31,13.86,12.63,12.8,1797582,0
PAYP.US,D,20260618,000000,12.62,12.9,12.25,12.37,1433251,0
PAYP.US,D,20260622,000000,12.16,13.78,12.07,13.72,2276280,0
PAYP.US,D,20260623,000000,13.26,14.85,13.21,14.61,1913634,0
PAYP.US,D,20260624,000000,14.5,14.8,13.77,13.91,1807137,0
