<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PECEW.US,D,20260604,000000,0.1,0.1,0.08,0.1,1210831,0
PECEW.US,D,20260605,000000,0.09,0.1,0.09,0.1,292900,0
PECEW.US,D,20260608,000000,0.1,0.1,0.1,0.1,2012,0
PECEW.US,D,20260610,000000,0.09,0.12,0.09,0.1101,164549,0
PECEW.US,D,20260611,000000,0.11,0.11,0.11,0.11,18000,0
PECEW.US,D,20260615,000000,0.12,0.12,0.085,0.085,1941,0
PECEW.US,D,20260616,000000,0.1,0.1,0.0775,0.0799,3348,0
PECEW.US,D,20260617,000000,0.0751,0.0795,0.0751,0.0795,634,0
PECEW.US,D,20260622,000000,0.1,0.1,0.1,0.1,210,0
PECEW.US,D,20260623,000000,0.09,0.1,0.09,0.1,1988,0
PECEW.US,D,20260624,000000,0.0925,0.1,0.0925,0.0999,4300,0
