<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFSA.US,D,20250714,000000,166.5,180,135,151.5,23949.3999401265,0
PFSA.US,D,20250715,000000,131.25,133.5,101.25,107.25,21671.2266124886,0
PFSA.US,D,20250716,000000,105.75,111,78.75,93.75,18885.1599527871,0
PFSA.US,D,20250717,000000,90,95.25,80.25,83.25,13498.2132995878,0
PFSA.US,D,20250718,000000,83.25,103.5,79.5,82.5,29847.7465920473,0
PFSA.US,D,20250721,000000,95.25,99.75,63.7575,68.2125,100560.1464152663,0
PFSA.US,D,20250722,000000,64.5,65.5425,52.5225,57.18,12693.2399682669,0
PFSA.US,D,20250723,000000,56.2875,62.04,55.5825,60,6521.1599836971,0
PFSA.US,D,20250724,000000,59.9775,60.0075,52.5,53.475,6292.1733176029,0
PFSA.US,D,20250725,000000,55.485,56.9925,48.825,51.015,4241.4133227298,0
PFSA.US,D,20250728,000000,55.95,166.5,50.25,145.5,1706284.8624009546,0
PFSA.US,D,20250729,000000,84,90.7425,65.25,65.6925,111369.8130549088,0
PFSA.US,D,20250730,000000,59.205,61.1175,52.95,54,36492.4799087688,0
PFSA.US,D,20250731,000000,56.25,57,51.5175,52.5,18908.9199527277,0
PFSA.US,D,20250801,000000,48.825,48.9,38.25,44.0025,24149.9466062918,0
PFSA.US,D,20250804,000000,43.5,45.9525,40.6875,44.6325,7366.5466482503,0
PFSA.US,D,20250805,000000,43.95,45.75,38.655,39.72,9362.466643260499,0
PFSA.US,D,20250806,000000,38.5275,39.36,34.695,36.6525,8829.2533112602,0
PFSA.US,D,20250807,000000,36,36.5625,34.2075,35.25,4551.5733219544,0
PFSA.US,D,20250808,000000,37.4925,40.2675,34.5675,34.95,8864.1199778397,0
PFSA.US,D,20250811,000000,37.5,43.92,35.475,37.5,28649.1865950437,0
PFSA.US,D,20250812,000000,37.875,38.955,35.25,36.75,6185.3733178699,0
PFSA.US,D,20250813,000000,40.5525,47.475,36.8625,42,24842.5466045603,0
PFSA.US,D,20250814,000000,40.125,41.25,38.25,40.725,5681.9066524619,0
PFSA.US,D,20250815,000000,42.75,42.75,36,37.4475,4012.7866566346997,0
PFSA.US,D,20250818,000000,39.3,43.125,38.6588,42.225,9937.0399751574,0
PFSA.US,D,20250819,000000,40.5,42,37.62,38.85,4616.6133217917995,0
PFSA.US,D,20250820,000000,38.7675,40.4925,36,38.8725,3897.9066569219,0
PFSA.US,D,20250821,000000,38.94,39,34.725,34.95,6390.5599840236,0
PFSA.US,D,20250822,000000,35.25,39.75,35.25,37.5,8302.3066459109,0
PFSA.US,D,20250825,000000,36.585,37.3425,35.25,36.7425,207472.4394813189,0
PFSA.US,D,20250826,000000,49.935,51.9,29.76,32.2725,1333354.6099999468,0
PFSA.US,D,20250827,000000,35.985,35.985,29.745,30.675,52936.6798676583,0
PFSA.US,D,20250828,000000,29.625,32.25,28.785,30.765,21905.0799452373,0
PFSA.US,D,20250829,000000,30.3825,32.2425,30,30.75,9048.4933107121,0
PFSA.US,D,20250902,000000,30.33,30.75,27.7875,28.3425,13149.9866337917,0
PFSA.US,D,20250903,000000,28.5,29.925,26.925,26.925,7729.1066473439,0
PFSA.US,D,20250904,000000,26.7,26.7,23.3325,24.7875,11626.7333042665,0
PFSA.US,D,20250905,000000,24.045,24.75,22.6725,22.98,8727.9066448469,0
PFSA.US,D,20250908,000000,23.94,23.94,21.075,21.6,14531.2532970052,0
PFSA.US,D,20250909,000000,21,25.005,21,23.6475,15136.3199621592,0
PFSA.US,D,20250910,000000,23.25,23.925,19.875,19.875,16555.0932919456,0
PFSA.US,D,20250911,000000,40.9575,45,30.1875,34.59,3724951.404020955,0
PFSA.US,D,20250912,000000,31.485,34.17,27,29.5125,106093.2930681001,0
PFSA.US,D,20250915,000000,30.705,32.3625,28.125,28.125,47054.6265490301,0
PFSA.US,D,20250916,000000,28.5,29.25,25.545,25.965,25502.3199362442,0
PFSA.US,D,20250917,000000,25.5,25.8,23.175,24.1875,25590.826602689598,0
PFSA.US,D,20250918,000000,25.125,25.5,24.4725,25.5,13173.7733003989,0
PFSA.US,D,20250919,000000,26.4375,26.985,24.225,24.96,20741.999948145,0
PFSA.US,D,20250922,000000,24.4125,25.4999,23.85,24.4725,12660.1466350163,0
PFSA.US,D,20250923,000000,24.48,25.1325,24.39,24.6675,6733.6133164993,0
PFSA.US,D,20250924,000000,24.4875,24.735,23.3325,23.3325,9866.2266420011,0
PFSA.US,D,20250925,000000,23.61,23.6325,22.3576,22.6275,7326.1866483512,0
PFSA.US,D,20250926,000000,22.7625,23.2275,21.75,22.9875,10354.799974113,0
PFSA.US,D,20250929,000000,22.5,22.725,21.75,22.035,11403.8533048237,0
PFSA.US,D,20250930,000000,22.035,22.2899,21.6675,22.2675,7404.0933148231,0
PFSA.US,D,20251001,000000,22.485,24.54,22.485,23.13,29615.5065926279,0
PFSA.US,D,20251002,000000,23.9325,24.7275,23.1525,24.465,12394.533302347,0
PFSA.US,D,20251003,000000,24.75,24.8625,22.575,24.84,25995.9866016767,0
PFSA.US,D,20251006,000000,24.84,26.7,24.84,26.385,17192.5199570187,0
PFSA.US,D,20251007,000000,26.655,28.005,24.42,25.1325,43661.4132241798,0
PFSA.US,D,20251008,000000,24.75,28.8075,24.75,28.2975,39953.599900116,0
PFSA.US,D,20251009,000000,29.25,29.25,25.125,25.3725,22943.9332759735,0
PFSA.US,D,20251010,000000,25.875,26.2125,23.6175,24.6075,16509.6532920592,0
PFSA.US,D,20251013,000000,26.25,26.25,23.6175,24.075,13298.186633421199,0
PFSA.US,D,20251014,000000,23.3325,23.745,21.75,23.055,14014.9466316293,0
PFSA.US,D,20251015,000000,24,29.985,22.845,23.1675,113465.9063830019,0
PFSA.US,D,20251016,000000,23.175,24.075,21.765,23.1,26629.3866000932,0
PFSA.US,D,20251017,000000,21.75,23.0325,21.075,22.2975,19306.1732850679,0
PFSA.US,D,20251020,000000,23.6175,24.7125,21.9375,24.1425,21818.8399454529,0
PFSA.US,D,20251021,000000,24.1725,24.1725,22.6425,22.8525,67584.3464977058,0
PFSA.US,D,20251022,000000,22.455,22.5,19.4924,21,50640.4798733988,0
PFSA.US,D,20251023,000000,20.94,21.3525,20.3026,20.475,28895.3999277615,0
PFSA.US,D,20251024,000000,20.385,22.9725,20.385,21.75,62185.7731778689,0
PFSA.US,D,20251027,000000,22.125,22.74,21,22.2075,25463.1866030087,0
PFSA.US,D,20251028,000000,21.75,23.55,21.345,21.75,195170.8928454061,0
PFSA.US,D,20251029,000000,28.5225,30,20.46,21.465,2268560.4209952657,0
PFSA.US,D,20251030,000000,20.73,21.75,18.4125,19.35,485350.1721199579,0
PFSA.US,D,20251031,000000,19.38,19.6275,16.335,17.94,138250.1729877079,0
PFSA.US,D,20251103,000000,16.755,17.25,8.69325,14.265,107220.9863986142,0
PFSA.US,D,20251104,000000,14.6925,16.575,14.265,15.4275,210296.6928075916,0
PFSA.US,D,20251105,000000,17.025,17.22,13.8825,14.115,193265.69285016909,0
PFSA.US,D,20251106,000000,14.5725,14.625,13.17,14.055,59956.9198501077,0
PFSA.US,D,20251107,000000,13.74,14.2499,12.975,13.6425,35462.0932446781,0
PFSA.US,D,20251110,000000,13.9125,15,13.8525,14.1,35918.0132435383,0
PFSA.US,D,20251111,000000,14.1,14.295,13.5375,13.9575,41828.5198954287,0
PFSA.US,D,20251112,000000,14.04,15.9375,13.7625,15.225,139064.9996523375,0
PFSA.US,D,20251113,000000,14.925,15.15,14.025,14.625,82559.6797936008,0
PFSA.US,D,20251114,000000,14.325,15.3975,14.1225,14.565,81717.9331290385,0
PFSA.US,D,20251117,000000,14.4,14.7,12.45,13.1325,38728.799903178,0
PFSA.US,D,20251118,000000,12.915,14.0925,12.45,13.4775,21947.0532784657,0
PFSA.US,D,20251119,000000,13.5,13.7325,12.63,12.675,32154.2265862811,0
PFSA.US,D,20251120,000000,11.6925,11.985,9.915,10.1925,97357.5597566061,0
PFSA.US,D,20251121,000000,10.2,10.8375,9.8325,10.38,31590.7865876897,0
PFSA.US,D,20251124,000000,10.755,11.715,10.2075,11.25,165379.7595865506,0
PFSA.US,D,20251125,000000,11.4,11.895,10.875,11.4075,54206.5731978169,0
PFSA.US,D,20251126,000000,11.0625,13.125,11.0625,12,132392.2396690194,0
PFSA.US,D,20251128,000000,11.9325,13.275,11.25,12.6975,71387.7464881973,0
PFSA.US,D,20251201,000000,13.125,13.125,11.5425,11.94,85667.2931191651,0
PFSA.US,D,20251202,000000,12.2625,13.2,11.67,13.125,127366.9063482494,0
PFSA.US,D,20251203,000000,13.275,14.55,12.1875,14.265,214808.9994629775,0
PFSA.US,D,20251204,000000,14.0475,15.165,13.05,13.6125,408360.9856457642,0
PFSA.US,D,20251205,000000,12.945,13.725,12.945,13.275,81869.95979532509,0
PFSA.US,D,20251208,000000,12.75,14.9925,12,14.88,242298.66606092,0
PFSA.US,D,20251209,000000,14.88,15.0975,13.2,13.845,177317.8795567053,0
