<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLA.US,D,20260519,000000,25.09,25.09,25.0608,25.0608,218,0
PLA.US,D,20260520,000000,25.01,25.34,25.01,25.1293,4349,0
PLA.US,D,20260522,000000,25.18,25.43,25.18,25.18,28567,0
PLA.US,D,20260526,000000,25.2189,25.32,25.185,25.2,13327,0
PLA.US,D,20260527,000000,25.035,25.035,25.02,25.02,387,0
PLA.US,D,20260528,000000,26.145,26.2664,26.145,26.2664,1700,0
PLA.US,D,20260529,000000,25.99,25.99,25.9,25.9501,3338,0
PLA.US,D,20260601,000000,25.82,25.93,25.82,25.83,5876,0
PLA.US,D,20260603,000000,24.99,24.99,24.835,24.835,1092,0
PLA.US,D,20260604,000000,24.89,24.92,24.8477,24.8477,1459,0
PLA.US,D,20260608,000000,24.5101,24.6141,24.5101,24.6141,273,0
PLA.US,D,20260609,000000,24.34,24.4,24.34,24.395,1184,0
PLA.US,D,20260611,000000,24.2,24.2403,24.1704,24.2403,1940,0
PLA.US,D,20260612,000000,24.22,24.22,24.22,24.22,223,0
PLA.US,D,20260615,000000,24.65,24.72,24.65,24.6805,450,0
PLA.US,D,20260616,000000,24.66,24.66,24.59,24.59,142,0
PLA.US,D,20260617,000000,24.65,24.84,24.5346,24.5346,1089,0
PLA.US,D,20260618,000000,24.4698,24.4698,24.37,24.405,315,0
PLA.US,D,20260622,000000,24.46,24.49,23.865,23.865,1131,0
PLA.US,D,20260623,000000,23.78,23.78,23.57,23.57,113,0
