<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PONOR.US,D,20260505,000000,0.24,0.24,0.24,0.24,1918954,0
PONOR.US,D,20260506,000000,0.24,0.24,0.22,0.23,300000,0
PONOR.US,D,20260507,000000,0.22,0.22,0.22,0.22,467499,0
PONOR.US,D,20260508,000000,0.24,0.24,0.2,0.2001,43900,0
PONOR.US,D,20260511,000000,0.2,0.2001,0.2,0.2001,21000,0
PONOR.US,D,20260512,000000,0.21,0.21,0.2001,0.2001,25101,0
PONOR.US,D,20260514,000000,0.22,0.22,0.2,0.2,25100,0
PONOR.US,D,20260518,000000,0.21,0.21,0.2001,0.2001,600,0
PONOR.US,D,20260522,000000,0.22,0.2201,0.22,0.22,57999,0
PONOR.US,D,20260526,000000,0.24,0.24,0.235,0.235,100000,0
PONOR.US,D,20260528,000000,0.21,0.21,0.21,0.21,10100,0
PONOR.US,D,20260601,000000,0.2002,0.2002,0.2002,0.2002,10500,0
PONOR.US,D,20260603,000000,0.23,0.2301,0.2296,0.2296,47000,0
PONOR.US,D,20260609,000000,0.25,0.25,0.25,0.25,100000,0
PONOR.US,D,20260612,000000,0.25,0.25,0.25,0.25,2200,0
PONOR.US,D,20260616,000000,0.25,0.25,0.25,0.25,500,0
PONOR.US,D,20260624,000000,0.25,0.25,0.25,0.25,400,0
