<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPHC.US,D,20260128,000000,12.19,12.4,11.28,11.28,1306958,0
PPHC.US,D,20260129,000000,12,12.265,11.55,12.25,483878,0
PPHC.US,D,20260130,000000,12.3,12.34,12.2,12.25,201208,0
PPHC.US,D,20260202,000000,12.3,12.51,11.85,12.3,215711,0
PPHC.US,D,20260203,000000,12.31,12.9999,12.28,12.35,163734,0
PPHC.US,D,20260204,000000,12.2,12.479,12.2,12.36,124441,0
PPHC.US,D,20260205,000000,12.36,12.36,12.2,12.3,73848,0
PPHC.US,D,20260206,000000,12.349,12.49,12.3,12.37,191889,0
PPHC.US,D,20260209,000000,12.37,12.68,12.29,12.43,132757,0
PPHC.US,D,20260210,000000,12.2601,12.715,12.2601,12.51,217369,0
PPHC.US,D,20260211,000000,12.5,12.575,12.26,12.36,104336,0
PPHC.US,D,20260212,000000,12.405,12.93,12.12,12.26,84196,0
PPHC.US,D,20260213,000000,12.3,12.6,11.8478,12.38,195383,0
PPHC.US,D,20260217,000000,12.36,12.5,11.753,12.25,87108,0
PPHC.US,D,20260218,000000,12.25,12.54,12,12.4,99485,0
PPHC.US,D,20260219,000000,12.39,12.4,12.24,12.36,77183,0
PPHC.US,D,20260220,000000,12.26,12.349,12.175,12.25,64810,0
PPHC.US,D,20260223,000000,12.35,12.35,12.11,12.25,83939,0
PPHC.US,D,20260224,000000,12.4,12.58,12.25,12.29,79732,0
PPHC.US,D,20260225,000000,12.26,12.34,12.2,12.26,97000,0
PPHC.US,D,20260226,000000,12.235,12.3,11.92,11.99,68465,0
PPHC.US,D,20260227,000000,11.84,11.9999,11.25,11.56,142875,0
PPHC.US,D,20260302,000000,11.49,12.35,11.4,12.25,140751,0
PPHC.US,D,20260303,000000,12.06,12.58,11.9,12.5,95053,0
PPHC.US,D,20260304,000000,12.505,12.645,12.11,12.5,86198,0
PPHC.US,D,20260305,000000,12.31,12.83,12.3,12.59,62297,0
PPHC.US,D,20260306,000000,12.64,12.79,12.36,12.53,55762,0
PPHC.US,D,20260309,000000,12.41,12.68,12.13,12.38,171761,0
PPHC.US,D,20260310,000000,12.55,12.965,12.25,12.85,57732,0
PPHC.US,D,20260311,000000,12.72,14.1199,12.55,13.41,114779,0
PPHC.US,D,20260312,000000,13.43,14.5,13,13.45,157869,0
PPHC.US,D,20260313,000000,13.58,13.58,13.04,13.04,79135,0
PPHC.US,D,20260316,000000,13.16,13.53,12.855,13.04,107582,0
