<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTORW.US,D,20260317,000000,0.3,0.375,0.3,0.31,18350,0
PTORW.US,D,20260318,000000,0.32,0.33,0.22,0.2501,137467,0
PTORW.US,D,20260319,000000,0.3,0.3,0.2751,0.3,17446,0
PTORW.US,D,20260320,000000,0.29,0.3,0.275,0.3,3250,0
PTORW.US,D,20260323,000000,0.335,0.36,0.29,0.29,29865,0
PTORW.US,D,20260324,000000,0.3,0.3,0.28,0.2905,11901,0
PTORW.US,D,20260325,000000,0.29,0.29,0.29,0.29,2415,0
PTORW.US,D,20260326,000000,0.29,0.29,0.29,0.29,5100,0
PTORW.US,D,20260327,000000,0.299999,0.3,0.299999,0.3,2700,0
PTORW.US,D,20260330,000000,0.31,0.33,0.31,0.33,3150,0
PTORW.US,D,20260401,000000,0.3025,0.315,0.3025,0.315,1250,0
PTORW.US,D,20260402,000000,0.3,0.3,0.3,0.3,1200,0
PTORW.US,D,20260406,000000,0.33,0.33,0.3125,0.32,3700,0
PTORW.US,D,20260408,000000,0.32,0.32,0.32,0.32,1100,0
PTORW.US,D,20260409,000000,0.3,0.3,0.3,0.3,1700,0
PTORW.US,D,20260410,000000,0.31,0.31,0.31,0.31,1585,0
PTORW.US,D,20260413,000000,0.3,0.31,0.3,0.3,1725,0
PTORW.US,D,20260414,000000,0.3,0.3,0.3,0.3,15000,0
PTORW.US,D,20260415,000000,0.2865,0.3,0.2801,0.3,475,0
PTORW.US,D,20260416,000000,0.3,0.3,0.3,0.3,1700,0
PTORW.US,D,20260417,000000,0.3,0.3,0.3,0.3,300,0
PTORW.US,D,20260421,000000,0.3,0.305,0.3,0.305,13500,0
PTORW.US,D,20260422,000000,0.3,0.3,0.3,0.3,10800,0
PTORW.US,D,20260423,000000,0.3,0.3,0.3,0.3,3300,0
PTORW.US,D,20260424,000000,0.3,0.3,0.3,0.3,1500,0
PTORW.US,D,20260429,000000,0.28,0.295,0.24,0.295,6569,0
PTORW.US,D,20260430,000000,0.3,0.3,0.3,0.3,800,0
PTORW.US,D,20260501,000000,0.3,0.3,0.290051,0.290051,1200,0
PTORW.US,D,20260504,000000,0.29,0.29,0.29,0.29,900,0
PTORW.US,D,20260505,000000,0.3,0.3,0.295001,0.295001,5000,0
PTORW.US,D,20260506,000000,0.3,0.31,0.2999,0.31,12308,0
PTORW.US,D,20260507,000000,0.3,0.33,0.29,0.3011,8450,0
PTORW.US,D,20260508,000000,0.3,0.3,0.3,0.3,2300,0
PTORW.US,D,20260511,000000,0.305,0.305,0.3,0.3,900,0
PTORW.US,D,20260512,000000,0.33,0.33,0.3,0.3,6400,0
PTORW.US,D,20260513,000000,0.3,0.3,0.295,0.3,5859,0
PTORW.US,D,20260514,000000,0.31,0.31,0.31,0.31,20000,0
PTORW.US,D,20260518,000000,0.3,0.3,0.2801,0.295,6911,0
PTORW.US,D,20260520,000000,0.31,0.31,0.3,0.31,858,0
PTORW.US,D,20260521,000000,0.309999,0.34,0.309999,0.337751,81737,0
PTORW.US,D,20260526,000000,0.32,0.32,0.32,0.32,220,0
PTORW.US,D,20260527,000000,0.32,0.33,0.32,0.33,820,0
PTORW.US,D,20260528,000000,0.3251,0.34,0.3065,0.3375,58482,0
PTORW.US,D,20260601,000000,0.35,0.38,0.35,0.38,73085,0
PTORW.US,D,20260602,000000,0.4,0.4,0.32,0.32,33807,0
PTORW.US,D,20260603,000000,0.31,0.39,0.2803,0.2805,7471,0
PTORW.US,D,20260604,000000,0.3596,0.3597,0.3596,0.3597,250,0
PTORW.US,D,20260611,000000,0.3299,0.3669,0.3299,0.3669,4398,0
PTORW.US,D,20260612,000000,0.4,0.4,0.37,0.37,5503,0
