<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QADR.US,D,20260520,000000,9.87,9.9,9.86,9.89,329884,0
QADR.US,D,20260521,000000,9.85,9.85,9.85,9.85,207,0
QADR.US,D,20260522,000000,9.86,9.88,9.86,9.88,146896,0
QADR.US,D,20260526,000000,9.855,9.87,9.855,9.87,123513,0
QADR.US,D,20260527,000000,9.875,9.875,9.85,9.87,270728,0
QADR.US,D,20260528,000000,9.875,10.79,9.87,9.94,15411,0
QADR.US,D,20260601,000000,9.95,9.95,9.95,9.95,6407,0
QADR.US,D,20260605,000000,9.9,9.925,9.895,9.925,139800,0
QADR.US,D,20260608,000000,9.92,9.92,9.9,9.9,400,0
QADR.US,D,20260609,000000,9.91,9.91,9.91,9.91,192002,0
QADR.US,D,20260610,000000,9.9,9.9,9.9,9.9,300,0
QADR.US,D,20260612,000000,9.95,9.95,9.95,9.95,1318,0
QADR.US,D,20260615,000000,9.92,9.92,9.89,9.905,590940,0
QADR.US,D,20260616,000000,9.9,9.92,9.9,9.9,383122,0
QADR.US,D,20260624,000000,9.925,9.925,9.925,9.925,201,0
