<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QADRW.US,D,20260520,000000,0.3,0.4,0.3,0.32,61011,0
QADRW.US,D,20260521,000000,0.251,0.251,0.251,0.251,350,0
QADRW.US,D,20260522,000000,0.2951,0.2951,0.2951,0.2951,500,0
QADRW.US,D,20260526,000000,0.3,0.3,0.25,0.25,181351,0
QADRW.US,D,20260527,000000,0.2655,0.2655,0.2555,0.26,2902,0
QADRW.US,D,20260528,000000,0.2511,0.26,0.25,0.25999,1090,0
QADRW.US,D,20260529,000000,0.26,0.26,0.2551,0.26,18200,0
QADRW.US,D,20260601,000000,0.26,0.26,0.2502,0.2502,54153,0
QADRW.US,D,20260603,000000,0.2501,0.2501,0.2501,0.2501,500,0
QADRW.US,D,20260605,000000,0.2501,0.2501,0.2499,0.2499,4600,0
QADRW.US,D,20260608,000000,0.25,0.25,0.25,0.25,3200,0
QADRW.US,D,20260610,000000,0.26,0.26,0.2592,0.26,4825,0
QADRW.US,D,20260611,000000,0.26,0.26,0.26,0.26,8539,0
QADRW.US,D,20260612,000000,0.240049,0.240049,0.240049,0.240049,210,0
QADRW.US,D,20260616,000000,0.26,0.26,0.2412,0.26,38954,0
QADRW.US,D,20260623,000000,0.26,0.28,0.26,0.28,48300,0
QADRW.US,D,20260624,000000,0.28,0.28,0.28,0.28,5600,0
