<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QEW.US,D,20260318,000000,25.04,25.09,24.8199,24.8204,11660,0
QEW.US,D,20260319,000000,24.76,24.93,24.64,24.8271,11805,0
QEW.US,D,20260320,000000,24.9,24.9,24.345,24.4287,44202,0
QEW.US,D,20260323,000000,24.7,24.98,24.665,24.755,25420,0
QEW.US,D,20260324,000000,24.76,24.76,24.415,24.4582,16011,0
QEW.US,D,20260325,000000,24.9,24.9,24.62,24.64,51146,0
QEW.US,D,20260326,000000,24.66,24.74,24.33,24.3373,23763,0
QEW.US,D,20260327,000000,24.09,24.1,23.86,23.8657,36373,0
QEW.US,D,20260330,000000,23.86,24.1,23.71,23.7961,32709,0
QEW.US,D,20260331,000000,24.22,24.43,24,24.43,20394,0
QEW.US,D,20260401,000000,24.64,24.6899,24.5317,24.5774,8438,0
QEW.US,D,20260402,000000,24.4,24.5884,24.2938,24.5884,4863,0
QEW.US,D,20260406,000000,24.8,24.8,24.68,24.7663,10797,0
QEW.US,D,20260407,000000,24.66,24.6741,24.5,24.6741,977,0
QEW.US,D,20260408,000000,25.58,25.58,25.23,25.2944,35822,0
QEW.US,D,20260409,000000,25.2,25.26,25.06,25.22,12600,0
QEW.US,D,20260410,000000,25.35,25.35,25.05,25.0574,15915,0
QEW.US,D,20260413,000000,25.16,25.45,24.9823,25.4305,11808,0
QEW.US,D,20260414,000000,25.55,25.6398,25.5205,25.6304,18099,0
QEW.US,D,20260415,000000,25.7,25.8994,25.65,25.8994,20608,0
QEW.US,D,20260416,000000,26.04,26.19,26.01,26.0838,24241,0
QEW.US,D,20260417,000000,26.345,26.51,26.335,26.4197,23182,0
QEW.US,D,20260420,000000,26.57,26.57,26.3801,26.5256,6900,0
QEW.US,D,20260421,000000,26.5582,26.72,26.4316,26.4316,6524,0
QEW.US,D,20260422,000000,26.69,26.74,26.6599,26.7351,6940,0
QEW.US,D,20260423,000000,26.75,26.83,26.6,26.6963,7247,0
QEW.US,D,20260424,000000,26.85,26.9635,26.835,26.9635,10141,0
QEW.US,D,20260427,000000,26.96,26.96,26.79,26.8093,7938,0
QEW.US,D,20260428,000000,26.7,26.7,26.5,26.5262,4666,0
QEW.US,D,20260429,000000,26.69,26.7347,26.61,26.7347,7655,0
QEW.US,D,20260430,000000,26.83,27.1265,26.78,27.1265,2162,0
QEW.US,D,20260501,000000,27.31,27.36,27.26,27.326,15504,0
QEW.US,D,20260504,000000,27.3884,27.45,27.23,27.2769,36136,0
QEW.US,D,20260505,000000,27.61,27.61,27.395,27.5478,19743,0
QEW.US,D,20260506,000000,27.77,27.92,27.71,27.9129,30063,0
QEW.US,D,20260507,000000,27.96,28.07,27.8,27.8984,17087,0
QEW.US,D,20260508,000000,27.9,28.28,27.9,28.2599,20606,0
QEW.US,D,20260511,000000,28.35,28.35,28.26,28.269,40326,0
QEW.US,D,20260512,000000,27.9499,27.9975,27.71,27.9975,8144,0
QEW.US,D,20260513,000000,28.21,28.21,27.83,28.0346,22835,0
QEW.US,D,20260514,000000,28.015,28.2699,28.015,28.1704,8166,0
QEW.US,D,20260515,000000,28.07,28.13,27.82,27.9031,17132,0
QEW.US,D,20260518,000000,28.2,28.2,27.78,27.9727,11680,0
QEW.US,D,20260519,000000,27.99,27.99,27.78,27.8909,2028,0
QEW.US,D,20260520,000000,28.11,28.4119,28.085,28.4119,6901,0
QEW.US,D,20260521,000000,28.2,28.6083,28.2,28.6083,3802,0
QEW.US,D,20260522,000000,28.9,29.01,28.84,28.9105,577892,0
QEW.US,D,20260526,000000,29.41,29.41,29.25,29.3335,15048,0
QEW.US,D,20260527,000000,29.33,29.33,29.045,29.0755,13254,0
QEW.US,D,20260528,000000,29.005,29.45,29.005,29.355,11408,0
QEW.US,D,20260529,000000,29.46,29.5778,29.42,29.5527,19450,0
QEW.US,D,20260601,000000,29.525,30.07,29.525,29.9734,16734,0
QEW.US,D,20260602,000000,29.94,30.186,29.84,30.186,10017,0
QEW.US,D,20260603,000000,30.36,30.36,29.96,30.1542,6209,0
QEW.US,D,20260604,000000,29.915,30.22,29.91,30.1384,563141,0
QEW.US,D,20260605,000000,29.9,29.9,28.8153,28.8153,9580,0
QEW.US,D,20260608,000000,29.43,29.43,29.07,29.1558,12755,0
QEW.US,D,20260609,000000,29.48,29.48,28.06,28.8903,19025,0
QEW.US,D,20260610,000000,28.53,28.935,28.37,28.413,18989,0
QEW.US,D,20260611,000000,28.65,29.375,28.5601,29.2993,21465,0
QEW.US,D,20260612,000000,29.43,29.69,29.3499,29.65,7834,0
QEW.US,D,20260615,000000,30.32,30.41,30.22,30.41,23874,0
QEW.US,D,20260616,000000,30.38,30.5,29.8594,29.8594,12066,0
QEW.US,D,20260617,000000,30,30.14,29.545,29.6,19054,0
QEW.US,D,20260618,000000,30.24,30.24,30.035,30.1569,18201,0
QEW.US,D,20260622,000000,30.23,30.2999,29.9289,30.0587,18185,0
QEW.US,D,20260623,000000,29.4803,29.67,29.4,29.4543,43269,0
QEW.US,D,20260624,000000,29.46,29.65,29.3,29.355,31422,0
