<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT.US,D,20260604,000000,68,71.35,59.89,60.38,29612024,0
QNT.US,D,20260605,000000,59.8,59.89,51.1501,56.26,10670545,0
QNT.US,D,20260608,000000,58.66,61.8,57.505,58.4,4773689,0
QNT.US,D,20260609,000000,61.3,62.78,54.5,54.94,4572643,0
QNT.US,D,20260610,000000,54.82,55.35,50.1,51.4,5907449,0
QNT.US,D,20260611,000000,51.5,57.34,51,56.49,3137369,0
QNT.US,D,20260612,000000,56.15,57.48,54.25,55.26,1263508,0
QNT.US,D,20260615,000000,57.27,61,55.26,57.91,3115008,0
QNT.US,D,20260616,000000,58.75,59.33,54.64,55.43,1962194,0
QNT.US,D,20260617,000000,55.76,65.5999,55.7,62.75,3663846,0
QNT.US,D,20260618,000000,63.41,72.74,62,69.8,5269900,0
QNT.US,D,20260622,000000,69.5,77.85,66.75,68.27,3992048,0
QNT.US,D,20260623,000000,66.52,81.48,66.1,77.46,5582936,0
QNT.US,D,20260624,000000,77.61,78.25,67.85,71.16,4272106,0
