<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCAX.US,D,20260203,000000,21,22.31,20.334,21.7895,17950,0
RCAX.US,D,20260204,000000,22.3,22.3,14,16.794,86009,0
RCAX.US,D,20260205,000000,15,15,12.17,13.1324,50076,0
RCAX.US,D,20260206,000000,14.8586,16.61,13.19,16.3806,79474,0
RCAX.US,D,20260209,000000,16.35,20.45,16.3,19.2088,49335,0
RCAX.US,D,20260210,000000,18.33,18.505,15.39,16.0379,41032,0
RCAX.US,D,20260211,000000,15.91,15.91,13.27,14.5234,51990,0
RCAX.US,D,20260212,000000,13.8101,14.4,12.6803,12.6803,18040,0
RCAX.US,D,20260213,000000,13,13.74,12.4926,12.8838,14774,0
RCAX.US,D,20260217,000000,12.6,13.49,11.655,12.9159,10091,0
RCAX.US,D,20260218,000000,14.015,16,14.015,14.5693,37996,0
RCAX.US,D,20260219,000000,14.5,17.9,14.5,16.3347,172840,0
RCAX.US,D,20260220,000000,15.54,18.7,14.802,15.2915,177037,0
RCAX.US,D,20260223,000000,14,16.51,13.77,16.0832,85800,0
RCAX.US,D,20260224,000000,15.5,17.1,14.85,16.33,45108,0
RCAX.US,D,20260225,000000,16.36,17.29,15.1835,15.1835,44220,0
RCAX.US,D,20260226,000000,14.92,16.63,14.39,16.5431,53642,0
RCAX.US,D,20260227,000000,15.53,15.53,12.13,13.1674,75427,0
RCAX.US,D,20260302,000000,15.49,21.4753,15.49,17.633,707078,0
RCAX.US,D,20260303,000000,19.9,23.82,18.341,20.284,776833,0
RCAX.US,D,20260304,000000,21.01,23.22,17.02,20.3601,383443,0
RCAX.US,D,20260305,000000,20.04,22.88,18.3,21.4,371382,0
RCAX.US,D,20260306,000000,20.05,31.62,20.05,22,581532,0
RCAX.US,D,20260309,000000,24.44,24.44,17.27,18.37,545364,0
RCAX.US,D,20260310,000000,18.03,22.395,16.9,19.86,418718,0
RCAX.US,D,20260311,000000,20.01,24.5,19.505,23.8977,343341,0
RCAX.US,D,20260312,000000,24.89,26.47,22.64,23.9756,300851,0
RCAX.US,D,20260313,000000,25.54,26.73,21.94,22.96,220306,0
RCAX.US,D,20260316,000000,23.39,24.682,21.25,21.95,207800,0
RCAX.US,D,20260317,000000,21.4,26.1199,21.29,26.09,238700,0
RCAX.US,D,20260318,000000,26.64,30.66,24.4,26.282,346587,0
RCAX.US,D,20260319,000000,24.13,24.18,16.74,20.35,575907,0
RCAX.US,D,20260320,000000,19.95,20.1071,14.56,15.32,459018,0
RCAX.US,D,20260323,000000,15.79,20.75,15.06,19.66,461992,0
RCAX.US,D,20260324,000000,19.46,24.02,19.03,21.9756,554477,0
RCAX.US,D,20260325,000000,22.46,24.29,19.44,21.39,433163,0
RCAX.US,D,20260326,000000,20.95,20.95,16.08,16.3736,342653,0
RCAX.US,D,20260327,000000,16.45,16.45,13.06,13.26,403111,0
RCAX.US,D,20260330,000000,14.6,14.6,10.12,10.8852,385856,0
RCAX.US,D,20260331,000000,11.69,14.1193,11.31,13.7,491096,0
RCAX.US,D,20260401,000000,14.22,14.4488,11.5,11.84,439163,0
RCAX.US,D,20260402,000000,10.995,13.58,10.84,13.2194,469845,0
RCAX.US,D,20260406,000000,13,15.189,12.84,13.4548,352998,0
RCAX.US,D,20260407,000000,13.11,13.999,11.255,11.4426,458188,0
RCAX.US,D,20260408,000000,13.26,14.38,12.34,13.2074,480849,0
RCAX.US,D,20260409,000000,12.85,13.38,10.68,11,366034,0
RCAX.US,D,20260410,000000,11.28,11.925,11,11.79,172858,0
RCAX.US,D,20260413,000000,11.37,13.05,11.1501,12.76,301131,0
RCAX.US,D,20260414,000000,13.68,13.95,11.85,12.2252,227697,0
RCAX.US,D,20260415,000000,12.53,13,11.7,13,187073,0
RCAX.US,D,20260416,000000,13.53,14.5,12.6301,14.3,308623,0
RCAX.US,D,20260417,000000,14.71,15.15,11.4,12.23,437153,0
RCAX.US,D,20260420,000000,12.32,12.81,11.64,11.9617,345127,0
RCAX.US,D,20260421,000000,12.3,13.9899,11.72,11.94,617666,0
RCAX.US,D,20260422,000000,12.71,14.7,12.71,13.67,544917,0
RCAX.US,D,20260423,000000,13.11,13.2,11.01,11.69,394466,0
RCAX.US,D,20260424,000000,11.7,11.82,10.225,10.29,316108,0
RCAX.US,D,20260427,000000,10,10.3499,9.41,10.1,207409,0
