<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RREV.US,D,20260520,000000,9.9,9.92,9.9,9.92,7513,0
RREV.US,D,20260521,000000,9.88,9.88,9.88,9.88,5835,0
RREV.US,D,20260522,000000,9.91,9.91,9.88,9.88,2910,0
RREV.US,D,20260526,000000,9.88,9.89,9.88,9.89,362,0
RREV.US,D,20260527,000000,9.89,9.89,9.88,9.88,2729,0
RREV.US,D,20260528,000000,9.89,9.89,9.88,9.88,25129,0
RREV.US,D,20260529,000000,9.89,9.89,9.87,9.88,56657,0
RREV.US,D,20260602,000000,9.885,9.885,9.881,9.881,484,0
RREV.US,D,20260603,000000,9.88,9.88,9.88,9.88,50038,0
RREV.US,D,20260605,000000,9.871,9.875,9.87,9.87,4840,0
RREV.US,D,20260608,000000,9.875,9.88,9.875,9.88,781,0
RREV.US,D,20260609,000000,9.875,9.875,9.87,9.87,124475,0
RREV.US,D,20260610,000000,9.86,9.87,9.86,9.87,609,0
RREV.US,D,20260612,000000,9.88,9.88,9.88,9.88,1404,0
RREV.US,D,20260615,000000,9.88,9.88,9.88,9.88,519,0
RREV.US,D,20260616,000000,9.87,9.88,9.87,9.88,1524,0
RREV.US,D,20260617,000000,9.88,9.88,9.86,9.87,4752,0
RREV.US,D,20260618,000000,9.87,9.87,9.86,9.86,2665,0
RREV.US,D,20260622,000000,9.89,9.89,9.879,9.88,10417,0
RREV.US,D,20260623,000000,9.89,9.89,9.89,9.89,109,0
