<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RREVU.US,D,20260430,000000,9.97,9.98,9.96,9.98,5075178,0
RREVU.US,D,20260501,000000,9.97,9.99,9.97,9.98,100867,0
RREVU.US,D,20260504,000000,9.99,10,9.975,9.98,50619,0
RREVU.US,D,20260505,000000,9.99,10.005,9.97,9.99,52999,0
RREVU.US,D,20260506,000000,9.99,10,9.96,10,2344,0
RREVU.US,D,20260507,000000,9.96,9.97,9.96,9.97,4893,0
RREVU.US,D,20260508,000000,9.96,9.99,9.96,9.98,469327,0
RREVU.US,D,20260511,000000,9.98,9.99,9.98,9.99,148410,0
RREVU.US,D,20260512,000000,9.98,9.99,9.98,9.99,38055,0
RREVU.US,D,20260513,000000,9.9701,9.9701,9.9701,9.9701,1376,0
RREVU.US,D,20260514,000000,10,10,10,10,154,0
RREVU.US,D,20260515,000000,10,10,9.97,9.97,260151,0
RREVU.US,D,20260518,000000,9.985,9.985,9.985,9.985,3814,0
RREVU.US,D,20260520,000000,10,10.02,9.99,10.02,17293,0
RREVU.US,D,20260521,000000,10.03,10.03,10.01,10.01,5029,0
RREVU.US,D,20260522,000000,10.01,10.1,10.01,10.015,58689,0
RREVU.US,D,20260527,000000,10,10.015,10,10.01,182796,0
RREVU.US,D,20260528,000000,10.01,10.01,10.01,10.01,285141,0
RREVU.US,D,20260529,000000,10.04,10.04,10.01,10.01,98337,0
RREVU.US,D,20260601,000000,10,10.02,10,10.02,8768,0
RREVU.US,D,20260602,000000,10.02,10.02,10.01,10.01,52670,0
RREVU.US,D,20260603,000000,10.01,10.01,10.01,10.01,9079,0
RREVU.US,D,20260604,000000,10.02,10.02,10,10.005,3325,0
RREVU.US,D,20260605,000000,10,10.005,10,10.005,356,0
RREVU.US,D,20260608,000000,10,10,9.99,9.99,4120,0
RREVU.US,D,20260609,000000,10.04,10.1,10.02,10.02,9924,0
RREVU.US,D,20260610,000000,10,10.03,10,10,256026,0
RREVU.US,D,20260612,000000,10.045,10.045,10,10,400,0
RREVU.US,D,20260617,000000,10.5,10.5,10.02,10.02,2603,0
RREVU.US,D,20260622,000000,10.5,10.5,10.03,10.03,2301,0
RREVU.US,D,20260624,000000,10.49,10.49,10.05,10.05,1704,0
