<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RREVW.US,D,20260520,000000,0.35,0.45,0.35,0.45,2734,0
RREVW.US,D,20260522,000000,0.45,0.45,0.38,0.38,151242,0
RREVW.US,D,20260526,000000,0.4,0.4,0.4,0.4,6399,0
RREVW.US,D,20260527,000000,0.41,0.45,0.41,0.44,272599,0
RREVW.US,D,20260528,000000,0.4699,0.4699,0.45,0.45,10391,0
RREVW.US,D,20260529,000000,0.41,0.44,0.41,0.4383,18748,0
RREVW.US,D,20260603,000000,0.43,0.43,0.41,0.42,119979,0
RREVW.US,D,20260605,000000,0.4101,0.4101,0.41,0.41,566,0
RREVW.US,D,20260611,000000,0.43,0.43,0.4206,0.4206,603,0
RREVW.US,D,20260616,000000,0.46,0.46,0.46,0.46,2990,0
RREVW.US,D,20260618,000000,0.47,0.47,0.47,0.47,500,0
RREVW.US,D,20260622,000000,0.5,0.5,0.4999,0.4999,5008,0
RREVW.US,D,20260623,000000,0.5,0.5,0.5,0.5,368,0
RREVW.US,D,20260624,000000,0.5,0.5,0.466738,0.466738,3400,0
