<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCII.US,D,20260120,000000,9.9,9.94,9.9,9.92,1582762,0
SCII.US,D,20260121,000000,9.92,9.93,9.92,9.93,1108008,0
SCII.US,D,20260122,000000,9.92,9.925,9.92,9.925,902960,0
SCII.US,D,20260123,000000,9.925,9.95,9.92,9.95,1896482,0
SCII.US,D,20260126,000000,9.94,9.94,9.93,9.93,142391,0
SCII.US,D,20260127,000000,9.93,9.94,9.93,9.93,74278,0
SCII.US,D,20260128,000000,9.95,9.95,9.94,9.94,5811,0
SCII.US,D,20260129,000000,9.93,9.94,9.93,9.935,104050,0
SCII.US,D,20260202,000000,9.94,9.95,9.94,9.95,33405,0
SCII.US,D,20260203,000000,9.93,9.99,9.93,9.96,105051,0
SCII.US,D,20260204,000000,9.99,9.99,9.98,9.99,8740,0
SCII.US,D,20260205,000000,9.97,10.04,9.97,10.04,42427,0
SCII.US,D,20260209,000000,10.07,10.07,10.06,10.06,632,0
SCII.US,D,20260210,000000,10.03,10.03,10.03,10.03,313,0
SCII.US,D,20260211,000000,10.02,10.03,10.02,10.03,426,0
SCII.US,D,20260212,000000,10.02,10.03,9.95,10.03,1874,0
SCII.US,D,20260213,000000,10,10,9.98,9.99,252372,0
SCII.US,D,20260217,000000,9.98,9.98,9.97,9.9701,28321,0
SCII.US,D,20260219,000000,9.975,9.99,9.975,9.99,3698,0
SCII.US,D,20260223,000000,9.98,9.9801,9.98,9.98,2743,0
SCII.US,D,20260224,000000,9.97,9.9701,9.97,9.97,17900,0
SCII.US,D,20260302,000000,9.99,9.99,9.98,9.98,5190,0
SCII.US,D,20260304,000000,9.99,9.99,9.98,9.99,8303,0
SCII.US,D,20260305,000000,9.98,9.98,9.97,9.97,6179,0
SCII.US,D,20260306,000000,9.99,9.99,9.99,9.99,4210,0
SCII.US,D,20260311,000000,9.975,9.975,9.975,9.975,525,0
SCII.US,D,20260312,000000,9.96,9.96,9.95,9.95,1700,0
SCII.US,D,20260317,000000,10.03,10.03,10,10,1131,0
SCII.US,D,20260318,000000,9.99,9.99,9.99,9.99,421,0
SCII.US,D,20260319,000000,10.03,10.03,10.03,10.03,100,0
SCII.US,D,20260324,000000,10.02,10.02,10.02,10.02,2631,0
SCII.US,D,20260331,000000,9.97,9.97,9.97,9.97,52950,0
SCII.US,D,20260402,000000,9.99,9.99,9.9833,9.9833,5596,0
SCII.US,D,20260407,000000,9.99,9.99,9.965,9.98,9771,0
SCII.US,D,20260408,000000,9.97,9.97,9.97,9.97,2134,0
SCII.US,D,20260410,000000,9.96,9.975,9.96,9.975,2325,0
SCII.US,D,20260413,000000,9.98,9.985,9.975,9.98,26021,0
SCII.US,D,20260414,000000,9.97,9.99,9.97,9.98,349009,0
SCII.US,D,20260415,000000,9.98,9.98,9.97,9.97,93666,0
SCII.US,D,20260416,000000,9.98,9.98,9.98,9.98,103100,0
SCII.US,D,20260421,000000,9.98,9.98,9.98,9.98,80001,0
SCII.US,D,20260423,000000,9.99,9.99,9.99,9.99,503,0
SCII.US,D,20260424,000000,9.99,9.99,9.98,9.99,47328,0
SCII.US,D,20260428,000000,9.98,9.98,9.98,9.98,631,0
SCII.US,D,20260429,000000,9.985,10,9.985,10,1133,0
SCII.US,D,20260430,000000,9.99,10,9.99,10,100414,0
SCII.US,D,20260501,000000,10,10,10,10,50000,0
SCII.US,D,20260504,000000,10,10,10,10,5002,0
SCII.US,D,20260508,000000,10,10,10,10,104,0
SCII.US,D,20260511,000000,10,10,10,10,6100,0
SCII.US,D,20260513,000000,9.99,10,9.99,10,16404,0
SCII.US,D,20260514,000000,10,10,10,10,895,0
SCII.US,D,20260515,000000,9.99,10,9.99,10,252502,0
SCII.US,D,20260518,000000,10,10,9.995,10,60052,0
SCII.US,D,20260519,000000,10,10.01,10,10.01,51415,0
SCII.US,D,20260520,000000,10.01,10.01,10.01,10.01,202,0
SCII.US,D,20260521,000000,9.98,10.01,9.98,10.01,901,0
SCII.US,D,20260522,000000,10.02,10.02,10.02,10.02,613,0
SCII.US,D,20260526,000000,10.02,10.02,10.01,10.01,754,0
SCII.US,D,20260528,000000,10.01,10.03,10.01,10.03,259,0
SCII.US,D,20260529,000000,10.03,10.04,10.03,10.04,684,0
SCII.US,D,20260601,000000,10.05,10.065,10.05,10.05,8316,0
SCII.US,D,20260603,000000,10.06,10.06,10.06,10.06,1410,0
SCII.US,D,20260604,000000,10.04,10.04,10.04,10.04,106,0
SCII.US,D,20260610,000000,10.08,10.08,10.03,10.03,6804,0
SCII.US,D,20260611,000000,10.07,10.08,10.03,10.03,2275,0
SCII.US,D,20260612,000000,10.03,10.03,10.03,10.03,793,0
SCII.US,D,20260615,000000,10.03,10.03,10.03,10.03,309,0
SCII.US,D,20260616,000000,10.055,10.055,10.055,10.055,8297,0
SCII.US,D,20260622,000000,10.07,10.07,10.07,10.07,3064,0
SCII.US,D,20260623,000000,10.04,10.04,10.04,10.04,106,0
SCII.US,D,20260624,000000,10.03,10.05,10.03,10.05,90214,0
