<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIMAU.US,D,20260105,000000,10.9,10.9,10.82,10.82,502,0
SIMAU.US,D,20260106,000000,10.75,10.85,10.75,10.85,1500,0
SIMAU.US,D,20260107,000000,10.8,11.8,10.68,10.68,2827,0
SIMAU.US,D,20260112,000000,10.68,10.68,10.68,10.68,400,0
SIMAU.US,D,20260113,000000,10.68,10.68,10.68,10.68,600,0
SIMAU.US,D,20260116,000000,10.69,10.69,10.68,10.68,300,0
SIMAU.US,D,20260121,000000,10.73,10.73,10.73,10.73,1639,0
SIMAU.US,D,20260122,000000,10.73,10.73,10.73,10.73,1640,0
SIMAU.US,D,20260123,000000,10.72,10.72,10.72,10.72,100,0
SIMAU.US,D,20260126,000000,10.79,10.79,10.79,10.79,200,0
SIMAU.US,D,20260501,000000,10.89,10.89,10.89,10.89,300,0
SIMAU.US,D,20260521,000000,11.45,14.99,11.21,13.01,15617,0
SIMAU.US,D,20260526,000000,12.1,12.1,10.91,10.91,421,0
SIMAU.US,D,20260528,000000,11.99,14.5,11.99,14.5,2923,0
SIMAU.US,D,20260529,000000,14.21,14.9,13.7,13.7,4508,0
SIMAU.US,D,20260601,000000,12.34,17.99,12.34,17,5595,0
SIMAU.US,D,20260603,000000,13.54,13.54,13,13.25,603,0
SIMAU.US,D,20260604,000000,12.21,17.82,12.21,15.25,6842,0
SIMAU.US,D,20260605,000000,13.8,17.85,12.31,16.69,9207,0
SIMAU.US,D,20260608,000000,17,17,17,17,898,0
SIMAU.US,D,20260609,000000,13,14.44,12.9,13.8,6117,0
SIMAU.US,D,20260611,000000,13.45,13.45,11.64,13,5334,0
SIMAU.US,D,20260612,000000,11.75,12.5,11,11.21,20384,0
SIMAU.US,D,20260615,000000,11.21,11.8,11.11,11.11,12849,0
SIMAU.US,D,20260616,000000,11.17,11.3,10.84,10.93,8276,0
SIMAU.US,D,20260617,000000,11.17,11.17,11.17,11.17,113,0
