<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOCAW.US,D,20260416,000000,0.26,0.26,0.26,0.26,198,0
SOCAW.US,D,20260417,000000,0.26,0.26,0.25,0.26,1066,0
SOCAW.US,D,20260420,000000,0.26,0.26,0.26,0.26,846,0
SOCAW.US,D,20260429,000000,0.255,0.255,0.255,0.255,2052,0
SOCAW.US,D,20260511,000000,0.259999,0.26,0.259999,0.26,1000,0
SOCAW.US,D,20260518,000000,0.25,0.25,0.25,0.25,2500,0
SOCAW.US,D,20260519,000000,0.26,0.26,0.2599,0.2599,200,0
SOCAW.US,D,20260522,000000,0.26,0.27,0.2599,0.26,12670,0
SOCAW.US,D,20260527,000000,0.26,0.26,0.258,0.26,6425,0
SOCAW.US,D,20260528,000000,0.27,0.28,0.27,0.28,48575,0
SOCAW.US,D,20260612,000000,0.282,0.29,0.282,0.2899,3000,0
SOCAW.US,D,20260615,000000,0.29,0.29,0.29,0.29,104,0
