<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPTX.US,D,20260501,000000,21,23,19.5,19.84,4697711,0
SPTX.US,D,20260504,000000,19.17,19.17,16.9,17,910680,0
SPTX.US,D,20260505,000000,17.35,17.86,15.21,16,892722,0
SPTX.US,D,20260506,000000,16.01,16.46,15.35,16,498648,0
SPTX.US,D,20260507,000000,16.05,16.08,14.85,15.5,429745,0
SPTX.US,D,20260508,000000,15.75,16.24,15.435,16.05,304104,0
SPTX.US,D,20260511,000000,16,16.44,14.935,15.25,399483,0
SPTX.US,D,20260512,000000,15.39,16.05,15.3,15.95,155044,0
SPTX.US,D,20260513,000000,16.1,16.7,15.57,16.5,431693,0
SPTX.US,D,20260514,000000,16.5,17.355,16.1,16.94,380275,0
SPTX.US,D,20260515,000000,16.77,17.225,16.185,16.805,611624,0
SPTX.US,D,20260518,000000,16.85,16.85,15,15.74,421784,0
SPTX.US,D,20260519,000000,15.67,16.255,15.01,15.66,158911,0
SPTX.US,D,20260520,000000,16.34,16.76,15.52,15.78,266061,0
SPTX.US,D,20260521,000000,16,17.52,15.67,17.19,209910,0
SPTX.US,D,20260522,000000,17.19,17.69,16.53,17.5,214579,0
SPTX.US,D,20260526,000000,17.72,18.25,17.32,18.01,181098,0
SPTX.US,D,20260527,000000,18,18.24,17.8,18.05,118654,0
SPTX.US,D,20260528,000000,17.88,19.3,17.88,18.8,316705,0
SPTX.US,D,20260529,000000,18.61,18.6759,17.84,18.19,112573,0
SPTX.US,D,20260601,000000,18.33,18.595,17.01,17.13,123692,0
SPTX.US,D,20260602,000000,17,17.65,16.685,17.21,87794,0
SPTX.US,D,20260603,000000,17.06,17.68,16.5896,17.23,91131,0
SPTX.US,D,20260604,000000,17.3,18.275,17.3,17.88,122210,0
SPTX.US,D,20260605,000000,17.71,18.31,16.35,16.44,170734,0
SPTX.US,D,20260608,000000,16.51,17.11,16.12,16.2,109683,0
SPTX.US,D,20260609,000000,16,18.34,16,17.66,148386,0
SPTX.US,D,20260610,000000,17.87,18.78,16.51,17.12,156193,0
SPTX.US,D,20260611,000000,17.33,18.26,16.15,17.72,129074,0
SPTX.US,D,20260612,000000,17.78,18.5,17.51,18,99621,0
SPTX.US,D,20260615,000000,17.87,18.445,17.35,17.44,104011,0
SPTX.US,D,20260616,000000,17.41,18.19,17.31,17.97,199065,0
SPTX.US,D,20260617,000000,18.07,18.425,16.76,17.1,259295,0
SPTX.US,D,20260618,000000,17.44,18.28,16.91,18.17,1326803,0
SPTX.US,D,20260622,000000,17.97,18.5,17.59,17.99,466925,0
SPTX.US,D,20260623,000000,17.74,19.19,17.74,18.97,322378,0
SPTX.US,D,20260624,000000,19.775,20.035,18.74,19.23,202734,0
