<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUJA.US,D,20260507,000000,18,18.48,17.43,17.85,3902855,0
SUJA.US,D,20260508,000000,17.85,17.98,17.7,17.8,446137,0
SUJA.US,D,20260511,000000,17.76,17.87,17.455,17.58,459879,0
SUJA.US,D,20260512,000000,17.51,18.09,17.51,17.79,382066,0
SUJA.US,D,20260513,000000,17.79,17.865,17,17.03,511746,0
SUJA.US,D,20260514,000000,17,17.25,14.5,14.6,629636,0
SUJA.US,D,20260515,000000,14.51,14.84,13,14.84,631436,0
SUJA.US,D,20260518,000000,14.69,15.85,13.75005,15.55,384579,0
SUJA.US,D,20260519,000000,15.4,16.03,15,16.02,223067,0
SUJA.US,D,20260520,000000,16.11,16.97,15.645,16.35,264541,0
SUJA.US,D,20260521,000000,16.35,16.35,15.4,15.55,86568,0
SUJA.US,D,20260522,000000,15.35,15.74,14.45,15.46,114065,0
SUJA.US,D,20260526,000000,15.55,15.55,14.2,15.15,77267,0
SUJA.US,D,20260527,000000,15.03,15.25,13.75,14.15,147063,0
SUJA.US,D,20260528,000000,14.26,15.64,13.5,15.44,87716,0
SUJA.US,D,20260529,000000,15.65,15.67,14.47,15.43,85102,0
SUJA.US,D,20260601,000000,15.51,15.79,13.755,13.99,312053,0
SUJA.US,D,20260602,000000,13.91,14.6359,12.8,12.85,150825,0
SUJA.US,D,20260603,000000,12.9,13.4,11.995,12.88,129123,0
SUJA.US,D,20260604,000000,13.16,14.39,12.74,13.7,235074,0
SUJA.US,D,20260605,000000,13.82,14.5149,12.89,14.06,281759,0
SUJA.US,D,20260608,000000,14.06,15.15,13.805,14.64,174544,0
SUJA.US,D,20260609,000000,14.9,15.98,14.47,15.55,351250,0
SUJA.US,D,20260610,000000,15.43,15.76,11,11.65,1199487,0
SUJA.US,D,20260611,000000,11.35,12.36,10.6,11,853827,0
SUJA.US,D,20260612,000000,11,11.2,10.39,10.5,425463,0
SUJA.US,D,20260615,000000,10.61,11.13,10.54,11.05,414585,0
SUJA.US,D,20260616,000000,11.09,11.2,9.88,10.23,463076,0
SUJA.US,D,20260617,000000,10.29,10.38,9.12,9.22,472045,0
SUJA.US,D,20260618,000000,9.3,9.921,9.2101,9.27,882666,0
SUJA.US,D,20260622,000000,9.28,9.48,8.71,9.1,302855,0
SUJA.US,D,20260623,000000,9.02,10.5258,8.98,10.27,300945,0
SUJA.US,D,20260624,000000,10.23,10.63,9.7,9.9,266365,0
