<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVAQW.US,D,20260212,000000,0.3,0.35,0.2997,0.2999,82601,0
SVAQW.US,D,20260213,000000,0.2975,0.32,0.2951,0.32,15700,0
SVAQW.US,D,20260217,000000,0.2884,0.32,0.25,0.293,435625,0
SVAQW.US,D,20260218,000000,0.29,0.3062,0.29,0.29,18000,0
SVAQW.US,D,20260219,000000,0.2501,0.2855,0.25,0.2855,40075,0
SVAQW.US,D,20260220,000000,0.287,0.29,0.287,0.29,3700,0
SVAQW.US,D,20260223,000000,0.2962,0.2962,0.2962,0.2962,1195,0
SVAQW.US,D,20260224,000000,0.28555,0.3,0.2855,0.2891,2825,0
SVAQW.US,D,20260226,000000,0.2774,0.3,0.2774,0.3,5580,0
SVAQW.US,D,20260227,000000,0.3,0.3,0.3,0.3,1200,0
SVAQW.US,D,20260302,000000,0.3,0.3063,0.3,0.3,4010,0
SVAQW.US,D,20260303,000000,0.2511,0.2979,0.2511,0.2979,225,0
SVAQW.US,D,20260304,000000,0.3711,0.3711,0.3711,0.3711,1126,0
SVAQW.US,D,20260305,000000,0.278,0.3,0.27,0.3,1182,0
SVAQW.US,D,20260306,000000,0.2976,0.315,0.27,0.3,21118,0
SVAQW.US,D,20260311,000000,0.3,0.31005,0.2964,0.31,2883,0
SVAQW.US,D,20260318,000000,0.29,0.35,0.28,0.35,9712,0
SVAQW.US,D,20260323,000000,0.3,0.3175,0.3,0.3175,475,0
SVAQW.US,D,20260326,000000,0.32,0.334949,0.3131,0.3131,15287,0
SVAQW.US,D,20260331,000000,0.2851,0.2851,0.2776,0.2849,37281,0
SVAQW.US,D,20260401,000000,0.2701,0.3021,0.2701,0.3021,1125,0
SVAQW.US,D,20260406,000000,0.3034,0.31,0.2944,0.2945,3000,0
SVAQW.US,D,20260407,000000,0.3134,0.3134,0.3134,0.3134,2100,0
SVAQW.US,D,20260408,000000,0.3299,0.3299,0.31,0.31,42027,0
SVAQW.US,D,20260409,000000,0.3,0.3,0.28425,0.3,21048,0
SVAQW.US,D,20260414,000000,0.29,0.29,0.2786,0.29,6950,0
SVAQW.US,D,20260417,000000,0.296,0.3,0.28,0.28,33461,0
SVAQW.US,D,20260422,000000,0.29,0.2901,0.2701,0.285049,61011,0
SVAQW.US,D,20260430,000000,0.2711,0.3,0.2711,0.29,1250,0
SVAQW.US,D,20260505,000000,0.3,0.3,0.2701,0.2842,500,0
SVAQW.US,D,20260507,000000,0.2801,0.2801,0.28,0.28,1431,0
SVAQW.US,D,20260508,000000,0.3,0.3,0.3,0.3,6865,0
SVAQW.US,D,20260511,000000,0.29,0.31,0.28,0.31,2905,0
SVAQW.US,D,20260513,000000,0.28,0.31,0.28,0.3099,985,0
SVAQW.US,D,20260514,000000,0.31,0.31,0.2801,0.3099,10734,0
SVAQW.US,D,20260515,000000,0.28,0.29,0.2601,0.285,10000,0
SVAQW.US,D,20260519,000000,0.3,0.3,0.2999,0.2999,1000,0
SVAQW.US,D,20260520,000000,0.325,0.325,0.3039,0.31,15125,0
SVAQW.US,D,20260521,000000,0.31,0.31,0.3099,0.3099,10020,0
SVAQW.US,D,20260526,000000,0.3399,0.3399,0.3399,0.3399,415,0
SVAQW.US,D,20260527,000000,0.31,0.3399,0.3075,0.31,3505,0
SVAQW.US,D,20260528,000000,0.33,0.33,0.275,0.3249,17494,0
SVAQW.US,D,20260529,000000,0.33,0.33,0.29,0.32,5705,0
SVAQW.US,D,20260601,000000,0.33,0.33,0.33,0.33,1921,0
SVAQW.US,D,20260605,000000,0.3499,0.3499,0.3499,0.3499,984,0
SVAQW.US,D,20260609,000000,0.315,0.315,0.31,0.31,509,0
SVAQW.US,D,20260610,000000,0.3125,0.315,0.276,0.3149,1171,0
SVAQW.US,D,20260612,000000,0.31,0.31,0.31,0.31,112,0
SVAQW.US,D,20260615,000000,0.33,0.3431,0.33,0.343,2225,0
SVAQW.US,D,20260616,000000,0.35,0.5683,0.3335,0.5418,370449,0
SVAQW.US,D,20260617,000000,0.9899,0.99,0.85,0.910801,3372317,0
SVAQW.US,D,20260618,000000,0.94,0.95,0.84,0.92,277002,0
SVAQW.US,D,20260622,000000,0.92,0.92,0.51111,0.9,262012,0
SVAQW.US,D,20260623,000000,0.8477,0.85,0.8,0.85,17270,0
SVAQW.US,D,20260624,000000,0.85,0.89,0.6873,0.702,154298,0
