<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWMR.US,D,20260317,000000,12.5,40,11.25,31,12261685,0
SWMR.US,D,20260318,000000,40,65.04,38.55,55,22064399,0
SWMR.US,D,20260319,000000,52.57,61,44.1001,52.55,11677643,0
SWMR.US,D,20260320,000000,49.92,55,35.11,36.71,6250950,0
SWMR.US,D,20260323,000000,34.7,35.19,25.75,26.36,4931368,0
SWMR.US,D,20260324,000000,27.5,38.6,27.4808,35.38,8043985,0
SWMR.US,D,20260325,000000,35.38,36.26,30.08,31.9,2026488,0
SWMR.US,D,20260326,000000,31.805,40.59,31.802,36.71,3480180,0
SWMR.US,D,20260327,000000,37.4,38.9608,31.9202,34.87,1179391,0
SWMR.US,D,20260330,000000,36.25,44.8,33.91,43.19,2960499,0
SWMR.US,D,20260331,000000,44.7,47.2,39.09,47.2,2094259,0
SWMR.US,D,20260401,000000,46.05,49.2,42.69,46,1514916,0
SWMR.US,D,20260402,000000,47,68.97,45.3,66.48,7274003,0
SWMR.US,D,20260406,000000,61.39,61.8527,46.02,50.12,4092511,0
SWMR.US,D,20260407,000000,48.06,48.93,44.7,46.01,1910722,0
SWMR.US,D,20260408,000000,44.275,44.7,38.6,41.11,1861504,0
SWMR.US,D,20260409,000000,43.61,46.4,41.27,43,1940673,0
SWMR.US,D,20260410,000000,42.3,42.625,38.56,40.09,1052001,0
SWMR.US,D,20260413,000000,41.5,45.81,40.1001,45.81,1476325,0
SWMR.US,D,20260414,000000,44.07,45,41.12,42.32,939734,0
SWMR.US,D,20260415,000000,42.39,42.59,40.01,40.96,662605,0
SWMR.US,D,20260416,000000,40.02,44.12,39.25,40.14,875314,0
SWMR.US,D,20260417,000000,40.67,41,34.5,35.13,1337994,0
SWMR.US,D,20260420,000000,35.91,38.19,35,37.96,886519,0
SWMR.US,D,20260421,000000,37.52,43.59,36.5,42.95,1605888,0
SWMR.US,D,20260422,000000,42.7,42.7,39.6,41.2,691742,0
SWMR.US,D,20260423,000000,40.8,40.86,37.88,38.29,501249,0
SWMR.US,D,20260424,000000,38.36,38.9506,36.29,37.88,346944,0
SWMR.US,D,20260427,000000,38.01,39.2176,36.35,38.71,335841,0
SWMR.US,D,20260428,000000,38.6,39.285,37.03,39.05,202039,0
SWMR.US,D,20260429,000000,38.25,38.45,36.64,36.81,230097,0
SWMR.US,D,20260430,000000,37.22,38.69,35.5,38.34,376821,0
SWMR.US,D,20260501,000000,37.65,37.9999,36.23,36.84,257782,0
SWMR.US,D,20260504,000000,37,37.03,32.82,33.6,568388,0
SWMR.US,D,20260505,000000,33.36,33.595,29.85,29.98,526496,0
SWMR.US,D,20260506,000000,29.38,29.5724,27.26,28.86,458273,0
SWMR.US,D,20260507,000000,29,29.22,26.55,27.72,369977,0
SWMR.US,D,20260508,000000,27.75,28.1,26.4,27.14,337967,0
SWMR.US,D,20260511,000000,27.37,34.41,27.31,33.24,956616,0
SWMR.US,D,20260512,000000,35.71,38.06,32.5,36.04,1155532,0
SWMR.US,D,20260513,000000,33.76,34,30.26,30.29,821628,0
SWMR.US,D,20260514,000000,30.46,30.46,28.15,29.53,452366,0
SWMR.US,D,20260515,000000,29.6,31.65,28.355,29.64,438917,0
SWMR.US,D,20260518,000000,29.8,33.95,29.01,32.37,458063,0
SWMR.US,D,20260519,000000,32,32.13,30.002,30.72,196282,0
SWMR.US,D,20260520,000000,31.07,31.9999,29.58,31.37,293118,0
SWMR.US,D,20260521,000000,32.13,36.3,31.5,35.55,774173,0
SWMR.US,D,20260522,000000,36.16,40.3715,36.1002,38.86,1095634,0
SWMR.US,D,20260526,000000,40.3,45.772,40.02,44.26,1201480,0
SWMR.US,D,20260527,000000,44.58,50.71,42.603,48.56,888460,0
SWMR.US,D,20260528,000000,50.052,60,48.15,56.79,1827364,0
SWMR.US,D,20260529,000000,58.99,58.99,50.21,56.21,945882,0
SWMR.US,D,20260601,000000,56.77,61,54.4,57.01,737986,0
SWMR.US,D,20260602,000000,56.38,83.3,53.75,78.52,1845501,0
SWMR.US,D,20260603,000000,73.16,74.6232,64,73.24,854993,0
SWMR.US,D,20260604,000000,69.11,79.7,64.02,72.81,642411,0
SWMR.US,D,20260605,000000,71.9,72.84,57.295,60.75,681217,0
SWMR.US,D,20260608,000000,62.51,62.8371,53.53,57.48,463764,0
SWMR.US,D,20260609,000000,57.91,65.76,56.5,60.32,570273,0
SWMR.US,D,20260610,000000,59.25,62,53.61,56.465,437922,0
SWMR.US,D,20260611,000000,55.51,55.51,49.5,51.75,525817,0
SWMR.US,D,20260612,000000,52.35,52.35,43.83,45.19,598569,0
SWMR.US,D,20260615,000000,45.23,48.3,41.43,41.96,547276,0
SWMR.US,D,20260616,000000,41,45.29,39.955,41.4,440428,0
SWMR.US,D,20260617,000000,41.49,42.5,39.1507,40.8,294293,0
SWMR.US,D,20260618,000000,41,44.09,39.5,41.79,588025,0
SWMR.US,D,20260622,000000,42.275,46.4999,41.13,45.14,457799,0
SWMR.US,D,20260623,000000,43.55,43.7743,40.5781,41.45,264815,0
SWMR.US,D,20260624,000000,43.29,43.29,37.55,38.2,324383,0
