<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXTC.US,D,20190104,000000,10776000,14376000,10560000,13776000,0.017288333419775,0
SXTC.US,D,20190107,000000,16320000,16320000,13645200,14664000,0.01104333338855,0
SXTC.US,D,20190108,000000,15480000,16800000,14520000,15624000,0.009425000047125,0
SXTC.US,D,20190109,000000,16200000,37632000,16200000,28680000,0.035578333511225003,0
SXTC.US,D,20190110,000000,42240000,56040000,16344000,18600000,0.26283000131415,0
SXTC.US,D,20190111,000000,18816000,18816000,14760000,14880000,0.11146166722397499,0
SXTC.US,D,20190114,000000,14904000,15936000,12960000,13320000,0.041608333541375,0
SXTC.US,D,20190115,000000,13224000,13896000,11280000,12000000,0.06069000030345,0
SXTC.US,D,20190116,000000,11280000,12000000,10872000,11424000,0.051741666925375,0
SXTC.US,D,20190117,000000,10920000,12696000,10881000,12000000,0.037546666854399995,0
SXTC.US,D,20190118,000000,11400000,12192000,10752000,11280000,0.024095000120475,0
SXTC.US,D,20190122,000000,11040000,11664000,10320000,10488000,0.021131666772325,0
SXTC.US,D,20190123,000000,10056000,10988400,8928000,9456000,0.0238800001194,0
SXTC.US,D,20190124,000000,9572400,9744000,9120000,9312000,0.012251666727925,0
SXTC.US,D,20190125,000000,9480000,9600000,8928000,9110400,0.008798333377325,0
SXTC.US,D,20190128,000000,8928000,9696000,8683200,9096000,0.011550000057749999,0
SXTC.US,D,20190129,000000,8832000,10248000,8832000,10080000,0.0123600000618,0
SXTC.US,D,20190130,000000,9768000,20328000,9635400,14496000,2.195938344313025,0
SXTC.US,D,20190131,000000,13344000,19080000,13344000,17064000,1.3745066735391998,0
SXTC.US,D,20190201,000000,16608000,19416000,15124800,15984000,0.3723866685286,0
SXTC.US,D,20190204,000000,15840000,15840000,13680000,13824000,0.0533333336,0
SXTC.US,D,20190205,000000,13824000,16190400,13824000,15024000,0.068505000342525,0
SXTC.US,D,20190206,000000,14736000,14875800,14160000,14208000,0.013458333400624998,0
SXTC.US,D,20190207,000000,14568000,14760000,13800000,14112000,0.018198333424325,0
SXTC.US,D,20190208,000000,14133000,14640000,13680000,13704000,0.00840333337535,0
SXTC.US,D,20190211,000000,13848000,15120000,13824000,13944000,0.023068333448674996,0
SXTC.US,D,20190212,000000,14016000,14205000,13296000,13464000,0.02285666678095,0
SXTC.US,D,20190213,000000,12960000,13560000,12600000,12840000,0.014243333404549998,0
SXTC.US,D,20190214,000000,12744000,13780800,12418800,12576000,0.0163600000818,0
SXTC.US,D,20190215,000000,13008000,13008000,12456000,12600000,0.008308333374875,0
SXTC.US,D,20190219,000000,12637800,13536000,12360000,12792000,0.009466666713999998,0
SXTC.US,D,20190220,000000,12948000,13056000,12360000,12360000,0.007055000035274999,0
SXTC.US,D,20190221,000000,12678000,12678000,12384000,12480000,0.0038516666859249996,0
SXTC.US,D,20190222,000000,12480000,12672000,11351400,12072000,0.016448333415575,0
SXTC.US,D,20190225,000000,12624000,15600000,12624000,15120000,0.08632166709827499,0
SXTC.US,D,20190226,000000,15384000,16632000,14760000,15480000,0.0523666669285,0
SXTC.US,D,20190227,000000,14736000,15000000,13608000,13944000,0.019400000097,0
