<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCAN.US,D,20260507,000000,24.72,24.98,24.585,24.655,5677,0
TCAN.US,D,20260508,000000,24.7,25.029,24.475,25.0037,5446,0
TCAN.US,D,20260511,000000,26.07,27.45,26,27.415,42696,0
TCAN.US,D,20260512,000000,28.11,28.11,25.71,26.0118,12003,0
TCAN.US,D,20260513,000000,25.89,26.58,25.8359,26.3731,16455,0
TCAN.US,D,20260514,000000,28.55,29.115,27.53,27.5766,72363,0
TCAN.US,D,20260515,000000,28.56,29.635,28.07,28.2569,22478,0
TCAN.US,D,20260518,000000,25.79,25.79,25.27,25.6205,30374,0
TCAN.US,D,20260519,000000,25.17,25.349,24.8701,25.1143,6337,0
TCAN.US,D,20260520,000000,25.25,26.459,25.25,26.4425,12580,0
TCAN.US,D,20260521,000000,26.5,27.72,26.2217,27.5356,72170,0
TCAN.US,D,20260522,000000,26.279,26.57,25.9801,26.2926,11375,0
TCAN.US,D,20260526,000000,27.585,27.63,26.54,26.5931,7207,0
TCAN.US,D,20260527,000000,26.61,26.99,26.385,26.385,7430,0
TCAN.US,D,20260528,000000,26.16,26.36,25.93,26.1111,5664,0
TCAN.US,D,20260529,000000,26.39,26.69,26,26.1149,22331,0
TCAN.US,D,20260601,000000,26.07,26.46,26.0275,26.0275,17780,0
TCAN.US,D,20260602,000000,26.3,26.35,25,25.4601,25247,0
TCAN.US,D,20260603,000000,26.3599,26.36,26.0948,26.1259,5124,0
TCAN.US,D,20260604,000000,25.46,25.5599,25.26,25.3144,3079,0
TCAN.US,D,20260605,000000,24.78,24.97,23.899,24.3353,14671,0
TCAN.US,D,20260608,000000,26.865,27.1471,25.93,27.1471,13466,0
TCAN.US,D,20260609,000000,28.385,28.42,27.3738,27.3738,5252,0
TCAN.US,D,20260610,000000,28.52,28.52,27.4993,27.7483,8721,0
TCAN.US,D,20260611,000000,28.25,28.52,27.27,27.5413,11175,0
TCAN.US,D,20260612,000000,28,28,26.8897,26.9373,17658,0
TCAN.US,D,20260615,000000,27.8,28.7299,27.64,28.0843,4960,0
TCAN.US,D,20260616,000000,27.83,27.83,27.545,27.57,10027,0
TCAN.US,D,20260617,000000,27.735,28.01,27.3935,27.3935,7023,0
TCAN.US,D,20260618,000000,27.6,27.62,26.85,27.05,4266,0
TCAN.US,D,20260622,000000,27,27,25.44,25.505,22152,0
TCAN.US,D,20260623,000000,25.4108,25.79,25.4108,25.6418,2996,0
TCAN.US,D,20260624,000000,25.34,25.43,25.14,25.43,4671,0
