<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMTSW.US,D,20260402,000000,0.35,0.45,0.35,0.45,1256,0
TMTSW.US,D,20260406,000000,0.36,0.42,0.36,0.4,103916,0
TMTSW.US,D,20260407,000000,0.398,0.41,0.395,0.41,69632,0
TMTSW.US,D,20260408,000000,0.4083,0.424,0.4,0.42,130102,0
TMTSW.US,D,20260417,000000,0.43,0.45,0.43,0.45,113880,0
TMTSW.US,D,20260420,000000,0.42,0.45,0.3686,0.45,49392,0
TMTSW.US,D,20260421,000000,0.45,0.45,0.45,0.45,412,0
TMTSW.US,D,20260422,000000,0.47,0.5,0.45,0.462501,52136,0
TMTSW.US,D,20260429,000000,0.5,0.5,0.499999,0.5,6718,0
TMTSW.US,D,20260430,000000,0.5,0.55,0.5,0.5,17266,0
TMTSW.US,D,20260501,000000,0.5661,0.5661,0.5661,0.5661,100,0
TMTSW.US,D,20260507,000000,0.56,0.56,0.56,0.56,4678,0
TMTSW.US,D,20260508,000000,0.5001,0.56,0.5,0.5,3847,0
TMTSW.US,D,20260511,000000,0.5,0.5,0.5,0.5,335,0
TMTSW.US,D,20260520,000000,0.5495,0.56,0.5495,0.56,3799,0
TMTSW.US,D,20260528,000000,0.53,0.53,0.53,0.53,20000,0
TMTSW.US,D,20260529,000000,0.55,0.55,0.52,0.52,3176,0
TMTSW.US,D,20260601,000000,0.5034,0.5034,0.5034,0.5034,100,0
TMTSW.US,D,20260603,000000,0.5001,0.5001,0.5,0.5,1687,0
TMTSW.US,D,20260604,000000,0.42,0.42,0.42,0.42,11668,0
TMTSW.US,D,20260611,000000,0.4994,0.4994,0.4299,0.4299,3098,0
TMTSW.US,D,20260615,000000,0.45,0.45,0.45,0.45,221,0
TMTSW.US,D,20260617,000000,0.49,0.5,0.49,0.5,1999,0
TMTSW.US,D,20260622,000000,0.5471,0.5471,0.5471,0.5471,123,0
